,document,score,label
0,"현실도 자극적인데 영화까지 자극적일 필요가 있을까요...간만에 힐링영화였습니다 촉촉하게 스며드는 이슬비같은 , 기분좋은 미소를 짓게하는 영화였어요 강하늘배우는 연기가 정말 더 늘었더군요 감탄하면서 봤습니다 천우희배우 강소라배우도 두말하면 입아프죠",10,1
1,진짜 연출이 장난아닙니다ㅜㅜ 강소라님 오로라 장면때 눈물흘렸네요... 스토리도 슬프고 현실적이라서 너무 공감됬어요ㅠㅠ 마지막에 만나는 장면도 있었으면 더 좋았을것 같았어용ㅎㅎ,10,1
2,기대되네요!,10,1
3,믿고보는 강하늘 배우라니 ,10,1
4,보고 싶네요.,10,1
5,강하늘님❤️,10,1
6,모티브도 이야기를 끌고 가는 힘도 약하다. 강소라 강하늘. 천우희 세 명 의  플랏도 엉성 영상을 이쁘게 하려고 신경쓴건 인정 하지만 영화속에 녹지 못하고 이물감처럼 따로 논다. 조연들의 역할도 애매하노 극에 스미지 못한다. 감독은 무얼 연출하고 싶었는지 아님 흉내내고 싶었는디 아리송,2,0
7,아주 별로 너무 지루,2,0
8,스토리와 구성은 노답. 음악이랑 영상미는 이쁨ㅋㅋㅋ당황스럽다^^/,4,0
9,"재미있는 영화입니다. 나이를 먹어도 이런 류의 영화를 좋아합니다. 나이가 들수록 첫사랑 이란게 생각이 나는 경 우가 많습니다. 어릴 적 추억이 그립기도 하고. 다른 사람은 모르겠지만 저는 재미있게 봤습니 다. 결론은 열린 결론 비슷한 것 같아서... 직업상 애매모호한 걸 좋아하지 않아서 그런지, 결말이 더 명확했으면 좋겠다는 생각을 합니다. 물론 저 와 생각이 다른 사람도 많을겁니다. 아마 저라면 별을 선택했을 것 같습니다.",10,1
10,저도 기다리면 기적이 올까요? 좀더 기다려보렵니다^^,8,1
11,메인플롯인 주인공들 이야기도 그렇고 서브플롯인 조연들 이야기도 그렇고 난잡하고 번잡하고 재미가없고 굉장히 지루함. 영화상영시간중 조금이라도 자서 1점 드림.,1,0
12,핵노잼 시간 돈 다 아깝다.,1,0
13,언제 개봉하나요~ 강하늘 천우희 믿보배~  기대됩니다 💙💙😍😍,10,1
14,꼭봐야지,10,1
15,아련한 추억 속의 첫사랑을 찾으려는 마음은 좋은데... 강소라의 비중이 너무 컸다. 강소라의 마음을 뛰어넘을만한 주인공의 마음을 공감하기가 너무 어려운 영화였다.,6,1
16,따듯한 영화 입니다.,10,1
17,영화 방금 보고왔어요. 진짜 재미없네요  강소라 분량이 생각보다 많네요? 누가 여주인공인지...,3,0
