,document,score,label
0,피지컬로 악마를 때려잡을 수 있다는 설정이 너무 통쾌합니다. 오컬트물 중 이렇게 신박했던 영화가 없었던 것 같습니다. 2편 사제에선 최우식이 영화 마녀의 세계관을 공유하여 귀공자 설정으로 나왔으면 좋겠네요 2편이 만들어지길 기원합니다.,9,1
1,긴장감도 있고 특수효과도 좋았음~ 불주먹 펀치는 좀 아닌듯ㅎㅎ,8,1
2,이영화 절대강추 이다,10,1
3,아니..평점 왜 이렇게 낮음? 이정도면 잘만든거 아닌감? 난 잼나게 봄..,10,1
4,잘 만들어진 영화네요~~~,10,1
5,재밌게봤네요  이런시도 좋고 몰입도도 있고,10,1
6,재밌어요! 사자2 기대기대,10,1
7,재밌어요,10,1
8,"TV로 방영해서 봤는데 나쁘지 않은데. 기독교 영화이니 어쩔 수 없다는 생각이 들지만, 액션의 비중이 높은데 대사 등에서 기독교 색채가 너무 강한 것 같다.",7,1
9,그냥 웃겼음… 실소,5,0
10,재밌네요 몰입해서 봤어요,10,1
11,오컬트 액션물로는 좋다,7,1
12,전반적으로 어색한 부분이 보이지만 한국에서 이런 영화를 만든것에 점수를 준다.,8,1
13, 오싹하지 않지만  지루하지 않고  배우들 연기도 잘하고 나름 재미있음 .검은 사제 생각하고 보면 안됨.,8,1
