,document,score,label
0,20일을 굶었는데 포동포동함. 수염도 안자라고.. 에라이 감독양반아..,1,0
1,"좀비사태가 물리는 형태로 감염이 되는데 초반에 모든사람이 아파트에서 뛰쳐나온다. 무슨 한곳에 모여있던거도 아니고 아파트 내부에서 감염이 된거도 아니다.  동선이 대충 짜여져있고, 좀비는 사플을 엄청 잘하나보다. 무슨 총소리 듣고 정확히 8층에 계단타고 올라오고, 중간에 빗소리인줄 알고 좀비가 왔었는데 서로 다른 아파트에 살던 남주 여주의 복도에 동시에 좀비가 몰려왔다. 설정에 조금더 힘을 쓰지, 소재는 참신했지만 너무 대강대강 만든거같다. 저예산이어도 사전준비단계에서 조금만 신경써도 보완할수 있는거를 시나리오 1고만 쓰고 바로 만든거같다",1,0
2,"수십일이나 물과 식량부족으로 고생했을 남주, 여주의 머리칼은 찰랑이고, 피부는 윤택하다. 마지막 헬기에 구조되면서 군인들은 구조자가 물렸는지 안물렸는지 확인 안하나? 좀비들의 디테일이 좋고 분장팀이 고생했으리라 짐작은 하지만 긴장감, 처절함, 감동이 많이 부족하네",5,0
3,관객조롱  실험영화.,3,0
4,개연성 폭망,1,0
5,에구...  그 좀비떼가 우글거리는 아파트 사이를 해치고 간다고? 여전사야? ㅎㅎ,2,0
6,한달동안  머리 안자람,2,0
7,심각하다... 개연성도 이정도없으면 걍 초딩이 지은 소설 아니냐;;,1,0
8,스토리도 엉성하고 쫄깃쫄깃한 기분을 만들어주는 것도 아니고 완전 비급 영화 같습니다 -_-;,4,0
9,졸작이다  연기도  넘 어색하구  몰입을 할 수가 없네여...  좀비들도  빠를 때는 파르고 느릴때는 엄청 기어가는 줄  정말 이건 ..  돈주고 봤으면 욕나올 뻔...  어떻게 그 많은 좀들을 뚫고 갈 수 있는지 그것도  여자 혼자서  나가자 마자 잡혔을것 ....,1,0
10,티에 옥을 찾아라.   어이없는 구성;;  참나..,4,0
