,document,score,label
0,그 시절 꿈틀거려준 여성들에게 감사하며,10,1
1,이 정도면 저예산으로 기승전결 잘 갖춰 재밌게 만든 영화다. 연기 구멍도 하나 없고 스케일이 크진 않으나 아기자기하게 곳곳에서 생각할 사회적 구성원으로서의 명제를 던진다. 평점 테러하는 애들 영화 발로 봤냐??,10,1
2,이 영화 아주 재미있다. 부조리한 면들이 있었고 여직원들에대한 인권과 평등의식이 비교적 낮았던 1990년대의 사회상과 회사생활을 보여주면서 영화는 코믹하게 시작한다. 능력은 있지만 회사에서 학력으로 인해 부당한 대우와 시선을 받는 상고(상업고등학교)출신의 삼전기업 고졸여직원들이 당당하게 그 상황들을 헤쳐나가는 모습들이  재치있고 톡톡튀는 대사들과 함께 빠른 템포로 펼쳐 진다. 세 고졸직원 역할을 훌륭히 소화한 고아성을 비롯한 세 배우들의 연기력 좋고 박혜수의 배역과 연기가 매력있다. 가슴울컥한 장면도 있고 통쾌한 후반과 유쾌한 라스트가 좋다. 잘 만든 영화다.,8,1
3,맘이 애려온다 그시절 아무것도 모르고 그저 주는 녹을 먹고 시키는데로  해야 되는 거라 알고 일했으니   지난 세월 돌이켜 보면  생각했던 일보다 회사에서 시키는게 사회통념이라 묵인하고 흘러 갔던것이 후회스럽다!  많이 변했지만  아직도 변해야 하는 세상이다!,10,1
4,재미있었지만 마냥 웃을수만은 없었고 보는 내내 그시절 그녀들이 생각나 가슴이 아팠다  유니폼이 없어지고 사무실에서 담배를 피우는 사람들은 없어졌지만  여전히  낮은 임금을 받고 승진에서 배제당하는  이제 50이 넘었을 지금의 그녀들에게 이 영화는 어떤 의미일까 ...... 조금은 부족해도 그녀들을 소환해준것에 감사한다,10,1
5,"'직장판 써니'라는 말에 공감이 간다. 주인공들이 고아성, 이솜, 박혜수와 조연분들 여성위주다보니 여성편향적 측면으로 볼 수 있는데 '개미들의 반란'을 극대화하기 위한  장치로 보면 좋겠다. 미투운동이니 괜히 그런걸로 몰아서 부정적측면으로 보지말고.   고졸사원으로부터 시작되었지만 '한국인'들의 글로벌 썁썁놈에 대한 반란!  지렁이도 밟으면 꿈틀한다.",10,1
6,올해 본 영화중에 최고의 영화,10,1
7,2020년 개봉한 영화들 중 제일 재밌게 본 영화였음..코로나때 개봉한게 아쉬울정도ㅠ,10,1
8,나도 직장에서 커피타고 복사하고 허드렛일 도맡아한 경험이 있기에 고졸사원에 공감이 갔다...재밌게 잘봤어용....노래도 넘 신났다...이젠 모든걸 다시 시작해....,9,1
9,유아인 나오는거 보려다가 삼진그룹 봤는데 기대이상 재밌었어여 처음부터 끝까지 스토리도 좋았어요 ,10,1
10,진짜 재밌어요 올해 본 영화중에 최고 대박나세요,10,1
11,그 시절 레트로 감성도 적당히 자극하면서.. 메인 스토리는 나름 흔하지만.. 군더더기 없이 깔끔. 이 나라의 재벌 세습 불법 탈법 비리 문제도 적당히 까주는 주제의식도 좋음. 보면서 떠오르는 게 딱 론스타나 삼숑이 떠오르더만. 암튼.. 간만에 처음부터 엔딩까지 개운했던 영화~,9,1
12,너무 무겁지않게 유쾌하지만 정말 진지하게 내일을 위해 열심히 걸어가는 삼진그룹 여직원분들 멋있었어요 추천합니다! 많은 사건들과의 연결성이 적절하게 잘연결되어있고 눈치채신분들 있었겠지만ㅋ 이영화 투자사가 롯데인게 숨겨진 킬링포인트였다는 생각이 들었네요  주인공 삼인방분들 열연도 매주 좋았어요 올해 나왔던 한국영화중 가장 잘만든 영화였다에 한표보냅니다 감독님 배우님 제작진분들 좋은영화 보게 해주셔서 감사합니다ㅋ,10,1
13,"아이 캔 두 잇, 유 캔 두 잇, 위 캔 두 잇!  커리어우먼~ 용감한 세 친구!  꿀잼~^^",8,1
14,재밌었어요!!,10,1
15,"이 영화를 페미영화라고 비판하는 무지한 사람들은 도대체가 무슨 생각을 하고 사는건지? 당시의 시대상을 표현하기 위한 수단까지 그렇게 폄훼한다면 시대상황을 어떻게 표현하라는 것인지 모르겠네 정말!!!  스토리,개연성, 사실묘사, 연기, 주제까지 잘 표현된 영화인데 도대체 뭐가 문제인지? 오랜만에 괜찮은 영화를 보게 되어서 좋았네요.",8,1
16,처음엔 영화를 보는내내 화도 너무나도 답답하기도했지만 보다보니 속이 뻥 뚫렸다 . 완전 사이다! 역시 여성들도 위대하다는걸 보여준거같다. 슬프기도 했지만 중간중간 너무 웃긴 부분이 많아서 영화 보는내내 지루함을 못 느꼈던거같다. 직장판 써니인듯하다.코로나때매 영화본지 오래였는데 이 영화를 보고 돈이 아깝지 않았다. 왠만하면 평점 안남기는데 추천추천 하고싶다.,10,1
17,박혜수 진짜 좋다 ㅠ 계산하는연기...ㅠ,10,1
18,작고 작은 존재들도 뭉치면 강하다는 걸 보여주는 영화였습니다,10,1
19,"코로나 아니었으면, 벌써 손익분기점 넘었을 영화. 뻔하지 않아서 신선했다. 자본에 휘둘리는 뻔한 요즘의 기획 영화들은 이 영화를 본받아라.  골리앗을 무너뜨리는 다윗들의 연대.",10,1
20,와... 잼나네 ㅎ 옛날 생각나고... 추천!!!!!,10,1
21,제 생애 최고의 영화였습니다.  정말  정의롭고  뭉클했네요. 아이들에게도  본보기가 되는 영화였구요.,10,1
22,"봐야한다.  내 시절이야기라서 눈물이 찔끔 났다.  아파도 봐야하고 조금 모자르고 과해도 봐야한다.  조금씩  선한쪽으로 옮겨가려는 의지가 바뀐 세상을 볼수 있게한다. 믿고싶다. 고아성, 이솜, 박혜수배우 애썼다!!",8,1
23,전 아직도 두산하면 페놀을 먼저 떠올립니다 영화화되어 너무 반갑게 잘봤습니다,10,1
24,현실고증 굿 ㅋㅋㅋㅋ 오랜만에 추억에 잠겼어요,10,1
25,너무 재밌다 충분히 조명되지 않았던 90년대 '커리어 우먼' 그들의 꿈이 이루어졌기를,10,1
26,꿈틀이던 용기있는 사람들,10,1
27,완전 대박 딱 내시절을 영화로 그린~~~ 그때 현실과 많이 비슷했고 짜임새 좋고~ 연기는 더 좋고~~올해  제일 재미있게 본 영화예요~~,10,1
28,유쾌하게 잘 봤습니다,10,1
29,정말 오랜만에 재밌게 본 영화다,10,1
30,"용두사미.. 초반러시 이후 뒤로 갈수록 떨어지는 개연성과 억지설정, 뻔한 전개로 범작으로 끝나고 말았다. 감독의 내공이 아직은 부족한 느낌.",6,1
31,심지 굳은 여성을 보는 즐거움. 여돕여,10,1
32,너무 재밌다  역시 세상은 여성이 구한다!,10,1
33,지렁이도 밟으면 꿈틀거린다,10,1
