,document,score,label
0,여운이 많이 남는 영화였어요 죽음과 영원에 대해  생각해보게 돼더군요 박보검님의  순진무구한 눈빛에서 날카로워지는 폭발하는 눈빛 연기 인상적이었습니다.  편집부분이 매끄럽지 않은 부분이 좀 있었는데 그래도 잘봤습니다,10,1
1,생각이  많아지는 영화네요,10,1
2,가볍지 않고    메시지가 있어  많은 생각을  하게되는 영화네요. 박보검  연기 잘하네요 . 말이아닌  눈으로   감정을 전달하는데... 공유씨의 깊은 눈물이 여운이  남네요.  장영남님 면기좋아하는데 너무  분량  적어서  아쉽네요. 전반적으로 감성이  좋은  영화네요,10,1
3,영상보니 언능 보고싶네요. 박보검 공유 둘 다 넘 좋습니다.,10,1
4,"삶속에서 늘 품고 사는 주제, 그래서 더 와 닿았습니다. 오늘도 무언가가 되고 싶은 희망을 갖게 되네요. 주저하지 마시고 앞으로 나갑시다.  서복 화이팅!",10,1
5,⟨서복⟩박보검배우의 첫 주연 영화~!! 공유와 박보검의 조화!!  ♡서복♡이보다 더 좋을 순 없다!!!  너무 기대되는 영화입니다~!! 두 배우님과 감독님을 응원합니다~~!! ⟨서복⟩ 화이팅~!!,10,1
6,서복 박보검 기대합니다!!,10,1
7,서복이란 캐릭터는 박보검 연기가 압권임 영화 재밌게 봤어요 CG도 화려하고,9,1
8,삶과 죽음 인간에게 어쩔수없이 일어나고야 마는 일이라 많은 걸 생각하게 됩니다 잘 봤습니다,10,1
9,박보검님서복기대합니다홧팅!♥,10,1
10,오늘 보고왔습니다.  sf박진감 넘치는 영화는 아니고 생각할게 많은 메세지를 주는 영화였네요  갖을수없는 것에 대한 인간들의 끝없는 욕심이 쓸쓸함으로 다가오는 영화였습니다 보고나면 먹먹해져요ㅠㅠㅠㅠ 배우들 연기 특히나 정말 굿굿 입니다!!!,10,1
11,"서복, 이렇게 슬프고 마음 아픈 영화일 줄이야. 박보검은 연기고 뭐고 할 것 없이 딱 서복이었다, 최고다!!! 그리고 두 시간이 훌쩍 지나갈 정도의 몰입감과 뛰어난 완성도!",10,1
12,"시나리오의 짜임이나 연출, 작품성보다는 관람 관점  포인트를 영화의 메시지에  두고 보면 인간의 삶,죽음,욕망의 묵직한  감동. 박보검의 연기와 대사, 그것이  주는 메세지가 영화가 끝나도 여운을 남게 하는 영화",10,1
13,ott도 괜찮지만 영화관에서의 감상을 추천합니다 화제의 영화라 티빙으로 먼저봤다가 바닷가씬때문에 큰스크린으로 다시 감상하고싶어져서 주말에 아맥스관으로 보고왔는데 여운이 굉장하네요 이 영화 참 묘해요 왜 재탕이 더 맛있죠? 어떻게 두번째 볼 때 감흥의 크기가 더 큰걸까요 오징어다리 뜯으며 감상하는 식상한 sf물이 아니었네요,10,1
14,여운이  남는 영화..,10,1
15,"소재의 특별함과 타이틀 롤인 박보검 배우가 서복이란 인물을 어떻게 그려냈을지 기대가 됩니다.  감독, 배우들 모두 호감인 작품.",10,1
16,"여운이 크고 먹먹하다. 극장에서 또 보고싶은 영화. 배우들 연기가 훌륭하고 묵직한 메시지도 울림 준다.  신비롭고 양면적인 분위기의 복제인간에 박보검이 정말 잘 어울린다. 영상미, 액션 특수효과, 음악도 다 최고",10,1
17,티빙으로 봤어요 의외로 괜찮아서 놀람 그저 액션인줄.. 두 배우의 연기도 일품이었고요~,10,1
18,기대하고 기다려요!,10,1
19,많은 메세지를 주는  영화~~*,9,1
20,너무너무 기대됩니다.,10,1
