,document,score,label
0,"기독교인으로서  영화를 감상하며 그 위선을 극대화시킨 것이 불편하기도 했지만, 없는 얘기를 만든 것이 아니기에 분명히 받아들여야 했다. 일례로 정인이 양부모는 영화보다 더 심하면 심했지 말이다. 잘못에 대한 책임과 그에 뒤따르는 아픈 상처들은 맹목적인 믿음으로 대신할 수 없는 것임을 영화는 말해준다. 기독교는 인내와 고통의 종교라 생각하는데,  종래의 한국 기독교는 매번 책임을 피하려하고, 겉으로만 선한 척 하는 이익단체에 불과한 것 같다. 기독교인들은 기억해야한다. 죄의 용서를 구하기 전에는, 죄의 갯가를 치르지 않고는 결코 내 죄를 용서받을 수 없다는 것이 기독교의  진리인 것을!  p.s. 김선영씨 연기 정말 잘하십니다.",9,1
1,울산에 메가박스 9:30 딱하나 하는게 말이되나요. 조조에 가서 웃으면서 보았고 울면서 나왔어요. 몇명없었지만 영화가 끝나고 아무도 일어나지않고 흐느껴울며 음악까지들었는데. 모두 한마음으로 연결되어있는듯. 최근에 본영화중에 최고였어요.,10,1
2,"영화속에서 우리집을 보았다.  엄마가 맞고,누나들이 맞을때 어린 나는 온동네를 맨발로 뛰어다니며 이웃들에게 도움을 청해보았지만  아무도 달려와주지 않았다. 태어난 그곳은 내겐 증오와 적개심만 키워주었다. 그래서 난 고향을 찾지 않는다.  어머닌 살아 계셔도..이젠 자식들을 알아보지 못한다. 자식들에게 어린시절 트라우마를 평생 끌어안고 살라며 미안하단 말조차 남기지 않고 떠나버린 아버지에게 사과를 받고 싶어서 명절때마다 무덤에 가서 고래고래 소리쳤다.  이젠 나이를 먹어서 그런지 기력도 떨어지고 해서 술만 마시다 내려온다.  영화를 보면서 창피함도 잊고 실컷 울었다. 내겐 한풀이같은 영화..  만드신 모든분께  감사드린다.",9,1
3,"혼자 영화관을 나와 집에 와서도 문득 또 울었다. 어린 미연이 언니를 바라보던 흑백장면이 계속 떠올라서 울컥울컥 눈물이 계속 났다. 김선영 배우를 비롯 아역까지도 훌륭한 연기를 보여준다. 수퍼에서 술마시던 아저씨, 그 아저씨마저도 발군의 연기력을 선보는데 그 아무렇지도 않다는듯 천연덕스럽게 쭈쭈바 하나 던져주는마는게 우리가 대하는 가정폭력이 아니었을까 싶다. 그래서 오래도록 슬펐다.",10,1
4,가정폭력이  얼마나 자식들의 삶을 지배하는지ᆢ 마음이 넘 아파 눈물이 계속 주륵주륵~ㅠ,10,1
5,이소라의 사랑이 아니라 말하지 말아요 가 나오는 동안 내내 울었다 김선영씨는 정말 안아주고 싶었다,10,1
6,아동학대 기독교의 위선 참으로 시의적절하다,7,1
7,보기는 힘들지만 너무나도 훌륭한 작품 교회는 우리를 구원해 주지않아 나와 가족이 도와줄수 있지,10,1
8,영화관에 사람이 몇 명 없어서 더 눈물났네요. 김선영씨 어쩜 연기를 이렇게 잘하시는지 .. 세자매의 앞날이 오늘보단 낫길 기원하며 잘 안 쓰는 후기 남겨요.,10,1
9,평점이 별로 안 좋았지만 그래도 보고 싶어서 혼자서 본 영화. 여운이 계속 남는다.  가정폭력이 남긴 상처가 세자매의 삶에 얼마나 가슴 깊은 상처로 남는지 여실하게 보여 준다. 너무 현실적인 내용이어서 더 좋았다. 어딘가에 세자매가 똑같이 있을 것 같다. 문소리와 김선영의 연기가 너무 좋았다. 장윤주 캐릭은 좀 오버스런 면이 있어서 좀 불편했다. (장윤주 탓이 아니라 역할 탓이다) 좀더  현실적인 설정이었으면 더 좋았을 것 같은 아쉬움이 남는다.,9,1
