,document,score,label
0,그냥 호불호 많이 갈리는 영화에요.. 상업영화 껍데기에  속아버린  관객들의 평점 테러이니  보는 시각에 따라 달라질 수 밖에 없는 영화입니다.  사라진 시간과 비슷한 느낌인 영화고 구지  다른 사람 한테 보지 말라고  강요 할 필요까진 없을 것 같네요..  절대 졸작은 아니고  한국에서의 새로운 장르가 계속해서 나오고 있다는 좋은 징조입니다.,10,1
1,좋은 영화 감독의 연출력 유아인의 소리도 없는 연기력 정말 좋았음 감독 홍의정  기억할거임,10,1
2,"우리의 일상이 수많은 악의와 폭력에 둘러싸여 아슬아슬하게 유지되는 것이라는걸 배우들의 (아역배우 포함) 뛰어난 연기로 보여준 영화. 선한 인간의 악한 부분을 보여준 것일까 악한 인간의 선한 부분을 보여준 것인가, 요구르트에 소주를 타서 상냥하게 건네주는 아줌마의 친절함처럼 종잡을 수 없는것이 인간의 마음이리라",10,1
3,평점보고 못볼뻔 정말 새롭고 재밌고  슬픈영화다 평점 낮게 주는사람들 알바인듯,10,1
4,유아인의 표정에서 보통사람을 보았다. 마음은 선하나 환경에 휘둘리는것을..,9,1
5,"선과 악, 어른과 아이, 어리숙함과 영악함, 돈과 생명의 대비는 명료하고,  인과, 편견, 개과 등을 강요하는 뻔함으로 부터는 벗어나 있는듯 하다.  잔혹한 사건과 그 주변을 감싸고 도는 밝은 색채, 경쾌한 음악이 주는 기괴함과 불쑥 불쑥 나타나는 아이러니는 꽤나 역한 감정을 불러 일으키며 다분히 의도적임이 느껴지는 정도이다.  영화 제목의 ‘소리’는 sound가 아니다. 이것은 인간들의 삶에 결여된 그 ‘무엇’이며 그 무엇이 결여된 삶은 도처에 널려 있어 지극히 사실적이고, 그래서 불안하며 위협적이다.  내용과는 별개로 즐거운 영화 감상에는 실패하였다. 감독은 대중의 취향이 아님이 분명하다. 갈길 간다. “관객도 없이”",6,1
6,유아인의 연기와 결말부분의 섬뜩함으로 계속 곱씹게 되는 영화다...,9,1
7,"납치범과 아이가 가까이 지내면서 바뀌는 심경은, 결국 서로의 본질을 이기지 못한다는, 그런 감독이 말하고자 하는 바는 알겠으나, 그렇게 끝내기엔 영화가 중간에 똥싸다 만 기분.",5,0
8,"선한 사람도 생각없이 살면, 소리도 없이 악인이 된다.",8,1
9,연기력으로 굿,10,1
10,기대이상 볼만한 영화!,10,1
11,재미있게 봤어요 영화의 전형적인 틀을 완전 깨버린~~~ 모든게 전형적이지 않아서 좋은영화 강추할게요~~~,10,1
12,올해 가장 인상 깊은 영화였습니다. 시나리오가 좋네요  어디선가 들은 듯한 이야기 어디선가 만난 듯한 인물 어디선가 접해본 듯한 설정이지만 예상은 여지없이 빗나갑니다 틀을 깬 올해의 입봉작!!,8,1
13,유아인이 말 없는 연기는 잘 했다. 근데 영화에 인상적인 것은 없다,6,1
14,유아인이 리나르도 디캐프리오가 되어가는군 연기잘하네 이 영화기 주는 메세지는 유툽봐라 잘나와있더라 응 니들 똥꼬 빨아주는 그런 영화아냐 그런건 깡철이 만득이로 끝났어 사생활은 관심없고 연기하는 유아인은 너무 좋다,9,1
15,"유아인이 다시 보이는 영화. 몸이며, 표정, 안어울릴거 같은 역할인데 너무 잘한다. 대배우로 가는 과장에 들어선듯. 지루함없이 끌고 나가지만 인간의 평범한 악과 악에 묻혀 희생당하는 인간. 많은 것을 생각하게 한다.",9,1
16,유아인 연기 최고...ㅠㅠ 여운이 많이 남은 영화,10,1
17,가슴이 울컥해지는 영화 오랜만이네요~  심장이 웅장해지네요 꼭추천하고싶은영화  배우들 연기가짱!!,9,1
