,document,score,label
0,업이 최고인줄 알았다.  인사이트 아웃이 최고인줄 알았다.  코코야말로 최고인줄 알았다.  이제는 소울이 최고다.,9,1
1,"가보지도 않은 목적지에 도달하기 위한 집착과 강박보다, 우연히 만나는 햇살과 나뭇잎 같은 시간을 누리는 소소한 일상이 얼마나 소중한지를 우리는 잊은 채로 살아간다. 어리석게도! (바다에 살면서 바다를 찾는!)",8,1
2,당신의 삶이 목적이 아닌 과정에 놓여 있기를,7,1
3,픽사는 진짜..날 착한어른으로 순화시켜줌..ㅠ.ㅠ,10,1
4,길거리를 걸을때도 피자를 먹을때도 재즈를 할때도 하늘을 볼때도  항상 순간마다 살아있음을 자각해야하는것,10,1
5,"주변, 그리고 같이 간 사람한테 우는 거 들키지 않으려고 고생했어요~ 이걸 보고 운 건 저 뿐인 거 같아요~",10,1
6,깊은 생각과 철학적 고찰이 되면서도 전혀 어렵지 않고 정서적인 따뜻함으로 충만해진다. 여운이 역대급..,10,1
7,지루하기까진 했던 우리들의 평범한 일상이 코로나로 인해 얼마나 중요하게 느끼게 해주는 것 처럼 이 영화 역시 삶은 본질적 즐거움과 지향하는 바를 알려준다.  어른이 보기에도 난해한 내용이 다소 있고 전체적으로 잔잔하게 흘려가지만 무엇을 말하는 지를 정확하게 이해할 수 있다.  디즈니의 상상력과 픽사의 실사 같은 그래픽에 또 한번 놀란다.,8,1
8,인생에 있어 삶은  그 자체로 축복 이고 아름 답다,9,1
9,감동적인 요소가 너무 많아서 지루하게느껴질수도있지만 그래픽은 겨울왕국2보다 훨씬 좋고 역시 픽사답게 그래픽이 ㄷㄷ진짜 모르고 본사람들은 그래픽보면 놀란다 그리고 스토리나 노래도 좋음,10,1
10,마지막에 왜 우는지 알수 없는 눈물이 한방울 나더군요. 왜 눈물이 났지?,9,1
11,어린이뿐만 어른들도 위한 영화인거 같아요~ 다른 어떤 영화들보다도 이 애니메이션을 보고 삶을 다시 돌아보게 되었어요.,10,1
12,어른이 볼만한 영화.. 눈물이 나서 옆을 봤더니 아이는  자고있었음..,8,1
13,나 마음이 따땃해졋어 행복쓰,10,1
14,여운이 남는 영화!,10,1
15,"첨엔 지루하다고 생각했다 하지만 결국 최고였다 주위에서 인정받는 것이 당연하게 느껴져 인정만을 받기 위해  그것을 목적으로 삼고 그것만 쫒아온 내 인생을, 내 영혼을 폭행했다 이렇게 살아온 내 인생이 허탈하게 까지 느껴진다 나도 다르게 살아보고 싶다",10,1
16,보는 내내 힐링 ㅠㅠ 요즘같은 시기에 보니 마음이 더 따듯해지는 느낌이였어요!,10,1
17,나도 모르게눈물 줄줄 흘리면서 본 영화 전 잔잔해서 더 좋았어용,10,1
18,여기가 바다다.,10,1
19,"마흔 넘어 애니메이션 영화보고 펑펑 울었다. 삶 자체가 너무 힘들었는데... 이 영화보고, 위로받았다.",10,1
20,정말 색감도 너무 예쁘고 22가 거리를 걸을때도 마치 제가 집적 걷는 것 처럼 너무 생생하고 아름답게 잘 만들었어요. 다시 예매해서 볼 생각 있어요!,10,1
21,삶을 다시 성찰해보게 만드는 영화 목표를 위해 사는 것 보단  현재를 느끼며 즐기며 감사하며 살게되길,9,1
22,아버지를 떠나보내고 슬픔이 일상이 되어버린 날들. 안타깝고 아프기만 했는데 당신의 인생도 그 자체로 아름다운 것이었음을.  영혼이 정화되는 느낌. 한 편의 영화가 그 누구의 어떤 말보다 큰 위로와 힘을 주었다.,10,1
