,document,score,label
0,노래때문에 울고 스토리때문에 울고 가슴먹먹하다,10,1
1,매니저 이 새끼 진짜. ,7,1
2,레이디 가가가 이렇게 연기를 잘하는지 노래를 잘 부르는지 처음 알았어요 엔딩곡 부를때 와...정말 뜨겁게 울었어요,10,1
3,정해진 수순이긴 하지만 사람 목숨이 얼마나 질긴데...ㅠㅠ  우리나라에서 음악 영화를 만든다면 손지연이라는 여가수의 노래를 만들었으면 좋겠다 자연을 노래하는 가수 너무나 자유스러운 영혼이라서 가까이 가기 두려운 가수 손지연...  잭슨은 자유스럽지 못한 자신의 인생을 겪으면서 종속되어져 가는 앨리의 삶을 안타까워하다 자신과 앨리에게 자유를 준다 결론을 이렇게 내 마음대로 해피엔딩으로 해야만 아픈 가슴이 진정된다,10,1
4,브레들리 쿠퍼의 감독작. 잔잔한 그의 연기가 돋보이는 영화. 가슴이 먹먹해진다.,10,1
5,"음악영화 보면서 처음으로 엉엉 울면서 봤네요 .  스토리가 자칫하면 유치해질 수 있었는데, 와 이거 우리나라 신파극보다 울음보 더 터짐.   제가 비슷한 처지에 있었던 적이 있어서 더 빠져서 본 것 같기도 하지만, 정말이지... 하.... 털쟁이 로켓 아재요. 너무 로맨틱하고, 목소리 너무 예술인거 아닙니까? 엉엉엉 ㅠㅠ 싸랑해요! 쿠우퍼!!  음악감독에게도 챤사를 보냅니다~!!",10,1
6,인생영화,10,1
7,넌 내게 눈물을 줬어 으엉 으엉,10,1
8,이좋은 영화를 이제야 보다니.딸이랑 눈물닦으며 봤어요 넘나 좋은영화~노래들두 너무좋아요~~,10,1
9,앨리가 공연에 초대되어서 'shallow' 부를 때 왜 내가 벅차고 눈물이 나오려고 하지...,9,1
10,브래들리 쿠퍼의 매력에 흠뻑 빠졌던 멋진 영화~~  두번째 본 이 영화 더욱 감동이다. 마지막 잭의 추모공연에서 눈물이~~ 지친 심신임에도 끝까지 사랑하는 둘의 모습이 아름다웠다.,10,1
11,너무 좋고 노래도 너무 좋은 인생 영화 중 하난데 마음 아파서 또 보기가 쉽진 않다 나의 레이디 가가~,10,1
12,큰 내용은 없어도 마지막엔 눈물나데.. 음악의 힘인가 배우의 연기의 힘인가.,8,1
13,"원래 연기 잘하던 브래들리 쿠퍼는 놀랍지도 않다손 치더라도, 레이디 가가의 진정성 있는 연기력이 아주 강하게 뇌리에 남는다. 이야기 자체의 매력도 뛰어난 편. 엔딩은 조금 씁쓸하지만, 전체적으로는 푹 빠져서 볼 수 있는 영화.",8,1
14,"세상 다정하고 자상한 반짝이는 눈빛. 레이디가가의 진중함, 브레들리쿠퍼의 놀라운 재능에 깜짝놀라 기가막힐 지경.",8,1
15,브래들리 쿠퍼 머리 좋네,10,1
16,추천해 줘서 봄. 슬픔. 너랑 같이 봐야 10점 줄 듯.,9,1
17,레이디 가가  재능이 많네요,10,1
18,.,10,1
19,몬지모르고봤다가 끝까지보게되네요 감동적입니다 꼭보세요,10,1
