,document,score,label
0,재밌는데요;;,10,1
1,이영화 강추다,9,1
2,스파이더맨  :  파 프롬  홈  꿀잼~,9,1
3,재밋어서 새벽에 못 자는 중인데 학교 가서 그런가 남주가 잘생겻네요,10,1
4,단독영화조차 이젠 유니버스로 봐야하는 피곤함 심플해졌으면 좋겠다.,5,0
5,괜찮네요 ,9,1
6,재미있는 영화  였습니다 ,10,1
7,꿀잼영화,10,1
8,진짜 꿀잼,10,1
9,청소년기 소년이 존경하는 인물의 죽음을 이겨내며 사람들을 도와야 하는 히어로의 삶을 재미있게 풀어냈습니다. 영화를 보는 내내 아이언맨 토니스타크를 같이 그리워하게 되기도 했습니다.,8,1
10,재미없다해서 안 봤는데 너무 재미있네요~ ,9,1
11,10대가 주인공인 10대 취향. 액션은 줄고 애정관계는 늘고.. 차세대 리더의 아우라는 아직 많이 부족하기에 성장해가는   차기작들은 기대해본다,6,1
12,토미가 나오니꺼 당연하지♥ 역시10점♥우리 토미 사랑해,10,1
13,이건 뭐 볼 가치가 영~~,2,0
14,진지할땐 좀 진지했으면... 어린이 아동 영화,2,0
15,넘 재밌게 봤습니다,10,1
16,충분한 재미와 볼거리 선사 그것만으로 만족,10,1
17,톰홀랜드 넘 좋아서 봄. CG 액션씬은 볼만했다.,7,1
18,괜춘,10,1
19,좋음,10,1
20,이 영화는 볼만한 오락 영화임에는 틀림없다 재미있는 유머가 쉬지 않고 튀어나오고 가벼운 분위기를 내내 유지하고 있다  액션 장면들은 그 어떤 히어로 영화와 비교해도 부족하지 않을 정도고 시각효과와 연출이라는 측면에서도 훌륭한 장면들이 많다  볼거리 충분하고 스파이더 맨이라는 최고의 인기 히어로가 나오고 톰 홀랜드는 여전히 뛰어났고 마블의 세계관 안에서 온갖 오마쥬들이 펼쳐지는 장면들을 보고 있자면 결코 돈이 아깝지 않다  이 영화는 볼만한 작품이다 하지만 이번 영화는 마블 스튜디오의 한계를 여실히 드러낸 작품이기도 하다  이야기의 전개 방식이 정말 아니었다고 생각한다 산만하고 어지럽다  하지만 치명적인 약점들이 있음에도 불구하고 그럭저럭 재미있게 볼 수 있는 오락영화라고 할 수 있다,6,1
21,",",1,0
22,..,7,1
23,가끔은 진지해도 괜찮아..,7,1
24,"미스테리오스 자제가 퐌타지풍이라 별로였는데 일루전이라고? 노웨이~!! 어벤져스의 후속이라면 환영 가모라 어디갔고, 나머지 멤버를 언제 나올 지 궁금, 이걸 또 10년을 기다려야 하나?",7,1
25,왜찍었어,0,0
26,생각보다 별로,4,0
27,"마블영화라 봤는데, 스파이더맨 전편에 비해 유치하네요...",5,0
28,나도 스파이더맨 되고싶당,7,1
29,완벽한 귀환이였다 WTF,10,1
30,스파이더맨은 재밌다! 스토리의 한계가 보이는건 슬픔,6,1
31,답답,6,1
32,큰 이벤트를 몇개나 치루고 지고 죽었나 살아났으면서 히어로로서 준비가 너무 안돼서 완전 실망이네요.. 영화보면서 짜증나서 죽는줄,1,0
33,반전이 몇개야;,6,1
34,걍 재미는 있었고 마지막 왓더ㅍ 에서 끝나는거 진짜 웃겼고 외계인들이 퓨리 부하처럼 된것도 웃김. 웃긴거말고 남는게 없네... 웃기기라두 해서 다행,6,1
35,아우 발암,4,0
36,아이는 결국 혼자 성장한다,7,1
37,적당히 재밌다.,7,1
38,닉퓨리 입장이 이해가 안됐음 차라리 없는게 좋았음,7,1
39,재밌게 봤다,10,1
40,재밌어요?1111111111111111만큼재밌다,9,1
41,역시 재미있었지만 1편 보다는 살짝 아쉬웠던 시리즈 였습니다. ^^,8,1
42,유쾌한 마블도 때로는 필요하다. 앤드게임 이후를 자연스럽게 잘 연결한 것 같다.,7,1
43,...,6,1
44,"판권이 소니로 넘어가서 평점이 이런건가요... 개인적으로 저번 편은 대실망이었는데, 이번 편은 매우 만족. 더군다나 제이크 질렌할까지.. 항상 영원한 진정한 스파이더맨은 토비라고 생각해왔었는데, 이번 편에서 톰 홀랜드도 그만의 엉성하면서 촉새같은 독특한 스타일을 완성했다고 봄. 토비와는 분위기가 전혀 다르지만 톰 버젼이 웃기기는 더 웃김. 마블은 이제 스파이더맨도 떠나보내고, 완전 망해가는건가...",10,1
45,"국내서도 운전중 스마트폰 보는거 때문에 사회적 문제가 많은데, 스파이더맨도 이동중에 스마트폰을 보다니... 심각하군...ㅋㅋ",8,1
46,"스파이더맨이 어리버리, 발암이라 안타깝지만 씨지를 잘만들었고 웃기는 장면들도 있어 좋왔다.",6,1
