,document,score,label
0,일단 대사 전달이 너무너무너무 안됨. 대사보다 음향이 더 큼. 자막을 깔던가.,4,0
1,신의 패착 - 무뇌충편.....또는 귀쌰대기편으로 제목을 바꿔야 하는거 아니냐? 무뇌충 이하 그 잔당 배우들 뭔 개소리 하는지 들리니? 자막 좀 깔아줘라.......무뇌충 혓바닥은 웨이트 트레이닝 안되니?,0,0
2,"전편도 바둑판만 배경일뿐(더구나 도박용) 그저 싸움판이라 적잖이 실망했지만 그래도 액션신이 그 바둑판의 배경과 매치는 됐었는데, 이건 뭐 그보다도 못한 그저 음산하고 잔인한 분위기에 겉멋을 잔뜩 집어넣는데 신경쓴데다 설정과 전개도 억지스러울뿐이다 바둑판 배경없이 만들면 그저 뻔하고 흔한 복수물중 하나로 관심을 못끌거같아 바둑을 도구로 이용해먹은듯하다  덕분에 ‘바둑’이미지에대한 가치를 전편보다 더 형편없이 전락 시켜버린 느낌? 유치하고 재미없어서 원...",4,0
3,"개연성 현실성이 너무 떨어집니다. 바둑은 돌따먹기가 아닌데 돌많이 따먹는게 이기는걸로 나오고, 우도환, 권상우는 복수를  위해 무도를 연마했나요? 반전도없고  너무 지루하고 재미없습니다",1,0
4,과하다 지나치게 과하다 연출 스토리 캐릭터들 심지어 음악까지..능력은 없는데 이상은 엄청 높게 잡은 망작. 진짜 오버의 끝을 보여주는 졸작,0,0
5,주인공이 살리지 못한 영화...연기 진짜...하...할말없다...연기공부 안하냐?발성도 좀 배우고 밑바닥 부터 연극으로 다시 시작해라...감독의 연출이나 시나리오도 별로긴 한데...권상우가 아저씨를 찍었음 지금 딱 이꼴 났을거다...,3,0
6,뭔 쌍팔년도 쌈마이 영화도 아니고 한국영화 어쩔려고 그러냐? 스토리 연출 대사 연기 뭐 하나 건질게 없네! 딱 하나 단역이지만 주서은 배우만 강렬하다. 겨울왕국만 탓할게 아니야 이 문젠..,1,0
7,"평점보니 호불호가 갈리네 , 이게.. 재밌다고 ,? 영화보면서 현실성을 따질 필요는 전혀 없지만 , 그래도.. 이야기 흐름이 매끄럽다거나 ,개연성이 좀 있어야 되는거 아니냐..  아니  됐고. 그냥 재미없어 .그래서 보다 말았어. 이상  끝. 근데  웃긴건.. 아니. 뭔.. 무식해보이는  깡패쉬키들이.. 바둑을 두는게  졸리 웃김..  ",3,0
8,뭔 깡패새퀴가 바둑이냐ㅋ,1,0
9,권상우가 머리가 좋아 귀수같냐? 귀신의 수를 쓰는 그런 머리같냐고? 제발 이미지나 배역에 맞는 애들을 캐스팅해서 영화를 만들어야지 애들장나하냐? 요즘한국영화를 보면 무슨 돈세탁하는 수단이냐? 영화를 만드는거냐,2,0
10,방금 tv에서 봤는데요 여러분 이건 유사느와르 영화에요 찐바둑영화 아니잖아요~ 도대체 어떤 '정통바둑영화'를 원하시는지... 권상우씨 및 조연분들도 연기 정말 절제있게 잘했고 영상미와 액션씬 너무 깔끔하고 좋았잖아요~ 느와르 수작이라 생각합니다,8,1
11,1편 정우성 클라스에서  2편 권땅우 합바지라니 어차피 망할 패착이네.  캐스팅 누가핸니 델꼬와라 따귀한대 맞고 시작하자.,1,0
12,똥나라에서 사는 뱀의 이름은 - 설사,4,0
13,내돈 돌려도,1,0
14,보다가 일어서 나왔다  남편이랑 별하나도 아깝다,1,0
15,제대로 실망하고 갑니다 ㅠㅠ,1,0
16,별로..,0,0
17,무슨 이야기를 하고 싶은 건지,1,0
18,감독이 욕심은 많은데 실력이 안된다. 과유불급이다. 명심해라 감독아.,4,0
19,몰입도만 봤을때는 최고다,8,1
20,"1편보다 잘된 2편 없다지만, 이건 정말 너무 함.",1,0
21,타짜인척 하는 걸 들킨 어느 타짜,1,0
22,1편보다 못하다 마지막 복수는 뭐냐 정말,4,0
23,감독님 감독님 애니를 만들든가 하시지 영화가 만화같으니 스토리도 좋은데 너무 아쉽네요,4,0
24,"신의한수 1편은 짜임새도 좋고 탄탄했는데 , 귀두편은 뭔가 허술한듯~  중간중간 카리스마 있으라고 하는 말투가.........도통 뭐라하는건지......  자연스럽게 우러 나와야지..........목에 힘주고 깐다해서 멋진게 아닌데.............ㅋ",6,1
25,"개연성 부족, 주연의 대사 연기 부족 바둑이라는 장르상 제대로 된 스승없이 천부적 재능만으로 이룩하기에는 어이없는 입신의 경지. 자극적인 장면의 킬링타임용으로는 만족",6,1
26,다 좋은데 남주인공이 에러캐스팅ㅠ,5,0
27,권상우씨는 이제 벌만큼 벌었으니 제발 은퇴좀 부탁드리오 당췌 왜 이 직업을 택한건지 아효 ~  스트레스,0,0
28,전편보다 영상미가 마음에든다.  전편보다  바둑영화 다운 영화이다. 전편은 그냥 액션.,7,1
29,장점은 시간가는줄 모르고 재미있게 밨다... 액션영화로서는 말이다. 단점으로는 몇가지 있는데 감독이 과연 바둑을 조금이라도 알고 저런 설정을 한건지는 모르겠다..바둑을 조금이라도 두는 사람들은 알것이다.... 이 얼마나 어이없는 설정인지... 무슨 주인공이 절에서 혼자 수련하여 초고수가 된다는 무슨 무협영화에서나 자주쓰는 설정을 하고있는지 모르겠다. 또 배우 권상우... 하..ㅠㅡㅠ 무슨말인지 못알아듣겠다...다행히 영화속에서 주인공치고는 대사보다 액션이 많아 티가 덜난듯 하지만 어쩔때는 못알아 듣겠어서 중간에 몰입도가 약간 떨어지는 느낌이 들었다. 그러나 방금까지도 써놓았지만 액션영화라는 측면으로만 본다면 너무 재미있고 시간끌지 않으며 시원함이 있어서 좋았다..,7,1
30,권상우가 난 좋더라 멋짐♡ 가끔 섬뜩한 장면도 있지만 영화 재미나네,10,1
31,와...너무 잼나게 봤어요.,10,1
32,긴장감좋다,10,1
33,재밌네 시간 가는줄 모르고 봄,10,1
34,잼씀 ,10,1
35,굿 진짜 재밋음  석점깔아라,10,1
36,이런영화가있었네요.sofuny,10,1
37,영화 평가할 줄 모르는 1인 입니다. 이 점수는 영화 시작과 동시에 끝날때까지 잡생각 전혀 안하게 해줘서 고마운 마음 담았습니다. 어려운 스토리로 심오하게 다뤄서 몇번 다시보게 하는 복잡한 한국영화 아니어서 너무 좋네요.  티비에서 해주는 추석영화 중 역대급이요!! 흥행에 동참해주지 못했던걸 용서하오 ㅠㅠ,10,1
38,김희원씨 웃김 ㅋㅋ,6,1
39,1편은 명작이였어ㅠ,3,0
40,1편과 스톤 두 영화의 절반도 못미친다.,3,0
41,0점은 어떻게 줄 수 있나요?웃긴건 알바마저 쉴드를 못치고 있다는거지....ㅋㅋㅋ0점이 안되서 1점 줍니다. ㅋㅋㅋ,1,0
42,고구마가 없어서 좋다.,10,1
43,원현준 무당 졸 무서웠다,10,1
44,우도환 캐릭만 없으면 긴장감 더 갈텐대 무슨 바둑판을 개발해서 파편이 날아가질 않나  억지스럽다 또한  연기도 부족해서  막판 가기전  김이 빠졌다,7,1
45,0점은 없나,1,0
46,..,4,0
47,감독하지말고 딴거 해라,3,0
48,몇번을 봐도 잼나요. 권상우님과  허성태님 최고♡,10,1
49,"원래 8점 줄려다가 평점 조절용으로 만점줌 2점깐건 권상우 연기 아쉬운거 1점, 시나리오 마지막 30분의 주인공 원수 대결부분이 시시해서 1점 깜! 일단 시작하고 1시간 동안 전개와 각본은 1편을 상회할 정도로 연출이 좋고 아이디어도 막나가는 재미가 참신 그자체! 1,2탄을 쓴 각본가의 실력에 감탄! 연출한 감독도 1편 감독보다 더 연출이 좋음! 액션 씬만 보면 헐리웃 액션 씬 보다 더 나음! 무당과의 바둑 대결 씬과, 화장실 격투 장면은 이영화의 백미 ,감탄함! 1탄 처럼 19금으로 해서 최종 악당을 좀더 화끈하고 박력있게 마무리 했었으면 1탄보다 더 나았을텐데 제작비 문제였는지, 15금으로 흥행해보려다 내용을 약하게 한게 문제인지 아무튼 최종악당 씬 시시한거 때문에 1탄과 비슷한 수준으로 끝남! 좋은영화",10,1
50,바둑 뜨실분,10,1
51,개연성 떨어지는 스토리에 타짜를 슬쩍 엎어놓은 듯한 분위기. 1편을 뛰어넘을 수 없는 한계가 분명한 작품.,4,0
52,잔인해요ㅜㅠㅠ,7,1
53,액션은 그럭저럭 볼만한데 이럴거면 바둑을 왜 두는거야 그냥 칼부림하고 말지 ㅋㅋㅋㅋㅋ,1,0
54,기대가 큰건지,1,0
55,초라한 지저분함이 만들어 낸 디테일,7,1
56,감동 없고  의미 없는  메마른 복수극,7,1
57,무슨  사람을   화염속으로  묶어서 저울질 하니?,1,0
