,document,score,label
0,물탱크는 안에서도 잠글 수 있게 법제화하라,10,1
1,전 엄마랑 너무 재밌게 봤는데.. 왜 평이 별로 인지 모르겠네요..기분전환하기 너무 좋은 영화였습니다! 별10개주면 알바라 할까봐 하나 뺐습니다!,9,1
2,아이들과 재밌게 봤습니다 저는 차승원 좋아하고 아이들은 이광수 좋아해서 보러갔는데  김성균  능청스런 연기 넘 재밌었어요 엑시트 영화 같은 장르입니다 아이들이 초반부터 빵빵 터지더니 후반에는 부성애에 눈물도 나고... 가족들과 함께 보기 좋은영화입니다 코로나 아니면 방학이라 천만도 될것같던데.. 개봉날 첫타임에 봤는데 관객들이 꽤 있어서 놀랬거든요~ 아이들이 더 재밌게 보더라구요~,10,1
3,"너무 유치할 것 같아서 몇 번을 안 보려고 결심한 후에 봤다. 하지만 의외로 영화에 대한 만족도는 높았다.  너무 개그 치려고 하면 짜증나는데 그렇지 않아서 좋았고, 적당히 유쾌하고 약간의 사회적 메시지에 적당히 긴장감과 슬픔이 있어서 꽤 긴 러닝타임이 지루하지 않게 흘러갔다.",8,1
4,"싱크홀이라는 소재도 신선하고 재미, 액션, 재난 다있음!!",10,1
5,재밌고 또래 남자아이를 키우고 있던터라 진짜 눈이 퉁퉁붓도록 울었다.. 재미 감동 다 있음. 지루하지않고.,8,1
6,차승원 나오는 영화는 다본다,10,1
7,생각보다 괜찮았어요. 예고편 볼때는 기대 1도 안 되었는데 다 보고 나니 괜찮네요. 군데군데 참신한 아이디어도 있고...차승원 이번에는 좀 잘 되었으면 좋겠습니다. 배우들 힘들게 찍었을 듯요.,8,1
8,차승원 배우님 아들. 국경의 남쪽 너무 좋았는데 다시보기하며 기다려야겠어요.,10,1
9,재밌어요,10,1
10,"방학이라 아이들과 가볍게 보았습니다 ^^ 코믹함이 있지만,  현재 한국 사회를 잘 표현 해놓은 영화네요 각자의 역할에 맞는 가벼운 대사에도 깊은 뜻을 숨겨놓았고 그걸 되씹어보는 재미가 있습니다 (사실 되씹으면 조금 슬픕니다..^^) 의상이나 차량 부분에서 감독의 의도가 궁금했던 몇가지 장면들이 있었고요~ 겉만 보면 코믹이고 신파라고 생각하시는 분들도 있겠지만, 깊이를 보면 지금의 현실을 기록한 영화인 듯 합니다.. 완벽히 한국영화다운 영화였습니다~ 추천합니다~",10,1
11,왜케 평점이 안좋지.? 재미있고 감동적이고 심장쫄깃하구만.. 상대영화에서 알바풀었나? 근래 몇편본 영화중 쟤일 가족가 같이보기좋은 영화였음.. 지금가족들에거 무관심했다면 한번돌아봄듯한 영화..,10,1
12,엄마랑 동생이랑 보러 갔는데 영화관에서 웃음소리 들리고 저희는 정말 다  재밌게 봤어요! 특수효과를 기대하면서 보기 보다는 가볍게 보기 좋은 영화라고 느꼈어요☺️,10,1
13,영화보다 이광수가 런닝맨에 홍보 나올게 더 기대됨!!!,8,1
14,궁금해서 결국봄 방금봄 별루면 말지 했는데 반전이네 난 꿀재밌엇음 극장안 사람도 없고 넘 좋앗음 다보고 나오면서 혼잣말 모가디슈보다 오히려 잼나네 차승원 더조아짐 승원이형~ 얼른 집에가서 삼시세끼 다시보며 진흙구이 통닭에 혼술각 기분좋은 영화는 그날을 확 바꾼다 (파주메가박스21.8.12),10,1
15,"차승원, 이광수 어쩜 유재석이 이렇게 장난치기 좋아하는 멤버가 모였냐 ㅋㅋㅋ 영화 대박나고 런닝맨에서 보장 ^^",10,1
16,영화를 영화로 봐야지 싱크홀이 맞냐 아니냐가 뭐가 중요하지?,10,1
17,진짜 너무 재미있었고 다음에 또 보고 싶어요 간만에 엄청 웃고 엄청 울었숩니당,10,1
18,"난 너무 재밌었는데 슬픔,재미 망한 게 아니라 성공한거임. 그리고 열심히 한 배우들 깎아내리는 건 이해가 안 감 나는 언제 생각해도 싱크홀은 재밌었던 영화라고 생각한다. 배우들 비판하지 말고 자기 재밌는 영화나 보러 가라. 재밌는 사람에겐 재밌을 뿐인다. 평점 1점을 준다해도 선 넘지 마라. 그리고 자신이 나중에 안보면 되지 누가 남이 재밌을지도 모르면서 보지 말라입니까? 그런 건 하지 마세요 즐거우면서 슬프게(재밌게) 본 사람도 적지 않으니까",10,1
19,"경쟁작 알바가 많은것 같습니다. 영화는 감독의 의도와 작품 곳곳에 관객들에게 전달하고픈  숨은 요소를 찾아 해석하고. 뜻을 알아가는 재미가 있는게 영화의 매력 아닐까 싶습니다.  차배우 옷에 적힌 코리아를 자주 노출 시키는 의미와, 3잡을 가지고도 3천 보증금에 85만원 월세를 살수 밖에 없는 현실, 인턴직원이 회사에 바라는건 명절날 정직원들처럼 집에 명절선물받고 싶다는 소박한 젊은 직원들의 생각 등등 내면을 들어가보면 느낄수 있는것들이 많습니다.",10,1
20,영화가 절말로 제미있어요 조끔옷겼어요 대박 예감 이듣네요 배우들 모두 연기가 훌륭한 네요  코미디한 영화를 보고싶은면 추천할것애요,10,1
21,가족들이랑 가볍게 보기 좋은 영화 재난 액션 코믹 다 있음,10,1
22,방학에 아이들과 보기 괜찮네요.  슬프기도 하고 재밌기도 한게 엑시트 2탄 느낌인데  볼 만 합니다.  싱크홀 무섭네요--;  천만 갑시다^^,10,1
23,평점이   너무   안 좋아서 별 기대없이 보아서인지 생각보다는   재미 있었어요 빨리 구조될 수 있는 방법을 안 써서  좀 이해는 안되었지만~^^;;;,8,1
24,1빠 내가 좋아 하는 배우분들 무조껀 봐야쥬 ,10,1
25,재미있어요,8,1
26,코로나로 힘든 시기를 보내고 있는데 모처럼 웃음과 감동을 주는 영화,10,1
27,여름 영화로 딱인 것 같아요! 같이 보고 온 친구들두 재밌대요,10,1
28,가족들이랑 가볍게 보러가기 좋은 유쾌한 영화였음. 엑시트랑 터널도 생각나고 스케일도 커서 꼭 극장에서 봐야 할 영화임.,10,1
29,액션 코믹 다 있는영화! 배우들 케미가 최고ㅠㅠ,10,1
30,"방금 초등5학년 아들과 봤는데 역시 차승원!!! 재미도 있고 풍자, 가족애, 이웃애? 확실히 볼만하고 재미있게 봤습니다. 강추합니다.",10,1
31,꿀잼,10,1
32,마지막에 감동적이네요,10,1
33,웃다 울다를 반복했네요. 넘 재밌게 봤습니다! 요근래들어 가장 재밌게 본 영화예요!,10,1
34,간만에 영화관에서 실컷웃었습니다. 차승원이 다~~~~한~~~~~~~~~영화 그냥 차승원  믿고보는 배우입니당^^,10,1
35,아이들과 같이 볼만합니다~ 배우들이 고생 많으셨네요.. 잘 봤습니다,10,1
36,재미없어도 보고싶다 근데 재미있을것같네,10,1
