,document,score,label
0,마동석씨 정신 건강 괜찮으신지  조금 그런 생각이 드는 영화네요 늘 마동석씨는 저런 정신적으로 상처될 만한 영화를 너무 찍는데 후유증이 없기를 바라요 얼마전 사람 막 죽이고 아무렇지 않게 말하고 하는 역활한 배우가 공황장애를 앓았다고 하는데 건강지키시길요~ 어쨌던 님의 영화배역은 늘 그 사람같아보입니다. 다들 연기는 굿 그런데 너무 거칠고 무서운 폭력이 좀 덜 했었으면 더 나았을 듯 합니다. 제작자 감독들은 좀 덜 잔인하게 만들어주길 바랍니다.,7,1
1,마동석 특유의 뻔한 액션이 아니었다 스토리도 탄탄하고 긴장감도 넘쳤다 마동석이 나온 영화 중에서 범죄도시보다 오히려 더 높게 평가받을만한 영화,10,1
2,재미는 있는데 백뮤직 음향이 대사를 씹어 먹어서 대사 전달이 안 된다. 한국영화에도 자막을 넣어주시라!,6,1
3,아...김무열씨 연기 좀 누가 말려주세요 캐릭터 연구도 좀더 하셔야죠 오버스럽게말고 자연스럽게 안되나 감독도 같이 반성해야될듯,5,0
4,내용은 나쁘지 않은데... 김무열이랑 다른 경찰들은 왜 첨부터 계속 인상쓰고 성질내고 짜증내는 캐리터들인지.. (보는내내 이해도 안되고 불편).. 음악은 또 왜 애매하게 집어넣어서 대사 자꾸 씹히는지..,6,1
5,김무열을 왤케 씹지? 연기 잘만 하더만~~ 배역이 짜증을 유발하는데 왜 배우탓을 하는겨? 웃기네~~진짜 마동석 김성규 연기 모두 훌륭했습니다.,10,1
6,겁나게 재밌다. 기대없이 봤더니..쫄깃쫄깃하네요,9,1
7,마지막이  멋졌다,10,1
8,이제야 봤습니다. 음악이 가장 신경쓰이지만 (뭐 아주 거슬리진 않았습니다) 연기와 스토리는 최고였습니다. 뻔할 수 있는 스토리가 영민한 짜임새로 다시 태어났고 다 아는 연기들이지만 캐릭터와 잘 맞아 떨어져 빛났습니다. 노래방 장면은 정말 한국액션영화 최고의 장면 중 하나였습니다. 잘 봤습니다. 고맙습니다.,10,1
9,아 잼나다,9,1
10,역시 액션은 마동석님 ~~살인범으로나온 배우님 어디서 많이봤다했더니 네플렉스 좀비 영화 거기 나오신분 같은데 맞는감 ~~어쩐지 연기를 너무 잘하시더라   김무열 배우님 영화 활 에서부터  팬인데 ~~아형에서 생각외로 웃겨서 더 좋아짐  영화관에서 못본게 아쉬움,10,1
11,김무열역만 다른 정상적인배우가했어도 3천만은 갔다 ,1,0
12,김무열이는 아닌듯.,1,0
13,진정 굿잼~!꿀잼~   //2020.08.21,10,1
14,마동석의 시원시원한 액션 후련하니 볼맛 난다.. 김무열이...너무 힘들어간 연기땜에 좀...ㅠㅠ 보기 불편했으나....마동석이 커버해줌.. 김무열..멋진척을..너무 해댐..ㅋㅋ(그...비속어로...후까x) 김무열...앞으론 힘좀 뺍시다...,8,1
15,"오랜만에 스토리가 잇는 영화한편...재밋게 봄^^ 김무열씨, ㅠㅠ 연기가 쫌 ~~ 넘 화만 내는 연기! 보기에 영 ....",8,1
16,김무열 진짜 연기 최악이네,1,0
