,document,score,label
0,"우주영화를 소재로 한 인간의 내면과 성찰이 담긴 영화. 호불호가 있을듯 하지만  저는 비슷한 고민이 있어선지 맘속 울림이 있었고 따뜻해 졌습니다. 누구나 한번쯤은  스스로 답이 없어보이는 질문과 고민을 할 것입니다.  그런 분들께 좋은 영화가 되길 바랍니다. 아, 영화적 분위기와 내면 연기도 너무 좋았어요.  ",9,1
1,배경은 우주이지만 결국엔 삶이 주제.  어떻게 살아야 할 것인가에 대해 성찰하게 하는 영화.  DHL 우주에도 택배 나가다! 마늘 까면서 영화보다 깜놀했네요.,10,1
2,"알베르 까뮈의 '이방인', 마침내 21세기에 근미래를 바탕으로 우주에서 다시 씌여지다",10,1
3,때로 모든 것을 잃고 나서야 알게 된다. 그것이 얼마나 소중한 것이었는지를. 코로나 시대를 관통하며 온 지구인들이 겪고 있는 일이 아니던가.,9,1
4,",",8,1
5,그닥....,5,0
6,이영화 비추다 다만 평론가들은 최고등급 극찬한 좋은영화 이다,4,0
7,와우. 대단한 영화,10,1
8,다난한 사건을 헤쳐 정적 속에 깨어지는 성찰은 우주의 품 속에서 더 부각된다.,6,1
9,광활한 우주에서 삶의 의미를 찾다,9,1
10,어디를 바라보며 살아가야 하는지를 알려주는 영화...브래드 피트 연기 잘한다...,8,1
11,영화가 말하는 바는 의미없는 뻘짓거리에 올인하지 말고 가치ㅠ있는 것을 등한시 하지 말아라 라는 교훈이 있는듯,7,1
12,최고!!,10,1
13,ㅡㅡ,7,1
14,SF 형식을 빌렸지만 본질은  트라우마를 가진 인간이  그것을 직접 마주하고   슬픔을 슬픔으로 극복해내는   카타르시스의 성장 휴먼 드라마임...  잔잔함 속에 적절히 스릴을 가미해서 지루함을 상쇄함...  좋은 영화임...,8,1
15,브래드피트가 연기하는 고독의 표현이 잘 살아나는 영화,9,1
16,분위기 잡네,7,1
17,디테일한 연출에는 공들이지만 큰그림은 못그리는 감독. 덕분에 영화는 비논리적 이벤트와 반복되는 감성적 이미지로 지루하다. 우주에서 물리적 표현도 틀린 부분이 많다. 하지만 영화 자체가 거대한 상징이라는 점에서 이해할 수 있다. 목표의식과 책임감으로 무장한 채 자기안의 나약함을 계속해서 부정하며 남에게 들키지 않으려고 조심하는 남자의 일생을 아버지를 찾아가는 우주인의 여정으로 묘사했다. 영화는 그런 남성성을 원숭이와 가정을 버린 남자로 묘사해버렸지만 그건 감독의 극단적인 세계관일뿐. 목표의식과 책임감을 이해하지 못하는 나약한 철학이 영화전반에 깔려있다. 마치 야근을 마치고 녹초가 되어 귀가한 남편에게 왜 아이랑 놀아주는 섬세한 남편이 못되냐고 바가지를 긁는 마누라의 철학쯤 된다. 정작 눈앞의 사람을 이해못하는,4,0
18,보이지 않는 것들의 소중함,7,1
19,21세기의 스페이스 오디세이.,8,1
20,"나의 원인을 부정해야 하는가 긍정해야 하는가의 오딧세이. 그 와중에 우주에 끈으로 묶인 관계, 결국은 끊어야 혹은 끊어지는,,, 지옥의 묵시록+그래비티 2020.04.25.",7,1
21,calm mood,8,1
22,Excellent,8,1
23,"과학기술로 해왕성까지 가는것보다...""열 길 물속은 알아도, 한 길 사람 속은 모른다"" ",8,1
24,나름 실감나게 봤어요. 볼만하네요~,8,1
25,인간의  내면 사이코 기질 ..밀폐된우주에서  미칠만하고  ..세상 의  정 의된무엇이  중 요하랴   한 낯   먼지도 아닌  존재   인간 ,10,1
26,공허함과 광활한 배경만으로도 관객들의 이목을 집중시킬 수 있는 능력은 가히 제임스 그레이의 마력이라 칭할 수 있다.,8,1
27,아 시간 아까워 재미도 감동도 아무것도 없다,0,0
28,뭔가 있겠지 하고 보다가 2시간 지나갔네. 결론은 아무것도 없음. 시간낭비 인생낭비 에너지낭비,2,0
29,잔잔하게 awesome인 영화 단순한 스토리 라인 이지만 그 라인 속에 메세지를 느끼는 재미가 있어 좋았습니다 브래드피트의 주름진 얼굴이 묘하게 영화와 어울리네요 각자의 느낌과 기억을 더듬을 수 있는 결이 있는 영화라고 생각.,9,1
30,흠....,6,1
31,"건조한 영화다. 인류애, 부성애 그런 거 없다. 다만 임무를 완수 할 뿐.. 브래드 피트 하나 믿고 본 영화, 사실적인 특수 효과가 실감났다.  가상의 사건, 가상의 미래.. 실감나는 표현이 돋보이는 영화이다. ",7,1
32,좋은 영화지만 조금 심심한 면이 없지 않지.,6,1
33,"가족보다 자기일을 더 중요시하는 아버지와 그런 아버지와 닮은 삶을 살아가던 아들의 이야기쯤일까 배경이 우주일뿐 예전 어느 드라마에서 한번은 봤을 법한 내용이지만 나름 볼만 했음 칠흑같이 어둡고 드넓은 우주에서 홀로 유영하는 인간의 모습은 인간이 혼자일때 초라하고 나약하고 외로운 존재로 비치겠지만 누군가에겐 그 가족마저 버리며 미치도록 밝히고 싶은 미지의 영역이겠지.. 관점의 차이에서 오는 상대적 선택은 모두 존중받아야 하지 않을까, 다만 안타까울뿐",7,1
34,자신이 알고 싶은것을 좇는 두 남자의 이야기일까. 아버지는 우주 너머의 지적 생명을 알아내기 위해 헤매며 가족을 떠나려하고 아들은 그런 아버지를 알기 위해 목숨을 걸고 찾아간다. 결국 중요한 것은 무엇이었을까 알아가는 영화.,8,1
35,광활한 우주와 싸우는 인간의 내면과 인간 사이의 갈등을 다룬 영화. 인터스텔라 같이 새로운 지구를 탐사하는 내용에 차별을 둔 새로운 접근은 신선했지만 크게 어울리지는 않았던 것 같다. 하지만 화려하고 웅장한 연출감과 우주의 아름다움을 감상하기에 충분한 영화.,7,1
36,이해가 될듯 말듯;;;,6,1
37,영화를 보고도 이해 못 할 부분이 너무나 많아 여러 사람들이 올려놓은 글을 봤다. 그러니 좀 이해가 됐다. 그러나 로이의 탈출 과정이 좀 과장 된 것이 아닌가 싶었지만 우주 특유의 아름다운 별과 광활한 우주의 평온함의 스크린은 언제봐도 우주의 영화는 신비롭다.,8,1
38,외로움과 싸우는 인간의 내면연기,8,1
39,"이렇게 재미없는 영화는 생전처름/ 재미도, 장점도, 내용도, 흥미도 1도 없는 졸작. 별을 2개씩이나 준 사람은 뭐지?",0,0
40,우주에 대한 묘사는 훌륭하지만 주인공의 잦은 독백으로 전개가 지루하다.,6,1
41,좀 의아한 부분들도 보이지만 긴 우주여행을 이런 화려한 그래픽으로 대리만족하는 것만으로도 좋다.,8,1
42,해왕성 우주선안에서 30년을 살수있다는것도 의문이고 아버지가 참 이기적이다싶다. 그 긴 세월을 버티다가 하필 아들을 만나고나서 놔달라니. . ,6,1
43,재밌는데? 인터스텔라못지않게잼나게봄,10,1
44,무슨 영화지?,1,0
45,도대체 멀만들고 싶었던걸까 싶네요.  ,6,1
46,시각효과 ost 모두 굳 스토리도 굳 지루한건 케바케,10,1
47,뭐 심오한 뜻이 있겠지 하고 보다가 화물차 대기하면서 봤는데 진짜 영화보다 졸았네요... 진짜 이렇게 긴장감 없고 재미 없기도 힘들듯.. NGC다큐도 이거보단 재미있어요,2,0
48,"처음에는 주인공의 잦은 독백이 거슬렸지만, 심리 드라마(?) 라는 걸 이해하기 시작한 뒤로는 괜찮았다.",8,1
49,예상 밖이다 우주인에 대한 이야기 그리고 우주로 나아가는 기술을 보여준다,9,1
50,중력이 없는 곳에서 장시간 이성을 유지하고 신념을 지키고  목표로 나간다는건 무엇일까 그 우주선에서의 비몽사몽 하는사이  타인들간에 이해충돌이 발생된다면 얼마나 자신의 선의를 지킬수 있으며 자신의 의지가 맞다고 확신하고 대처할수 있을까 결국 이성이란 것도 중력이 만든 인간의 한계는 아닐까 이성이 없는 목표의 의지 그건 본능만 있는건 아니고 때론 이성이 만들어낸 착각과 정신 착란 일수도 ....    어쩌면 인간은 그런 과정을 통해서 생식을 성공하여 이뤄진 존재는 아닐까 싶은 생각도 든다,8,1
