,document,score,label
0,지금의 검찰과 언론을 보는 듯 하다 ㅡ 잘 만들었는데ㅡㅡㅡ 왜 뜨질 못 했지?,9,1
1,"10점 주면 알바 같아서 9점 ㅋㅋ 이런 영화가 겨우 55만이라니ㅠ 박해수님 연기 완전 최고 입니다. ocn에서 우연히 봤는데, 완전 빅잼이네요^^",9,1
2,잘만들었는데... 제목이 관객을 못오게 만들었나~  박해수 멋짐,9,1
3,Ocn에서 봤네요~ 배우의 연기나 영화의 흐름이나 정말 잘 만들었구만.. 요즘  떡검들을 미리  보여준듯 .. 제목이 어려워  관객이 적었나?,10,1
4, 박해수 짱!   이렇게 재밌는데 0점1점 주는 사람들은 뭐지? 일부러?,10,1
5,박해수 연기 좋네요 킬링타임용 영화 이상입니다 ㅎㅎ 스토리 괜찮고 배우들 연기 굳 성PD가 왜 갑자기 감방갔는지는 모르겠네요 머 어쨋든 이정도면 웰메이드 영화임,10,1
6,"500만이 들어와도 이상하지 않았을 만큼, 아주 재미나게 잘 만든 영화다!!",9,1
7,왜? 양자물리학인지 제목을 떡고물 아니면 검찰개혁 이런걸로 했으면 대박 쳤을지도,9,1
8,박해수씨   짱,10,1
9,과연 박해수!  스토리도 신선하고 박진감 있고 근래 본 영화 중에 최고!!  500만이상이 정상인듯 한데 관객수가 가장 아쉽네요,10,1
10,권력 참ㅡㅡ 누구나 잡고 싶어서 안달이네ㅡ 몰락도 ,10,1
11,재미있는데 왜 흥행이 안됐을까..? 55만이라는게 이상할정도임~~,10,1
12,제목 떡검으로,10,1
13,기대 이상의 수작인데 흥행이 너무나 아쉬웠네요.,10,1
14,"박해수란 배우 잘모르는 배우인데 연기보고 올~~ 배우들 연기, 스토리 모두 탄탄합니다 재미도 있고  긴박감도 있고 굿!",10,1
15,티비에서 두번 패스하고 볼거 없어서   보고있는데  이거  찐이네!!!!군더더기 없이 끝까지  보게 만드네~~^^,10,1
