,document,score,label
0,마블 영화의 마지막 종지부를 찍는 영화다. 가슴 웅장해지는거 ㄹㅇ 실화냐... 마블은 ㄹㅇ 전설이다... 그 찐따 같던 마블영웅들 맞냐.. 강해진 모습보니 내가 다 감격스럽고 너무 좋았다...,10,1
1,마무리까지 완벽했다 그 전 인피니티워의 감동과 대적할만한 내 인생 히어로물 희대의 명작 중 하나!!,10,1
2,"재미있다, 잘 만들었다. 더 이상 어쩌라구!",10,1
3,댓글봐라 그냥 10점주면 될것을 니들이 영화를 평가할 수준이 되냐 역겨운것들아!!!,10,1
4,마지막에 아이언맨이 죽어서 슬픔ㅠㅠ,10,1
5,진짜 다음 영화 억까질 하는거 개역겹네 아주 주댕이로는 유명 영화평론가 납셨지 아주 ㅋㅋㅋㅋㅋ,10,1
6,걍 진짜 마블은 마블이다,10,1
7,울었다. 너무 슬프다. ,10,1
8,"사실 맘만 먹었으면 인피니티워에서 마무리 되었음, END GAME 은 어쩌면 마불 영화의 시작이었어요 아이언맨에 대한 헌사 영화였다. ",10,1
9,어벤져스! 어셈블!,10,1
10,엔드게임리얼후기https://miteri.tistory.com/m/77  토니스타크의 인생명작 ,10,1
11,다시보아도 재미나지만 스타크 죽여서 별뺀다 ㅠㅠ,8,1
12,이건 인생영화라 소장하고 보고 또보는데도 진짜 눈물난다 뒤늦게 마블에 빠져 정주행하고있는데 또 이런 대작이 나올까싶다 제발 짧은시간안에 재개봉만 기다린다,10,1
13,히어로들이 지구를 침공한 외계인을 물리치는 내용을 세시간동안 보고  다큰 성인들을 울게 만들 수 있는 영화가 몇이나 될까  모 감독의 테마파크 발언은  이런 관객들의 감정이입과 공감대를 싸그리 무시한  시대에 뒤떨어진 무식한 외침 ,10,1
14,.,3,0
15,햄식이를 그야말로 햄식이로 만들어 버린,0,0
16,오우 인피니티사가의시작과 끝알리는  '아이엠 아이언맨' 너무너무 재미있어,10,1
17,마블갓,10,1
18,아이엠 아이언맨 장면에서 울뻔 했다::,10,1
19,토니와 피터 사랑해,10,1
