,document,score,label
0,만들지 말았어야 했다,0,0
1,좋은 시리즈를 이리 망치기도 힘들듯...,3,0
2,나는 어리석었고 기대는 날아갔다. ⟨엑스맨: 다크피닉스⟩ 는 내가 본 엑스맨 영화들 중에서 가장 나쁜 영화였다.  촬영은 엉성한 티가 나고 제작비가 부족했는지 몇몇 장면들을 제외하고는 TV드라마만도 못한 퀄리티를 보여준다.  배우들은 말도 안 되는 대사를 억지로 연기해야 했고 CG조차 잘 표현되지 못했다.  전투 장면들도 내내 답답할 정도였다.  이 배우들로 만드는 마지막 엑스맨 영화라는 점에서 참담한 심정을 금할 길이 없다.  다시 찍을 수도 없고 시리즈는 이미 끝났고 차라리 보지 않는 편이 나았을 지도 모르겠다는 생각이 드는 것은 오랜만이었다.  역대 최악의 엑스맨 영화.  ⟨엑스맨: 아포칼립스⟩ 보다도 훨씬 더 안 좋은 영화.,2,0
3,당시에 영화관에서봣다 최악 보는내내 너무지루하다,1,0
4,이영화 비추다,4,0
5,"이제는 하다하다 그냥 프렌차이즈물로 변화시킨 마블 시리즈. 뭐... 원작을 바탕으로 했겠지만, 워낙 망작인것은 알겠다. 연계성을 이렇게 망작으로 끌고가나??!?  (게다가, 영화의 무장과 배경이 60~80년대와 현재를 왔다갔다 한다. 뭐 이런...) 원작 자체가 생산해 낸 캐릭터의 과거, 현재, 미래에 대한 연계성 그 자체를 제대로 이어내질 못하고 계속 벌려 놓아서 수습을 못하는 느낌. 60년대 시작해서 90년대 초반에 재창조 될 때까지, 예전에 만화(카툰)으로 볼 때부터 계속 그랬다.    서양(특히, 미국 영화/드라마들의) 특징 중 하나가 '남 탓/타인 탓'시전. 그런 사고방식들이 몇 백년간 쌓여서 지금의 개인주의를 넘어서 '이기주의의 문화'를 만들어 낸 것이겠지만",2,0
6,무언가 빠진 시리즈 중  한 작품이 아닐까 싶네요.,8,1
7,kjkjkjkj,4,0
8,요란한데 내용없고 대충 마무리 한 느낌,4,0
9,..,7,1
10,액션영화에 철학을 묻히지 말자 6.0,6,1
11,이게 시리즈 마지막이라고?!,4,0
12,안 본 사람이 승자라고 해서 아직도 안 보고 있어요 ^.^,0,0
