,document,score,label
0,재미있네요. 영화보는사람들 장르마다 평점이 다르겠지만 이정도 영화라면 아주 잘만들은 가족영화입니다. 치매걸리신 어머님..슬퍼야 되는데 슬퍼지도 않게 코믹으로 승화시킨 알찬 스토리에다 마무리까지 세심하게 만든 영화네요. 좋은 영화한편 봤네요.,10,1
1,감동의 눈물과 웃겨서 눈물이 ~ 이희준 배우와 나문희님의 케미가 가슴시리게 따스하며  아름다웠습니다!  좋은 영화 한편 잘봤네요!,10,1
2,난 소재가 흔해서 잘못하믄 2급영화될수잇는데 감동도잇고 코믹도잇고 스토리도 잇어 기대이상엿어여,9,1
3,장성한 아들이 응석도 부리는 모습. 화내는 모습에서도 노모를 생각하는 아들의 효성이 느껴집니다.,9,1
4,치매를 앓고 계신 엄마  때문인지  모르겠지만 저에겐 최고의 영화였습니다♥,10,1
5,"평점 낮게 준 사람들은 다들 영화평론가나 전문가인가요? 얼마나 스케일이 크고 얼마나 대단한 영화들을 봤길래?  만족스럽게 본 영화가 하나라도 있을까 궁금하네요..  참 세상 부정적으로만 보는것 같아서 안타깝네요 이정도 웃음있고 감동도 있고, 재미도 있고, 괜찮기만 하구만.. 나쁘지 않은데. ..",9,1
6,똑같은 소재 신박한 스토리 역시 나문희 이희준,8,1
7,재밌더라 늘어질거같을때 음악이 신나게 ~~ 볼만함 연기도 잘하고 ,10,1
8,괜찮은 작품,8,1
9,집에서 VOD로 보기 적당한 영화.  연기도 못하는 탑 배우와 가수들 잔뜩 나온 비싼 제작비의 영화보다 이런 비급향이라도 구수하고 정다운 스토리의 작품이 백배 낫다. 모두를 만족시키기엔 힘들어도 명절에 보기엔 나쁘지 않은 영화였다.,5,0
10,뻔한데 뻔해서 스트레스 없이 보기 좋네요,10,1
11,재밋게 잘봤습니다~,10,1
12,"중독성 있는 대사. ""궁뎅이가 커유""",9,1
13,최고에용 ㅋㅋ,10,1
14,나문희와 이희준의 연기력이 물이 올랐다 웃고 울리면서 감동적이다. 박지영의 사투리 연기도 좋았다. 마지막에 좀 늘어지긴 했지만 코믹 영화로 괜찮았다,8,1
15,왜 사람을 울리고 그래...,10,1
16,난 완존 좋은데? 문희여사님 최고. 이희준 매력 뿜뿜,10,1
17,통통함여자한케 궁뎅이가커용~~~~ 당황하는거 겁나웃기네요😄😄😄😄 호박고구마에서 이벤 엉뎅이가 커요 까지 품었네요 ㅋㅋㅋㅋㅋ,10,1
18,괜찮았음,6,1
19,"간단한 스토리인줄 알았는데, 스토리도 뻔하지 않고 연기자들의 구수한 일품 연기에  온 가족 감동과 재미를 느끼며 보기에 좋았습니다",8,1
20,레알 꿀잼임,10,1
21,참 잘 봤어요 교훈이 남네요,10,1
22,추리 코미디 감동. 다 있는 영화,8,1
23,배꼽  잡고 봤어요~ 가족애가 느껴지는 감동을 주네요. 모두가 봐야할 우리 시대의 현실인듯 합니다. 쵝오!,9,1
24,가족휴먼코믹드라마....,10,1
25,좋은영화ㆍ감동적으로 잘봤습니다~! 강추드려요!,10,1
26,역쉬 내 예상은 빗나가질 아너 범인은 항상 주위에 있다... 다 예상했슈 감독님 반전두 다 예상했슈 담부턴 그러지 마슈,8,1
27,중간쯤에 늘어지는듯 가볍게 볼만함 여러배우들 연기보는재미가있네요,6,1
28,간만에 웃으며  본 영화입니다. ,10,1
29,시간 가는줄 몰랐어요 은근히 감동도 있고 가족영화로 딱이었어요!,9,1
30,나름 반전도 있고 웃음도 있고 감동도 있고 좋았습니다. 관객수가 적어 너무 아쉬운 영화 입니다.,9,1
