,document,score,label
0,악평이 많았는데 영화를 보고나니 각자 취향에 따라 다른 견해일뿐.. 주인공들의 풋풋한 감정들이 예쁘고.. 옛추억이 생각나 먹먹하기도 한 아름다운 영화입니다.,10,1
1,배우들의  연기가   아깝다 작가  잘못했네,5,0
2,공감도 이해도 전혀.... 시나리오 작가의 자질이 의심스러움. 보는 내내 기분 좋지 않음,1,0
3,중간까지 보고 남은 시간 확인하고는  어떻게 끝까지 스토리 끌어갈지 갑갑했었다. 끝까지 다 보기는 했지만 스토리가 너무 매끄럽지 못하고 억지스럽다. 연기는 좋았고 연출도 그런대로 무난하지만 대본이 엉망 ,3,0
4,좋은 감성 좋은 음악 좋은 분위기 나쁜 시나리오 나쁜 편집 나쁜 음악배치  유열의 명곡은 어디에? 시대상 반영 무엇? 은자처럼 사는 게 어때서? 차라리 멀티스토리로 만들었으면?,4,0
5,초반에 굉장히 감각적이고 따스했던 영화가 뒤로 갈수록 헤멘다. 레트로 감성이 폭발해도 부족한대 공감도 없는 스토리를 억지로 끌고간다. 정해인의 참신함이 돋보이는 영화. 각본만 잘 연결했어도 성공했을텐데,5,0
6,"주연배우 연기,정해인 얼굴 덕분에 그나마 6점..결말도 어이없고",6,1
7,김고은 정말 보석같은 배우다. 오래오래 연기해줬음 한다. ,10,1
8,왜  이딴 영화가.... 이딴 영화가 ....  입소문을 못탔던거지.. 너무  좋다.. 그냥 왠만큼 유명한 외국로멘틱영화보다 훠얼씬.. 남자배우 별로 안좋아했는데.. 괜찬네,10,1
9,아 간만에좋은영화봤어요   최고,10,1
10,남.여  서사가  너무나  부족해 연결점이  없으니까  온전히  빠져들지못하고  핸폰을  몇번을  봤는지  ㅠ  이런류에  영화는 스토리 라인을 따라가다  어느순간  화면속으로 푹  ~빠져버리는건데   감독과작가는  무슨말을  하고싶었던거지? 첫사랑?  추억속에  갇혀있는  시간? 그러기에는 반복적인  우연의연속성..에  갇혀버려서 스토리를  끌고가지못했음.,3,0
