,document,score,label
0,30번째 다시 보는 중인데 새로운 것을 또 찾았다. 이 영화는 매 장면마다 감독이 뭔가를 심어놨어...  미래의 아빠가 과거의 딸에게 보내는 이진코드 신호가 연속적인 시간이 아니었다.  이진코드로 나사위치 알려준거... 돈고! 스뗴이! 라고 외치는거 다음에 딸에게 모든 지식 알려주고 나서 딸이 사는 세계가 안전해진것을 알게되고나서 과거의 자신에게 나사 위치 알려준거다  아빠는 결국 자신이 딸 곁에 남는것보다 (스떼이! 스뗴이!) 딸이 살아갈 세상을 지키는것 (나사 위치 알려줌) 을 선택 한 것이었다.  이런거 영화 평론에도 없는데 내가 몇년간 계속 돌려보면서 하나씩 찾아냄,10,1
1,"인류의 미래, 꿈, 과학, 우주, 인류애, 가족 등등 인간의 삶을 상상력으로 적합해 어떻게 이런 영화를 만들어 낼수 있는지 몇번을 봐도 놀라운 명작",9,1
2,왜 가끔 다시보면 눈물이 나는지 생각해보니 아버지와 딸의 사랑이었다..,10,1
3,오ㅏ~~ 뒷부분 미래의 아빠가 과거의 딸을 책장 너머로 보는 장면부터 소름이 쫙~ 쫙~~ 몇번이 끼쳤는지.. 👍 같이 우주로 떠났던 박사중 한명이 종이에 x 자 두군데 그리고 접어서 볼펜으로 관통시키며 설명했던 그 원리 아니였나? (잘은 모르지만 난 그렇게 이해함 ㅋㅋㅋ) 늙은 딸을 만나는 장면에선 눈물이~~~~ 😭 감동과 보는 재미 인류애와 현재 우리에게 다가올 과제등을 두루 다 느끼게 해주는 영화 다들 연기도 좋았고 암튼 다 너무 좋았음 최고~!! 👍,9,1
4,최고의 인생무비,10,1
5,내용을 다 이해할 수 없다고 해도 영화가 주는 감동만으로도,10,1
6,"어렵고 복잡한 수학적, 과학적 아이디어를 관객이 따라가기 쉽게, 그리고 현실처럼 생생하게 느끼면서 인간적인 면까지 조명하여 만든 할리우드 영화.  신이나 초자연적인 메시아가 아닌 우리자신이 스스로를 구하고, 문명을 진화시켜야한다는 주제가 있다고 생각했다. 그것을 가능케 하는것은 사랑의 힘이다",10,1
7,두번보고 세번보고 네번봐도 소름이돋는다.,10,1
8,처음 봤을때보다 더 감동적이었음,10,1
9,소름인건 이 모든게 전부다 과학적 사실을 바탕으로 만들어졌다는것,10,1
10,지식수준;;원래 이랬냐 어떤놈들 이해못하고 배우탓 cg 탓 과학탓하네 심지어 아무런 문제 없는뎈ㅋㅋ배우는 연기 쥰내잘했고 cg는 개뿔 cg 거의 않썼어이것들아 과학?ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ니들이 뭘 안다고 그러냐 응 그래 음..과학 공부하고오렴~,10,1
11,미쳤다 이걸 왜 지금 봤을까요 미쳤어 진짜 이제 다른 영화는 눈에 안 들어 올 듯,10,1
12,내용을 모두 이해할순 없더라도 너무나 감동적인 영화,10,1
13,"밀러 행성(바다 행성)-만 행성(탄소 행성)-에드먼즈 행성(유사 지구,사막 행성).",8,1
14,"삶의 주인공은 자신이라는 것을 ""블랙홀.시간.공간.그리움.다차원우주.그리고 내 삶을 찾아 떠나는....불멸의 수수께기 ""블랙홀""",10,1
15,이 영화 수식어가 필요하나?  인간이 한없이 작은 존재임을 느끼며..... 크리스토퍼놀란에게 경의를~,10,1
16,영화 재밌게보고 와서 여기서 허접하게 댓글달고 평점 악의적으로 낮게주면 니들이 놀란감독보다 뭔가 뛰어나고 똑똑해지는 것처럼 혼자서만 느껴지는 무슨 변태적인 쾌감느끼냐!??ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,10,1
17,모든걸다 이해할수없어도 플롯하나로 10점만점이다! 웜홀이니 블랙홀이니 사건의지평선. 이런거몰라도 너무나재밌다! 암튼 재밌더라!,10,1
18,대.단.해,10,1
19,영화를 너무 객관성으로 판단만 하던 내게 과학을 떠나    눈물이 나도록  아름다운  영화입니다  재미가 없었다면  몰입해서 다시 보세요 어떻게  이런 영화를 만들었을까?,10,1
20,아는만큼 보인다,10,1
21,.,8,1
22,놀란... 그대는 역시... 정주행하러가야지,10,1
23,이 영화 평점이 승리호보다 못하다고??,9,1
24,최고,10,1
25,ㄱ,10,1
26,.,10,1
27,네~ 지구  온난화에 현실에 직시되는 영화라고 생하였슴,10,1
28,웜홀을 건너 사랑을 넘어,7,1
29,굉장히 과학적이고 스토리라인이 탄탄하다. 놀란의 작품답게 상상력이 대단한 영화다. 과학적인 것은 이해하기 힘들 수 있지만 전체적으로 스토리만 봐서는 이해가 되는 영화기 때문에 남녀노소 절대강추다,10,1
30,미국인들이 지들이 이런 영화를 만들고도 동시개봉했던 덤앤더머에만 꽂히다니...ㅋㅋㅋㅋ 이 영화야 말로 칸 영화제와 아카데미에서 동시에 작품상 받았어야 하는 영화다.,10,1
