,document,score,label
0,정약용의 형님이신 정약전선생의 자산어보는 당시 아시아 최고의 어류대백과사전이었다네요 그동안 정약용선생이야기만 드라마화되고 정약전선생이야기는 안나오나 했는데 드디어 나오네요 기대됩니다,9,1
1,"자산어보 주연배우 설경구, 변요한, 민도희 세분의 촬영의상을 실제 보고 사인까지 받았는데 세 배우님들 정말 캐릭터가 정말 멋지게 나올 것 같았습니다. 정말 기대됩니다. 자산어보 흥행대박 파이팅~~!!!",10,1
2,이준익 감독님과 믿고 보는 배우 설경구님 설레이며 기대합니다,10,1
3,기대됩니다 연기력짱 배우님들 보고싶어요~,8,1
4,이준익 감독님 영화면 무조건 기대ㅠㅠㅠ,10,1
5,설경구 배우님의 낮은 목소리가 사극이랑 어울린다고 언제나 생각했어요 기대됩니다,10,1
6,"이준익감독님에 설경구, 변요한 배우님들이라니!!! 너무기대되네요 꼭 영화관가서 보겠습니다🥰",10,1
7,이준익 감독님 사극 신작에 설경구 이정은 변요한 다 좋아하는 배우님들만 모아놔서 너무 기대하고 있어요 정약전에 대해 찾아보며 개봉 기다리고 있습니다,10,1
8,믿고보는 이준익 감독님 사극! 배우분들 연기도 너무 기대됩니다 도희 배우님 연기 특히 너무 궁금ㅜㅜㅠㅜ 빨리 개봉했으면 좋겠어요 ,10,1
9,"고대하고 있답니다 ^,^",7,1
10,러닝타임이 126분이라니 더 놀랍네요~ 체감 시간은 1시간..  설경구 배우맞어?라는 생각이 들 정도로 정약전만 보이게 만드는 힘 뺀 명연기를 보여주셨음에 박수드립니다. 변요한님 이정은님 연기 또한 이루 말할것 없었습니다 흑백영화가 화려하다고 느낄 정도로  몰입도가 강한 영화입니다 이 떨쳐지지  않는 여운~진짜 영화 감상은 보고 난 후인것  같습니다~,10,1
11,"큰 화면으로 봐야 한다.... 가능한 영화관에서 봐야 한다.. 그래야 흑백 영화의 진수를 느낄 수 있다... 이 영화는 가낭 먼저 느낀 감정은.. 푸근함? 편안함? 이었다... 몇씬 안가서 평안 하다 느꼈따.. 시각적 자극이 없는데 뭔가 한없이 부드럽고 꿈속에 있는 듯한 느낌을 준다. 실제 흑산도 사람들의 모습 같은 분장과 세트... 과거로 여행 온 기분이고.. 연기는 자연스럽고 품위가 있다. 영화 동주가 정적이라면 자산어보는 동적이다... 끊임없이 넘겨 보는 한국화 사진전을 보는 기분이라고 할까.. 흑백이지만 화면이 너무 깊고 다양한 색이 나와서 계속 감동적이었다. 코믹함과 진중함이 적당이 섞여 있어 보는 맛이 있고, 메세지가 분명하여 고개를 수그리게 만드는 영화다.. 10점도 아깝다.. 100점이다..",10,1
12,흑백 영화가 어떻게 연출될지 너무 기대됩니다!!,10,1
13,"요즘 본 영화중 젤 재밌게봤어요~ 솔직히 흑백이라 졸리고 지루하지않을까 걱정했는데  전개도 빠르고 일단 배경좋고 연출좋고,  연기 모두 좋고 웃기고 눈물나고...흑백이 오히려 집중도를 높여준거같아요~ 추천!",9,1
14,이준익 감독 작중 사도랑 자산어보는 진짜 한국영화중 명작 반열에 오른 영화네요.   긴 러닝타이에도 불구하고  오히려 시간이 짧게 느껴지며 100% 극에 몰입되게 합니다. 또한 지극히 건전하지만 전혀 지루하지 않고 매우 재미있으며 선한 영향력을 선사하는  한국영화중 보석 같은 영화에요. 언제부턴가 이준익 감독 작품은 무조건 보게되는 (이병헌 작품 무조건 보듯)  거 같아요. 정말 재미있고.  흡입력 최고에다 좋은 영화까지~  정말 영화 잘 보았습니다.참고로 설경구  요한등. 모든 배우 연기력도 흠잡을곳 없이 모두 좋습니다,10,1
15,기대중,10,1
16,요한배우님 화이팅입니다 기다리는 1인입니다^^,10,1
17,"미나리 보고 아쉬웠던 것, 자산어보로 다 씻었음. 영상 진짜 예술.. 흑백사진찍게 필름 카메라를 구매해야 하나 생각까지 들었음.  연기도 예술..  설경구 가정사로 싫어했는데, 그게 다 사라질 정도였음.  변요한의 재발견 이기도 하고..",10,1
18,목 빠지게 기다리고 있습니다 !!,10,1
19,흑백영화인데도 몰입도 백프로로 끝날때까지 감동느끼며 본 영화 정약용 정약전 가문에 감사를 느낄정도 그걸 재현한 영화 도 대단하다,10,1
20,기대됩니다!!!  흑산도의 아름다운 자연경관을 볼 수 있겠네요~~,10,1
21,사람이 밭을 갈아 소득을 얻는데  관직에 오른 자들은 사람을 밭으로 여기다니... 요런 내용이 넘 와닿았어요. 좋은 작품입니다.,10,1
22,"인간이 어디에 가치를 두고 살아야 하는지  생각하게 한다 잔잔히 전해지는 울림과 감동... ""배운대로 살 수 없다면 생긴대로 살아야제"" 창대의 이 대사가 한동안 내 가슴을 뛰게 할 것 같다",10,1
23,영상 너무 아릅답고 감독님 배우님들 이름만 들어도 기대할 수 밖에 없잖아요,10,1
24,"빨리 개봉했으면 좋겠어요, 변요한 배우님 화이팅!!",10,1
25,재밋을것 같네요~~,10,1
