,document,score,label
0,불쌍한 어린학생들을 미끼삼아  사지로 몰아넣고 부끄러워했던 윗대가리 새기들 몇놈이나 있었을까.  전쟁났는데 국군은 북진중이다 라고 거짓방송하고 도망간 이승만 새기부터 시작해서 사태에 책임지는 새기  한놈도 없이 민초들만 전쟁터 끌려가서 뺑이치고..... 총알받이 되고....  대단하다 임진왜란 선조 부터 시작된 400년역사.  한반도 기득권 새기들은 부끄러움이 뭔질 몰라 ㅋㅋㅋㅋ,5,0
1,이런 비극적 소재로 영화를 만들었는데 연출 및 각본이 말아먹는구나. 보는 내내 어이가 없어서 헛 웃음이 나오네. 전장에서 피흘리며 산화해간 학도병들에게 죄송하지 않나? 아무리 돈벌이로 만들었다지만 실제 일어났던 비극적 사건을 이런식으로 성의없이 만들어야 했냐? 제대로 만들어서 좀더 많은 사람들이 알 수 있게 해줬어야 하는거 아닌가? 적어도 역사적 실화를 배경으로 만들었으면 거기다 어린나이에 숭고하게 쓰러져간 학도병들을 생각했다면 정말 심혈을 기우려서 제대로 만들었어야 했다. 대충 만들어서 비극을 팔아 돈벌 생각만 하지 말고. 이 영화를 만든 놈들에게 분노가 치민다. 차라리 만들지 말지. 나중에라도 제대로 만들 감독과 제작사가 나올때 까지. 니들같은 쓰레기들 덕에 정말 잊혀진 영웅들이 되버렸다. ,0,0
2,이런 역사적 사실이 있었다는것이 너무나도 가슴아픕니다.부끄럽지만 우리는 그동안 너무 잊고 살았습니다. 아직 20살 채 되지않았던 이 아이들은 누군가의 아들이고 형제이며 친구였겠죠...아무것도 모르는 아이들을  희생삼아 지킨 나라입니다.우리는 이런 역사적 사실을 영원히 기억하며 다시는 이런 아픈 역사가 되풀이되지않기를 바랍니다.,10,1
3,"너무 못만든 영화.  라이언일병 흉내낸 29년전  태극기도 이보단 나았다. 영화 말미에  학도의용군께 이 영화를 바친다고 했는데, 돌아가신 학도병들이 받았다가 반납할것 같다. 좀 잘좀 만들어보세요. 특히 상륙때 귀가 멍한 씬은 표절을 넘어선 개콘같더라.",1,0
4,ㅠㅠㅠㅠ이분들 덕에 우리가 지금 이나라에 살 수 있는거겟죠 ㅠㅠㅠ감사합니다,10,1
5,시간이 아깝다. 내시간 돌려줘 T.T,1,0
6,내용도 연기도 부실했던 영화.보다 잠들었음.학도병 소재는 좋았으나 연출이나 배우들 스킬이 부족했던 영화.차라리 탑이 했던 포화속으로가 훨씬 나았음,1,0
7,"영화 종영한지가 언젠데 뒤늦게 좋은 영화라고 감상평 남기냐? ㅋㅋㅋㅋ 자한당 당원 티내냐?  그리고 장사리 전투에 십대 군인들을 이용해서 버리고 보상조차 안해주는 이승만, 박정희, 전두환, 노태우, 김영삼, 이명박, 박근혜는 뭐하던 대통령이라는거냐? 100억 제작비용으로 110만 본거면 얼마나 적자인거야?  반공팔이 프로파간다 영화 만들면서 왜 남로당빨갱이 박정희나 대구공산폭동 영화는 안만드는지 몰라? ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ",5,0
8,6.25전쟁의 숨겨진 영웅들.. 영화 잘봤습니다.,9,1
9,너무 슬프다. . 마지막 장면  ..넘   슬프다.. 혼자  남은 이의 마음...  ,10,1
10,유아용? 요즘 유아들도 안볼듯.. 평점 조작  너무하네..,0,0
11,"잊지말아야할 사실이나, 영화는 기승~ (전 빠지고) 결 느낌. 1시간 반의 러님타임이 너무 짧은 탓인지 모르겠지만 감동을 이끌어가는게 부족하고 너무 급하게 전개되고 마무리 되는 느낌.",5,0
12,너무 슬픈 이야기야...  근데... 하... 좀...,6,1
13,이 영화 진짜 잊어선 안 되는 이야기를 담은 영화인 것 같애,10,1
14,영화를보면서 태극기휘날리며 가 생각났는데 눈물흘리면서 봤어요! 학도병들께 숭고한감사의 마름을 드립니다.,8,1
15,총알이 빗발치는데 적군한두놈 죽엿다고 뻘쭘히서있지?,4,0
16,숭고한 정신을 그린 영화에 헬기는 뭐고 모터 보트는 뭐고 정말 짜증난다,0,0
17,악평이라 패쓰..근데 저놈은 머  태극기 휘날리며가 여기서 웨 씹히는거지  그영화가 라이언일병하고 왜 비교당하고있는지 모르겠다만그건 너혼자 처하고 태극기 잘만든 영화니까 괜한데다 찍어다 붙이지마라 니가 평론가냐 온갖 영화 다 거론하며 왈가왈부하고 지뢀일쎄 ,6,1
18,좋은 배우들 모아놓고 이렇게 만들다니.. 마음을 울리려면 감정을 짜내려하지 말고 있는 그대로 과장없이 그리도록 하기 위해 노력하는게 더 좋다고 봅니다.,1,0
19,80년대 연출  단순한 구성 뻔한 스토리,2,0
20,곽경택은 조폭영화가 딱이다  국민들 피난 못가게 한강 다리 폭파한 이승만 생각하면 이가 갈리지만  뇌없는 틀닥들 좋아할 영화,0,0
21,참 배우들....전문 배우로 쓰고 좀 짜임새있게 만들자 경택아.... 뭐냐 연출이 엿같으니가 감동1도 안느껴지고 짠하지도 않고.....아픈 역사로 느껴지지도 않는다 너무나 좀 뻔해서.......트루스토리도 각색을 하면서 재밌어지던데....누가 태극기가 29년전이라 했는지 몰라도 그거 '태극기 휘날리며' 말하는거 맞지? 그거 2004년작인데 웬 29년전 타령이지? 미친거 아냐 저 흰토끼 놈..... 태극기가 훨 낫지 백배 낫지....어딜 이 따위 영화에 갖다대겠어.....학도의용군에 대한 경건한 마음으로 3점.....3점 만점에 3점.... 나머지는 스탶과 배우들의 몫....7점만점에 0점....... ,3,0
22,장사리 상륙작전이 있었다는 것을 이 영화로 통해서 알게되었다.인천상륙작전을 성공적으로 이루기위해  교란작전의  희생자로  총알받이가 되어야만했던 학도병과 정규군.. 나는 스크린으로 눈으로 보지만 실제  그 당시 인물들을 생각하면 소름이 끼친다. 두려움속에서도 참으로 용기가 대단했다라고.. 겨우 17살 ....스케일규모나 긴장감을 스크린에 좀 더 담아냈더라면  좋았을텐데하는 아쉬움. 하지만 그들을 알게되어 이 영화는 나에게 의미있다.. 영화 포화속으로도 마찬가지로 그때 학도병들처럼....,8,1
23,2019년에도 존재하는 배달의 기수,3,0
24,개봉한지가 언젠데 홍천시네마에서 하루에 3번 상영 하는지.. 함 봐줘야 하는지 망설이는 중~,5,0
25,곽감독  감 많이 잃었네,0,0
26,국뽕에 기댄 맥락없는 영화 욕사발을 퍼붓고 싶다.,1,0
27,영화로 보는거보다는 다큐멘터리 같은걸로 짧게 봤었으면 더 좋았을듯,3,0
28,이승만 추종하는 노예들이 아직도 있다는 것이 비극이다.,3,0
29,네이버평점이 너무 높아서 이상했는데..  역시..  좋은 소재를 가지고... 감독이 쓰 ㄹㄱ네,1,0
30,나라를 위해 목숨을 바친 학도병들! 고이 잠드소서~(),10,1
31,민호! 해병이 해병했네!  너가 주연해서 만점이다,10,1
32,처음부터 도대체 왜 만들었는지 감동말아먹는 영화..처음 몇장면 보고 돌려버리게 만든다,6,1
33,좌파 빨갱이들이 0점 테러하고 가네,10,1
34,영화 못만들었는데 이 영화 연출보고 이러쿵 저러쿵 얘기하는 사람들은 영화전공자들인가요?,1,0
35,영화 잘  만들었는데 이 영화 연출보고 이러쿵 저러쿵 얘기하는 사람들은 영화전공자들인가요?,10,1
36,같이 집에 가야지!!,10,1
37,6.25 .....군인들과 학생들 인민군 모두 권력자들의 재산과 자유를 지키려 동원되어 희생되는 인간 세계의 모순 불안정 이런 걸 생각하며 본 영화,10,1
38,.,6,1
39,.,6,1
40,이해가 안되는점하나.. 함포사격이 강한 군함이 있는데...탱크 4대에 밀렸다?,5,0
41,헐리우드 물이 섞여서인지는 몰라도 우리  영화 특유의 신파가 있음에도 묵직하다.....,7,1
42,영화는 그럭저럭 재밌게 봤는데... 메간폭스는 왜 쓴거지? 발연기에 내가 다 오글거리더라... 이왕 섭외할거면 연기파배우를 섭외하지~ 돈아깝네...,10,1
43,감사합니다,10,1
44,울컥  울컥했습니다,10,1
45,요즘 극장못감 주로 집에서 이영화 뻔한데 (20.2.9 집),7,1
46,언제봐도 가슴 아픈 우리역사.. ,8,1
47,너무 불편한 영화였어요. 눈물을 도저히 참을수 없을만큼 영화 보는 내내  아리고 아프네요.  도대체  한민족이 서로 총을 겨누며 전쟁을 누굴 위해  한걸 까요? 이렇게 아픔만 남은 전쟁을 동족끼리...,10,1
48,"실화물 한국인 감정으로선 볼만할지몰라도 전세계 전쟁, 전투영화 좋와하는 내가본봐 전쟁, 전투씬으로선 많이 부족함.",2,0
49,"오늘 비행기 기내상영으로 봤는데....잘 제작되고 몰입감이 상당히 높은 영화이네요, 실화결말이 아쉽긴 하지만 한국의 자화상...워너에서 제작된 영화라 특이했습니다.",10,1
50,zzzz  ,1,0
51,가슴이 먹먹한 영화. 그들 덕분에 이렇게 살 수 있습니다. 감사합니다.,8,1
52,나라를 위해... 고맙습니다. 무지해 몰랐기에... 죄송합니다...ㅠ,10,1
53,최고의 영화입니다,10,1
54,연아 코치 브라이언 오서 넘 닮았따 ㅋ CSI 출신이었군 ㅎ 좋은영화,8,1
55,원래 영화보면서 눈물 흘린적 없는데 이거 보고 눈물 흘림 작품성을 떠나서 그냥 가슴을 멍할 정도로 때렸음,10,1
56,슬프고 재밌음,10,1
57,전쟁신 리얼하고 웅장하네요 내용도 먹먹하넹ᆢ,8,1
58,먹먹하네요. ~~,8,1
59,"이렇게 영화화 하여 그동안 몰랐던 어린 학도병들의 숭고한 희생을 알게 되어 좋았습니다. 다만 영화로는 별로 매력을 못느꼈음. 배우들 연기도 어색했고, 특히 외국인 배우들은 책 읽는 줄... 메간 폭스가 한참 연기력 논란 있었다는걸 진심 깨달았음. 그리고 학도병들 개인사 얘기로 신파 조성하는 것도 보기 불편했음. ",6,1
60,슬프고 눈물이 납니다....학도병이래야 17~19세 일텐데 나라를 위해서 그젊음을 바쳐야 했다는 것이 너무 슬픕니다. 나라면 저나이에 저렇게 할수있을까... 한번 생각해보세요. 국가를 위한 것일까?미국을 위해 희생한것인가??동족상잔의 비극ㅠㅠ 이나라에 두번다시는 다른나라의 대리전쟁이 발생하지 않기를 바랍니다.,9,1
61,서프라이즈 극장판,1,0
62,학생신분에 전쟁에 나라지키기위해  목숨바쳤다는걸 우리는 나라의 소중함을 다시한번 생각해얄듯 합니다 저는 이영화를 그저 재미로만 본다는것에ㅈ반대합니다 교훈을 주는 영화네요 학도병 . 군인.  전쟁 희생되신 분들에  고개숙여집니다 잘보았습니다. ,8,1
63,내가 이렇게 댓글 쓰게 해주신 소중한 한 분 한 분께 감사드립니다.. 학생 신분에 어쩔 수 없이 나라에 헌신하실 수 밖에 없었던 주적들을 위해 싸워주신 것 너무 감사드립니다..,10,1
64,어린 학생들이 넘 불쌍했어요 ,10,1
65,학도병 감사합니다,10,1
66,60대를 위한 영화,2,0
67,나라를 위한 희생. 나라를 잃어봐야 고마운줄 알지. 요즘은 욕지거리하며 국민임을 망각하는 너저분한 인간들이 참 많은것같다. 그냥 국적파서 북한가서 살아라. ,10,1
68,미국본토를 위한희생이라는 대사한줄이 없었으면 걍 씨레기네 할뻔,6,1
69,이 영화하는 김인권이 나오고 안 나오고 차이인듯ㅋㅋ 어쨋든 나라를 위해 희생하신 모든 분들은 잊어선 안됨,5,0
70,중간에 시나리오가 루즈하고 국뽕에 취하긴 하지만 그래도 나라를 위해 희생을 하신 분들에 대해 다시 조명한 영화라 좋았다. 전투씬도 부족하지만 노력한 흔적이 보이고. 실화라서 더욱 가슴아픈 영화. 다시는 이런 전쟁이 없었으면 좋겠다,6,1
71,옛날영확같음 유치함,2,0
72,아이고  아이고. ..,2,0
73,긴급한 상황?생동감 별루 안느껴진다.,6,1
74,이 소재를 영화로 만들어주신것만으로도 별점받아마땅 어린학도병들의 고귀한희생 뭉클합니다ㅜ,9,1
75,생명 바쳐 이 나라 지켜주신 모든 분들께 감사 드립니다. ,10,1
76,졸려,2,0
77,...,6,1
78,재미없음,3,0
