,document,score,label
0,"초반엔 비리 사학재단에 입만 열면 거짓말이 나경원과 똑같다는 생각이 들음. 아들,딸 입시 비리에 성적 조작,논문 조작까지 포함하면 완전 빼박인데 ㅋㅋㅋ 그랬으면 검찰 수사에, 법질서 파괴하는 판사들이 제작자,감독 감옥 보냈겠지. 가볍게 시간때우는덴 무난한 영화인듯.",6,1
1,정말 너무 재미있는 영화였다. 비리가 보일수 있는 그 모든 부분을 감안하여 이 부패된 정치사회를 비판하는 점이 너무나도 인상깊었다. 그 이후로 초심을 찾고 능동성을 지닌 주인공이 다시 깨끗한 정치를 찾아가는 점이 인상깊었다. ,10,1
2,이 나라에 정말 순수하게 국민을 위한다는 마음으로 일을 하는 국회의원은 얼마나 있을까..,8,1
3,라미란~~대박~~우껴요 ㅋㅋㅋㅋ  연기 짱입니다 ,10,1
4,완전 대박임 코로나 아님 대박터졌을 듯,10,1
5,극한직업보다 훨~~~씬 잼있다~ ㅎㅎㅎㅎㅎ,10,1
6,코로나 땜에 흥행 못한건가? 눈물 쏟으며 웃었는데... 너무 웃겨서 배가 아픔 최고다!,10,1
7,진짜 쉴새 없이 빵빵 터지네요ㅋㅋ 가족들이랑 가볍고 즐겁게 보기에 참 좋은 영화였어요!!,8,1
8,재밌어요 .  역시 라미란 연기 완벽해요. 집에서 이어폰 꼽고 보세요. 작게 스쳐가는 대사 너무 웃깁니다.,10,1
9,"가볍게, 유쾌하게 봤어요. 라미란님 최고에요",10,1
10,요즘 답답했는데 모처럼 웃었어요 만족,10,1
11,잘 만든 킬링타임 영화. 라미란 배우가 참 좋다. ,8,1
12,라미란 원톱 영화의 가능성! 가족과 같이보기 좋은 코메디♡,10,1
13,여자 가장으로 공감백배 대사에 웃펐다 내남편한테 대놓고 하고싶은말을 라미란이 다했다,10,1
14,초반에만 반짝 웃기다가 그 이후론 난리부르스;;;,5,0
15,라미란 진짜 배우네요 정치 풍자에 요소요소 재밌게 질 뵜습니다,10,1
16,존잼 짱잼,10,1
17,재밌어요. 박장대소했네요.,9,1
18,가볍게 볼수있는 정치풍자코미디! 재밌습니다.,8,1
19,재미에는 충실,6,1
20,뒤로 갈수록 코믹이 떨어지긴해,8,1
21,굳,10,1
22,즐거운 코믹 영화,9,1
23,빵빵 터지게 재밌네용,9,1
24,.코미디 ㅋㅋ 재밌어요,10,1
25,가볍게 괜찮네,7,1
26,꾀 제밋슴. 꼮 뵤샘ㅁ!,6,1
27,재밌게봤어요~,8,1
28,재미있게 봤어요^^,8,1
29,.,6,1
30,잼있게 봤어요 역쉬 라미란! 연기짱,9,1
31,연기들도 잘하고  너무 잼났어요,10,1
32,킬링타임용. 예고편 정도의 내용. 웃음도 감동도 찾기 힘들다.,6,1
33,재밌었어요. 그런데 딱히 기억에 뭐가 남지는 않는..? ㅎㅎ 그래도 정말 재밌게 봤습니다,8,1
34,기발하거나 참신하지는 않지만... 가볍게 보기엔 무난한 코미디 영화,7,1
35,"잼있고, 웃기긴 했지만 영화관에서 제 돈 주고 봤었다면.... 저도...ㅎ 호불호가 나뉠듯~ 킬링타임으로 가벼운 마음으로 보기 좋아요~",7,1
36,재밌게봤어요.,9,1
37,재미있어요,9,1
38,영화 재미없을까봐 고민했는데 가벼운 마음으로 보니 가볍게 웃기 좋은 편한 영화였어요.  소소하게 계속 웃겨요,7,1
39,최악. 영화가 코메디라는데 웃기지도 않고. 10점 주는 분들은 어떤 관점으로 보셨는지 배우고 싶다. 배우도 그렇고 보고있는 내 자신이 한심해서 중간에 끊었음. ,1,0
40,재밌어요,10,1
41,"예고편이 재밌길래 기대했는데 직접 영화관에서 보니 예고편의 내용이 그냥 이 영화인 것을 느꼈어요. 예고편 내용에서 그 이상, 그 이하도 아니었고 딱 예고편 내용이 영화 전체 더라고요. 연출도 정신사나웠고요. 그리고 너무 억지로 웃기려는게 거북해서 영화 보다가 나가고 싶었습니다. 이 영화가 왜 평점이 높은지 의문입니다만 그래도 현대 정치판을 잘 반영했고 비판하는 점이 좋았어서 별 하나 더 드립니다.",3,0
42,첨엔 현실성 없는 코미디로 보았는데 윤미향 사건이랑 똑같네. 코미디임에도 불구하고 웃기는 장면이 하나도 없다. 그럼 과감하게 정치풍자를 하든지. 김용림같은 대배우가 나와서 좋았지만 연기가 너무 적어서 아쉽다. 시나리오만 잘 다듬어도 웰메이드 영화가 될수 있는데 억지설정만 가득해서 공감할 수 없었다,2,0
43,좋은 영화를 보면 뭔가 남는게 있기마련. 이걸 보고 뭘 얻은건지 난감한 느낌이는다. ,3,0
44,역시 라미란배우님입니다 여러가지 요소로 비틀어놓는 부분들이 있어서 마음 편하게 열심히 웃었습니다!,10,1
45,막보기 재미남,9,1
46,정치인의 실상을 보여주는 시사적 코미디극. 초반은 좋았지만 끝을 갈수록 과장된 웃음과 감동을 미리 설정해놓았다는 아쉬움이 컸다. 하지만 현 정치인들의 모습을 가감없이 솔직담백하게 잘 담아냈다.,5,0
47,잘만든 영화.. 이렇게만 좀 만들어주라 코로나 터지고 극장가에 볼게없음 ,10,1
48,연기도 탄탄하고 재미짐,10,1
49,재밌네ㅋㅋ,10,1
50,"소재만 좋으면 뭐하나, 영화의 기본 요소들이 너무나도 부실한데.",4,0
51,존잼,10,1
52,뻥쟁이 국개의원들은 언제 철드냐?,10,1
53,생각보다 재밌었어요 뻔하지 않은 결말이 좋네요 ,8,1
54,극한재미,10,1
55,재밌네요. ,9,1
56,다소  늘어지긴  했지만  나름의  재미가  있었어요  최근  윤미향  사건도  오버랩되고,7,1
57,재밌음,10,1
58,박장대소하며 즐겁게봤어요^^,10,1
59,마케팅회사 직원들? 아님 알바? 이걸 어떻게 10점 주냐 진짜 넷플릭스 에서 볼거 없어서 걍 봤는데... 암튼 배우고 스탭이고 만드느라 고생했을테니 2점 드림,2,0
60,라미란이 최고!!!,6,1
61,생각없이 봤는데 너무 재미있게 잘봤어요 배우들 연기도 너무잘하네요~!!,10,1
62,쏘쏘,6,1
63,이게 웃기다는 사람들이 이리 많다니 내가 너무 삭막한 인간인걸까?;;,3,0
64,그냥 단순 코메디로 보세요. 뭔가 의미같은 건 절대 찾으려 하지마시고. 뭔가 저러고도 계속 정치할 수 있다는 리앙스가 있어서 저는 좀 불편했네요..,2,0
65,주연 배우 가 돋보이는~~~,6,1
66,이렇게 웃기게 만들 수 있다니... 대박,10,1
67,완전웃겨요ㅋㅋ 집에서 중딩애들과 한끼 함께 먹으며  코로나로 외출도 못하는데 ᆢ 드라마 같은 영화네요ㅎㅎ 라미란님 최고,9,1
68,재밌음. 완전 웃김. ,10,1
69,배우들 연기빼고는 와 정말..본 내시간이 아깝다 웬만하면참고보는데 결국 끔. 집에서 킬링타임용으로도 시간이 아까웠음 그러나 국회의원들이 이따위라는거를 잘알려준공은있는듯. 바뀌기전 가식적일때,1,0
70,진짜 최고네요. 부부케미도 좋았고 김무열씨도 옷에 맞춘듯 너무 연기 좋았어요. 재밌어요!!!,10,1
71,재밌게봤어요 라미란배우님최고,9,1
72,크 너무 재밌어욬ㅋㅋㅋㅋㅋ심심한 주말을 행복하게 만들어줬다는... 배우님들도 연기 넘 잘하시고 라미란님 국회의원이랑 찰떡이시네용ㅎㅎ,8,1
73,산만하고 억지웃음 유발로 끝까지 보기 힘듬,2,0
74,"감동과 착하고 깨끗하게 웃긴 영화. 감사한 영화.  여기서 감동을 못느끼면 엄마한테 한번도 감사하다고 한적없는 놈 ㅋㅋㅋ감동에 억지 아니다 까지 붙이는 참 반인륜적에 히스테리 부리는남자사이코패스 꼴 고대로 담아서 시원스러웠던 영화 @이거 알려드리고 가요 장유정 감독님 ,브라는 미국껄로 @트와이스 와 마마무는 ㅂㄹ인가?  @남자가 값비싼척 해도, 여자의 사교성있는 말투 , 누군가를 한번이라도 도왔다면 나오는 대인배 말투 , 남성격파탄자에겐 상담원 말투를 개인주의 남자들은 죽었다 깨어나도 모른다. 이것이 우리의  강력한 무기. 그들이 죽었다 깨어나도 가지지 못하는 봉사정신, 아름다운 마음, 배려, 기본 인성 , 자신이 성을 까여도 논리성을 잃지 않는 여성들 , 민주당의 대단한 스펙의 여성들 , 최근",10,1
75,이 좋은 소재 가지고 이 정도밖에 못 만드나!   평점조절.,1,0
76,"앞은 좋았는데, 뒤로 갈수록 억지 감동에  영화는 산으로......",5,0
77,겁나 웃겨...ㅋㅋㅋ 그냥 웃긴 영화 ㅋㅋ,9,1
78,"소소하게,,",5,0
79,아 ~너무 웃겨! 너무 웃어서 기분 좋아요,9,1
80,라미란이어서 빛난 캐릭터. 억지스럽지 않은 웃음과 전개가 좋았다,9,1
81,"신선한 코미디. 요즘 이만한 코미디 찾기 어렵다.  라미란, 김무열의 연기는 무르 익었으며 라미란 남편역도 수훈갑. ",9,1
82,평점 조절.,1,0
83,저는 집에서 VOD로 예고편 본 후 재밌을 것 같아서 봤는데 라미란 배우님 국회의원 역 딱이신 것 같아요 ㅋㅋ 소화를 잘 하신건지  이미지인지 아무튼 엄청 잘 딱이이여 ㅋㅋㅋㅋ  딱이에용 잘봤습니다 어색함1도 없어요 ㅋㅋ ,9,1
84,아... 도대체 몇번을 본지 미치게 웃었다... 최고에요 남자친구랑 재밌게봤어요 종종 생각날듯..^^ 라미란최고,10,1
85,그냥 무난하게 웃으면서 볼 수있는 영화ㅋㅋ 김무열도 나름 이런 캐릭터 어울리네,6,1
86,배우진 좋았음,10,1
87,우쒸~ 이런걸 영화라고 만들었나?,2,0
88,정말 화끈하고 통쾌하고 재밌었습니다!! 명불허전 라미란 배우님♡♡,10,1
89,보는 내내 몸이 아팟음,1,0
90,허탈할뿐,4,0
91,기대치는 충족시킨 코메디물,5,0
92,오랜만에 웃었네요...재미있네요.. ㅎㅎ,9,1
93,재미는 있던데 방송사에서 후보들 자리에서 떵 매럽다고 방구 뿡뿡 끼고 보좌관한테 휴지 .. 이건 억지 설정인거 같은데 이런 설정 좀 하지 말자  남자도 아니고 여자후보가 실제로 하면 좋겠냐 ..,7,1
94,정말재미있게봤네요~~^^ 근데 후반부에 조금 루즈한 느낌이 있네요 암튼 재미있었어요,9,1
