,document,score,label
0,사회적 약자를 바라보는 시선. 그리고 약자를 악으로 치부하는 세상. 마침내 약자는 악인이 된다. 사회적 모순이 만들어 낸 괴물.,10,1
1,모든인간을 무례하게대하지말자 모두똑같이 예의를 같추자,10,1
2,"계단을 걸어ㅜ내려 오며 춤을 추는 아서를 보면서 터져 나오는 흐느낌을 멈출수 없더군요. 끝까지 울었던거 같아요. 안간힘을 썼던 한 사람의 ‘인간’이 무너진거니까요. 거기서 해방을 맞다니, 사람들이 그에게 아니 삶이 그에게 너무했어요.",10,1
3,옳고 그름의 저울은 누가 만드는 걸까.? 욕설과 폭력으로 난무할꺼라는 조커에 대한 선입견으로 봤는데... 비뚤어진 세상을 대하는 순수한 인간을 보고 말았다...  분노를 먹고 악에 젖어드는 안타까운 인간을...,10,1
4,약한것을 짓밟으려는게 악이지 짓밟혔던 약자가  울분이 터진것을 악이라고 할수있을까.  살인이 절대 미화되어서는 안된다.  하지만 약자에게 마음의 병을 주고  미쳐돌아버릴 정도로  극한으로 몰고가는  사회속의  죄책감을 잊은 사람들은  그들을 악이라고 손가락질할 자격이없다.,10,1
5,"역시나 보기가 몹시 괴롭네.   오랫동안,  찜 해두고 오늘. 그 기분이라 봤는데.   배우가 그 트라우마에서 벗어날 수 있을까.  ""정신병자 외톨이를 무시하고 쓰레기 취급하면 무슨 일이 벌어질까.""  일베 한테 하는 얘기 같음.    혼돈의 트리거. 조커.  맞네.",9,1
6,한국과 미국의 공통점 한번의 실패도 용납할수 없다. 실패하면 사냥하다 턱이 부러진 사자처럼 굶어죽어야한다.  기득권이 기회를 확실히 앗아가버렸다. 미국이나 한국이나 돈없으면 변호사도 못되는 국가다.,9,1
7,"히스레저의 조커가 그 자체로 히스테릭하고 공포스러운 완제품이었다고 하면, 호아킨 피닉스의 조커는 마치 불안정한 날달걀을 고담이라는 전자렌지에 넣고 돌리는 것처럼 언제, 어디서, 어떻게 터져버릴지 모르는 상황을 처음부터 지켜보는 듯한 초조함과 긴장감을 준다. ",8,1
8,사회적 약자를 함부로 대하지 말자..라는  것은 알겟는데 그렇다고 범죄자가 되는게 정당화되진 않아 ㅡㅡ 이런식의 영화는 모든 범죄자에게는 그럴만한 이유가 있었다라는 정당화만 심어줄뿐이야... 그리고 미래의 범죄자 에게도...  나는 사회적 약자엿고 피해자 였으면 더이상의 산택권은 없었어 라는 정당화를 줄뿐이야.... 안타깝고 슬픈 캐릭터 이지만 이건 아니지,8,1
9,"조커와 배트맨이 탄생한 배경은 결코 다르지 않다. 사회적 배경은 극단적으로 다를지 몰라도, 고담이 아니 미국이 안고 있는 사회구조적 문제라는 동일한 배경이 그 둘을 잉태한 것이다.  사회과학적으로 극단적 대척점에 있는 아서 플렉과 브루스 웨인은, 언제 어디서 폭발할지 모르는 억눌린 폭력이 무겁게 내려앉아 있는 도시들과 거대한 빈부격차 사회로 이루어진, 미국이라는 자궁 안에서 태어난 일종의 일란성 쌍둥이다. 극과 극은 서로 통한다고 했던가. 이 악당과 영웅은 뫼비우스의 띠처럼 양극단에서 서로 그렇게 이어져 있는 것이었다.  한마디로 조커는 사회병리학적 문제를 가진 프롤레타리아트가 사회구조적 모순이 심각한 사회 속에서 살아가기 위해 발버둥치다가 만들어진 인물인 것이다. 이 영화가 묘사하는 조커를 우리가 ",8,1
10,지금까지 알았던 조커는 다 잊어버리게 만드는 영화 호아킨 피닉스의 조커가 최고다,10,1
11,와 진짜 마지막 조커 웃을때 소름이 쫙 돌았다... 조커가 되고 훨씬 행복해보이는게 참 아이러니... 근데 평점은 왜이렇게 낮은거임 ㅜㅜㅜ,10,1
12,부익부빈익빈 부유계층을 만드는 자본주의는 결국 종말을 맞을것이다,10,1
13,"너와 나, 우리는 조커",9,1
14,"슬프고 너무나슬픈 안타까움 , 선과악의 정의를 누가 결정할수 있을까? ......",10,1
15,악마는  탄생하는 것이  아니라 만들어지는 것이다.,10,1
16,"누군가의 인생은 비극이고, 누군가에게는 희극이고, 그 누군가에게는 천국이라 말한다. 인생은 비극도 희극도 아니다. 그냥 하루 하루 버티다보면 언젠가 좋은날이 오겠지하며 살아갈 뿐이다. 인생의 주인은 나라고 생각했는데, 현실은 누군가의 인생을 위해 살아가는 기계가 되어 있었다. 돈 없고 힘이 없으면 무시당하고, 이용만 당하는 사회 바꿀 수 있을까. 사회는 살만한 세상이 아닌 삭막한 세상이 되어간다. 부의 양극화가 심해질수록 세상은 혼돈에 빠진다.",8,1
17,이영화 절대강추 이다,10,1
18,인생영화...,10,1
19,출생의 비밀에 가정폭력에 빈곤 그리고  장애면 우울증과 박탈감은 너무 뻔하다.  히치콕 사이코 엄마 때문에 미치고 택시드라이버짓 하다가 뻐꾸기 둥지 위로 날아가버림.  거기다 감독은 필시 왕가위 팬이다. 아비정전 장국영 맘보댄스를 그대로 싸먹음.  더 비교하자면 아비정전에서 자신을 배신한 엄마를 그대로 등지는 장국영이 오히려  단절감과 고독감 그리고 처잘함을 더욱 강렬하게 표현하고 있다.  조커처럼  주인공의 why와 because가 많은 영화는 임팩트가 떨어진다. 택시 드라이버가 빼어난 이유가 구차한 설명 없이 함축적 영상미로 도시의 박탈감을  전달하기 때문이다.  조커는 영화가 조커라는 인물로 집중해 주제가 협소해진다. 반면 택시드라이버는  시종일괸 트래비스가 도시 전체를 대변하고 있다.  차라리 팀 버,7,1
20,호아킨의 연기에 박수를 안보낼수가 없다. 억눌린 감정을 몸으로 표현하는 그 소름돋는 연기에 조커라는 빌런을 다시보게된다.,10,1
21,사회의 모순.  삶의 비애.  이 모든 건 비극이자 희극이지.   아!  삶의 정수를 담아낸 최고의 영화입니다.,10,1
22,무슨 말이 필요해.. 최고!,10,1
23,만화책을 원작으로 이런 진중하고 재밌는 영화도 만들 수 있구나.,10,1
24,모방보다 타산지석의 힘을 믿으며 우린 악을 더 치밀하게 연구해야한다. 인간의 것이 아닌양 부정하고 이해못할 악마라 칭하는 순간 이미 패배다.,9,1
25,끝난후에 생각을 많이 하게하는영화,9,1
26,광대 분장이나 가면만 봐도 극도의 공포증이  있었으나 호아킨 피닉스의 연기에서 원초적 아픔을 느끼면서 공포증이 사라지는 경험을 한 놀라운 작품 그러나 세상은 바뀌지 않아~,10,1
27,아놔 울게하네 호아킨께 경외를 ,9,1
28,요즘 영화가 워낙 오락적이긴하지만..  이런 영화가 이해가 안가면 정말 어릴때부터 오락영화만 본듯,10,1
29,별점 왜이래 진짜 9점줘도 너무너무 아까울 영환데 ㅜㅜ... ,10,1
30,조커와 아서는 공존한다,8,1
31,미친연기,9,1
32,슬픈 웃음과 춤이 코믹스의 한계를 넘어선다 많은 극찬을 받는 조커로 분장 후 계단 내려오며 춤추는 씬에서 그의 슬픔과 분노가 폭발하여 미운오리가 백조가  되듯이 약자가 마왕으로 탈바꿈 하는 신들린 연기에 전율을 느끼게한다.   ,9,1
