,document,score,label
0,킬러가 너무 많다,2,0
1,존윅 그냥  너하나  죽음 되는데  한  수백명  죽음은  파리목숨이네  보는내내 그냥   내용은  없고   키아누 동작은  너무  느리고   사람만 죽고  칼  왜이리많이  쓰는지   칼싸움도  거기서거기  할베리는  반갑네,1,0
2,일본자본으로 망친 영화,1,0
3,처음엔 흥미진진 액션이...시도 때도없이 주구장창...나중엔 지겹다. 뭐 불사신이네..,7,1
4,스토리는 배제하고 오직 액션만.... 하지만 시리즈 모두 비슷한 액션만...,4,0
5,전작에 비해 쓸데없는 액션이 많고  액션합도 많이 어색해짐..  적들은 남주 죽이지도 않고 다 기다려줌..  이게 뭐여.. 쓸데없이 왜색이 짙은 것도  마이너스.. 키아누 리브스도 체력이 딸려서..  이번작으로 걍 끝냄이 좋을듯.  4점 주고 싶은데 의리로 5점 줌..,5,0
6,영화를왜요따우로돈쳐들여서맹글까?,1,0
7,아무리 영화라지만 정도것 해야지. 불사신도 아니고 존윅은 ㅋㅋ,3,0
8,일본자본...하아...,1,0
9,감독은 러시아츨신으로 봄. 의도는,1,0
10,내용없고 살인만 주인공은 사람 아닌 로봇같은 체력입니다,3,0
11,.,0,0
12,영화 중반에 개가 올라갈 수 있게 일부러 설치해둔 어울리지 않는 개 훈련용 사다리 설정 아쉽다. 티가 나게 짜고 치는 액션에 어설픈 CG. 처음부터 끝까지 보기가 어렵다. 키아누 리브스 액션도 너무 느리다. 도중에 여러 번 졸았다. ,5,0
13,"극장용이 아니라 비디오시장용으로 만든거냐? 액션도 허접하고 CG도 돈 아낀 티가 팍팍 나네. 영화 CG는 돈 준만큼 퀄리티를 뽑아주는데, 이건 정말 저렴하게 했나보다. 하긴 1편으로 끝난 이야기를 2,3까지 우려먹었으니 잘해먹었고 4편은 만들지 마라.쯧. 검색해보니 제작비는 시리즈중에 제일 많네. 시바 누가 삥 쳐먹었는지 조사해봐라.",1,0
14,죽은 사람만 불쌍,5,0
15,쓰레기,0,0
16,"법으로는 솜방망이 처벌에 그친 정말 죽이고 싶은 악질 사기꾼 쓰레기 인간 몇 명 때문에 내 인생 회복불능의 급전직하 나락으로 떨어져 빈곤층으로 추락했다.  그 새끼들 죽여버리고 싶은 마음 아직도 절실하지만,,,,, 마국처럼 무기 소지가 안 되느 현실입 답답한 터에 이 영화보고 잠시나마 대리만족 했다.  내 손에 무기가 주어지는 그 날이 온다면 반드시 그 쓰레기 인간들 철저히 척살 응징하리라.",10,1
17,"단점- 전작들과 다르게 급하게 액션을 보여줄려다 보니, 액션내용과 다르게 가볍게 전달되는 느낌을 받았으며, 중간에 훈련견 액션씬은 압권이였다. 장점- 다음 작을 기대하게 하는 엔딩! 한줄 평- 아마 반지를 도로 찾지 않을까 싶은데?  오토바이씬은 김옥빈이 출연한 ""악녀'의 액션씬을 가져다 쓰지 않았나 생각해본다.",8,1
18,"흥행요소는 메트릭스에서 함께 호흡을 맞춘 로렌스 피쉬번의 등장과 화려한 액션과 스케일  단 철학적 메세지는 없고 일본의 사무라이 엉성한 검객 ㅋ  재미는 있었지만, 아쉽기도..",6,1
19,"머리에 총한방 쏘면 될걸, 수 많은 킬러들이 개폼잡다가 존윅에게 끊임없이 죽어나가는 무리수 남발영화. 다만 킬러 세계관을 정립한데에 점수를 준다. 다음편에선 좀더 현실감있게 만들자.",7,1
20,전편보단 못함 3편보다 나은 4편이 나오길....,8,1
21,액션과 살인만 있는 영화~,2,0
22,총이 없으니까 좀 허전하다. 그리고 스토리도 잘 이해가 안갔음,6,1
23,다음에서 평점 먹이는 유저들  정신적으로 문제 있는듯  100% 만족못하면 1점주는 종자들이 거의 대부분  극장가서 보지도 않는 거지들이 ㅋㅋㅋㅋ,10,1
24,흥미진진!,10,1
25,존웍3  역대 최고 액션  존웍자체가 말이 안돼는데 평점 야박하네 미국에서 스리즈중 최고인데   방탄복 및 찰갑 방탄복 말이 되나? 그냥보는거지,10,1
26,아 증말 ! 이게 또 4편이 나온다구?,1,0
27,"어느 누구도 존 윅과 잭 바우어를, 무슨 수를 써서라도 죽이려 하지 않는다.",4,0
28,지켜야 할 것과 보기해야만 했던것이  명확하게 드러나는  순간,8,1
29,보는내내  잔인함에 너무 불편함..,1,0
30,.,5,0
31,쏘쏘,8,1
32,키아누 할배의  액션 눈물없이 보기엔 너무 애처롭다,1,0
33,너무 지루함,1,0
34,아이고..사람목숨 파리목숨.이야기를 끌어오기 위해 잔인한 피의 행렬,4,0
35,존 윅은 재미 보단 액션 때문에 본다...,8,1
36,"아 쓸데없이 시리즈가 이어지는 분위기네.. 1, 2는 정말 재밌었는데 3은 좀 어수선하고 의미 없는 조연들이 나대는 느낌? 오로지 존윅 선생의 총부림만 보고 싶다 칼 싸움도 필요없다고~!",4,0
37,존윅 다음시리즈는 도대체 언제쯤  보고싶다 ,8,1
38,할아버지 키아누의 액션은 서글프구나,1,0
39,4탄에서 끝장내자,8,1
40,"억지 스토리, 개연성 제로 엉성한 액션 그냥 총질만 하지;;",1,0
41,"1,2편은 재밌는데 3편은 지루한 액션씬이 많았음 ㅜ 내용은 역시나 쿨해서 마음에 듬  일본스타일이 너무 많이껴서  개인적으로 별로였음 키아누는 역시나 최고였지만",8,1
42,액션 굿,8,1
43,영웅본색 + 킬빌 + 람보. 비글과 차 때문에 많이도 죽인다. 액션 씬을 하기엔 키아누는 좀 무리다.1편에선 양아치들한테 어이 없이 당했댜? 시간 죽이기엔 딱이다.,5,0
44,총 들고 근접전.  그마져도 합을 맞춘 티 팍팍. 돕는 이들의 말같지도 않은 이유. 이게 3편까지 나온다는게 신기.,3,0
45,액션 인정 근데 너무 합이많아 중간 중간 어설픈 장면도 ㅡㅡ;; 스토리 도 너무 아쉬움,6,1
46,개한마리때문에 시작된 최악의 개판 시리즈  뮐그리 살려고 애쓰나 4편을 노린 최악의 앤딩,2,0
47,일본애들은 참 잔인해,6,1
