,document,score,label
0,"잼있고 감동있게 잘 보았습니다. 가족이 왜 소중한지, 그리고 진정한 가족이란 어때야 하는지를 느꼈습니다. 가족이 붕괴되면 세상은 사이비 종교가 판을 치겠지요. 세상 사람들 모두 행복해졌으면 좋겠습니다. 그래야 사람들은 사이비에 빠지지 않을테고, 건전한 사회가 만들어 지겠죠. 작금의 코로나사태에서 벌어지고 있는 일부 기독교인들의 잘못된 믿음이 이기심과 이러한 불행에서 시작된 것이 아닐까 생각해 봅니다.",9,1
1,멍청한 형사가 제일 이해 안됨,1,0
2,"점수가 왜이리 낮냐?  솔직히 후반 사이비 종교 개연성 쫌 얼척 없다 느끼다가 , 김무열 아내의 사연에서 그래도 쫌 이입됨. 그렇지만 역시 사이비 종교를 넣은건 후반에 너무 미스였음. 마지막 절벽에서 파란 코끼리 풍선.. 과연 송지효의 말이 진실인가 김무열의 기억이 불확실한건 아닌가 아리까리하게 해놓고, 유전자 검사 결과 보고서는 확인 안하고 파쇄해서 더 궁금하게 만든 감독.. 후반 전개 빼곤 진짜 흥미진진했는데..",7,1
3,충분히 몰입도 있고 좋은데 쉬어갈 타이밍이 없는게 아쉽네요. 주인공이 당하고만 있으니 조금 답답했어요ㅡ 중간중간 약간의 반격?이라던지 형사라도 좀 믿어줬으면 좋았을텐데. 아무튼 배우들의 연기는 좋았어요.,9,1
4,몰입도와 긴장감 높았다,9,1
5,핵고구마 설계한다는 놈이 논리는 1도없고 소리만 지르고 저게 뭐여 돈주고 봤으면 울뻔,1,0
6,평점이 이리 낮은 이유를 모르겠다. 솔직히 스토리전개는 너무뻔한부분과 앞뒤 매끄럽게 이어지지않는 아쉬운부분이 있었는데  몰입도와 긴장감은 상당히 괜찮았다. 특히 송지효의 연기가 완전 일품이었다. 스토리전개만 매끄러웠으면 극상품의 영화가 되지않았나 생각한다,8,1
7,스토리전개 감당못하니깐 종교로 빠지는거봐라 ᆢ쓰레기영화,3,0
8,애초에 지내 아파트에서 범인 제압했을때 바로 경찰신고했어야지 뭔 또라이도 아니고 ,1,0
9,"전체적인 스토리는 연출만 잘하면 괜찮은듯한테 감독의 한계와 구성이 엉망,,,,개연성은 진짜,,,,,한국영화의 양극화라고 해야하나,,,,,,감독님 좋은 영화 좀 많이 보시구 공부 좀 하세요,,,요즘 한국 관객 수준이 감독님 보다 높답니다...  ",1,0
10,캑캑 고구마,1,0
11,미련한  주인공 외치는 소리와 답답함.황당한 결말,2,0
12,형사가 바보네~~~~,7,1
13,정말 좋아하는 배우들인데 ... 영화는  넘   실망이네요 ㅡㅡ;;,1,0
14,"저예산 스릴러가 이정도면 뭐 괜찮은데 7점 주고 싶은데, 평점 테러때문에 9점 준다.",9,1
15,사이비종교 영화일줄이야 사이비에 빠지는 사람들 이해가 안됨 나는 나만히 구할수있음,8,1
16,처음부터 그럴꺼면 쉽게 납치를 하든가 뭘 그렇게 어렵게 가냐ㅋㅋㅋ,3,0
17,작가님이 초반만 구상하시고 마무리에 대책은 못세운 듯 이런 미스테리 스릴러 장르는 결말에서 탁 하고 오는게 아니면 열에열은 욕먹어요 떡밥 회수가 자신없으면 큰일 벌이지 마세요,3,0
18,고구마 100개는 먹은 느낌   아까운 내시간 우쩔겨,1,0
