,document,score,label
0,금방 보고 옴 보고 난후 머지? 했는데 감독이 제임스완이 아님... 헉 요로나저주 찍은 감독임.. 어쩐지...,1,0
1,굿,10,1
2,기대보다 다소 실망스럽고 전편보다 약한것도 사실이지만 그렇다고 1점 줄 정도까진 아니다...  그럭저럭 볼만한 정도...,6,1
3,기대합니다,10,1
4,"별점이 너무 낮네요. 전 이번 감독도 연출 괜찮게 했다고 생각했는데, 생각이 많이 갈리네요. 근데 로레인이 원래부터 저런 신기가 있었나요?? 예전 컨저링 시리즈의 좀 스산한 분위기보다는 좀더 b급 호러물처럼 느껴지는건 인정함.",8,1
5,그렇게 재밌던 컨저링이 3편부터 좀비영화로....ㅋㅋㅋㅋ  악령이 사람한테 줘터지기나하고....ㅋㅋㅋㅋ,4,0
6,전작 감독이 아니라서 그런지 평범한 b급 호러물이 됨. 극장용으로는 많이 아쉽고 비디오나 케이블 수준정도,3,0
7,긴장감있게  잘보았는데 평점이 너무 낮네요,10,1
8,점프스케어 나오는 시점이 딱 보이는데도 조금 쫄았다.,6,1
9,어제봤는데.. 저는 솔직히 대실망했습니다. 마블유니벌시티처럼... 컨저링유니벌시티처럼 특유의 공포분위기가 있었는데... 실화는 둘재치고 연출이 무슨.. 좀비영화처럼 ㅜ  별로였습니다...,1,0
10,"1,2편의 분위기는 어디 가고 무슨 사랑의 힘이랑 점프스케어만 넣어놨네요 평가가 좀 갈릴 것 같은데 갠적으론 정말 별로입니다",4,0
11,실망이오,2,0
12,기대합니다~!!!! 얼릉 나오길 !!,10,1
13,"1,2편을 기대하고 본다면 0점, 공포영화를 보고싶어서 본다고 해도 0점.. 아..나오지않았어야하는 3편이었을까...ㅜ왜 주제가 사랑의 힘이여..",1,0
14,공포영화를 보러간건지 멜로영화를 보러 간건지 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ악마는 또 왜이렇게 다구린지 ㅋㅋㅋㅋㅋㅋ 그리고 관절좀 그만 꺾어 무섭진 않고 걍 쯴따같음 ㅋㅋㅋㅋㅋㅋㅋ 어떤 장면에서는 로레인이 점쟁이인줄 ㅋㅋㅋㅋㅋㅋ 유치해서 웃음이 나오더라,1,0
15,그놈의 사랑의 힘은 진짜... 만화영화도 아니고 진짜... 에휴,1,0
16,곧 바통 터치할 애나벨 한테 미안하지 않겠냐!,3,0
17,"돌아와요, James Wan",7,1
