,document,score,label
0,"내용 전혀  모른 상태로 봤다가 코마상태에 빠질뻔한 영화다 영상, 배역들, 대사들, 흐르는 음악, 자연의 소리들까지 머릿속과 가슴속에 콕콕박혀 한동안 헤어나질못했다",10,1
1,"""나도 너와 같아. 나도 전부 다 기억해."" 그 해 여름, 눈 앞에 문득 다가온 청춘의 뜨거운 프레임에, 읽다만 페이지에, 남겨진 스코어에, 벗어놓고 떠난 네 셔츠와 우리들 잇자국 선명한 복숭아와 깨물린 내 심장을 묻다",10,1
2,감독의 섬세한 디테일이 살아있는 영화. 동성애도 참 아름답게 그렸습니다. 그러나 엘리오가 안타까웠습니다.  올리버를 만나지 않았다면 평범하게 살 수도 있었을텐데.... 어린 나이의 단순한 호기심일 수도 있지 않았을까하는 생각이 들었습니다.,9,1
3,여운 오지게 남는영화,10,1
4,절절한 첫사랑이 그리운 영화. 안보면 미칠것같은 사랑. 그 시절이 그립다. 영상도 아릅다고 엘리오 부모님도 너무좋고 엘리오 올리버..   ost도 너무좋다,10,1
5,이성간의 사랑보다 더 애절하게 잘 만들었다 왜 인기가 있었는지 알겠군...,8,1
6,슬프다. 마지막장면 ,10,1
7,엘리오 엘리오 엘리오 엘리오 엘리오...... I remember everything,9,1
8,이토록  찬란하고 아름다운 여름 영화가 있었던가,10,1
9,"사랑의 상대가 누구든 얼마나 진심인가에 대한 이야기였다고 생각합니다. 첫 이성과 또는 동성과 저렇게 담백하고 진솔할 수 없었던건 학습된 ‘원죄’의식때문이 아니었을까. 티모시 살라메도 아미 해머도 아름다웠고, 극중 마르치아도 멋졌어요.",10,1
10,내가 사랑한거 같고 내가 실연당한거 같다.,10,1
11,날것 그대로 감정을 표현해내는 티모시샬라메의 연기가 경이롭다,10,1
12,두번째보니 엘리오가 올리버를 걸리적 거리며 사랑을 느끼는게 보이네 동성애든 이성애든 무슨 상관! 그들은 우리가 인식하기 훨씬 이전부터 존재했다.,10,1
13,두번은 보고 싶은 영화,10,1
14,너무나 세련되고 어른스럽게 사랑과 가족을 표현한 영화. 여운이 마니 남는다.   나는 오히려 사랑 영화라기 보다는 사랑과 가족에 대한 영화 라고 생각.  이탈리아 영화를 다시 보게 됨,10,1
15,"마지막  장면 이  매넘  절절함 ~~ 성장기   사랑의  통과의례라기에 너무  가슴이   아프댜.   이성 , 동성 ,   사랑은  아픔이  따르지만~ 모든  것은   시간만이  해결 하겠지요",9,1
16,엄마 차를 타고 돌아오는 길. 차안에서 울먹이던 소년의 모습에  나도 눈물이 터져버렸다.,9,1
17,올리버가 엘리오를 위해 결혼한다고 거짓말 한 듯… 그랬음 좋겠다…,7,1
18,동성애를 떠나 너무 아름답고 잔잔하게 긴 여운이 남는 영화!..중독성이 심하다.,10,1
19,"자연도, 사랑도, 음악도, 육체도  모두 아름답다.  ",10,1
20,솔직히 지루함. 딱히 뭐 남는게 없는데..마지막에 아버지가 주저리주저리 이야기 하는건 좋았음. ,6,1
21,내 인생 영화;;; 다들 왜 안본사람은 있어도 한번 본 사람은 없다는지 알거 같아요.. 여운이 꽤 남습니다. 원작소설도 주문했어요. 꼭 한번 볼 만한 영화입니다.,10,1
22,"집에서 혼자 본 영화 중에서 박수 친 건 많지 않다.  엔딩....오~~!! 이런 수준의 영화 만들기 쉽지 않고, 소화할 배우도 많지 않지. 탁월함이 있다. ",9,1
23,"퀴어영화 중에서는 최고였던거 같다. 개인적으로 브로큰 백 마운틴보다 나는 이 영화가 더 좋았음. 더 밝게 가볍게 표현했지만, 올리버가 떠난 이후의 장면들이 더 기억에 남았다. 아버지가 엘리오에게 말했던거는 와.. 진짜 문화적 충격이었고.. 엔딩에서의 엘리오의 표정에서는 진짜 너무 슬펐음. 동성애를 아름답게 포장했다는 사람들도 있지만, 장면 중간중간에서는 아... 저래서 동성에게 사랑에 빠질 수도 있겠구나하고 느낄때도 있었음. ",9,1
24,"저 시절 사랑이라는 게 알맹이 없이 감정 과잉, 영화가 그 치기어림을 너무나 아름답게 그려내주었다",8,1
25,동성애는 사회악,1,0
26,너무나 아름다운 영화였다. 연기 영상미 음악 다 완벽했음...원작소설을 원서로 읽었고 정말 좋았는데 영화도 기대이상이네....여운이 한참 간다. ,10,1
27,"100번은본듯 인간감정과 순수한사랑에대한 찬가같은 영화. 성적지향과는 상관없이 감정,예술,자연을 사랑하고 게이포비아가아닌사람에게 추천",10,1
28,영화에 쓰인 메타포적인 요소를 알면 장면하나하나 가슴이 아린다. 처음에는 올리버의   춤을 보고 민망했지만 그 음악의 의미를 알고 보니 올리버가 Love my way 음악에 왜 그렇게 흥분했는지 .. ..내겐 가장 슬픈 장면이었다.,10,1
29,장면 하나하나 기억에 새록새록 남는다. 내인생 가장 멋진 영화였다,10,1
30,여운이 많이 남네요,10,1
31,"사랑을 맞이하는 이별하는 엘리오의 그 순수한 모습이 가슴을 따뜻하게, 가슴을 저릿하게 하는 명작. ost의 적절한 배치와 그 감성은 눈물 또르르.",10,1
32,"음악과 색감과 배우들의 연기력이 돋보인 영화. 퀴어 자체에 초잠을 맞췄다기보다는 사랑 그 자체에, 그리고 사랑과 이별이라는 감정을 왜 온전히 감내해야 하는지를 말해준 영화. 마지막 장면이 계속 머리에서 떠나지 않는다",9,1
33,햇살이 아름답고..수줍은 첫사랑도 아름답고.,10,1
34,이렇게 오래 여운이 남는 영화는 처음이었다.  헤어나올 수 없는 치명적 매력으로 가득한 장면 장면들‥ 그야 말로 가히 인생영화를 만났다. 되풀이해서 아무리 보고 또 봐도 질리지 않는 게 신기할 따름. ,10,1
35,"버릴 장면 하나 없는, 처음부터 끝까지 모든 순간이 첫사랑을 표현하고 있다.",10,1
36,정말 아름다운 영화,10,1
37,"나는 3년을 지켜만 봤는데, 고통속에서 죽지않은게 대단한데,  지금도 고백하지 않은것을 다행이라 여겨. 실제에서는 올리버처럼 대해주지 않거든. 실제에서는 올리버는 올리버보다 더 멋진 사람들과 사귀더라",9,1
38,눈이 부시도록 아름답고 강렬한 여름날과 그들의 사랑... 마지막 아버지의 위로와 조언 한마디 한마디가 가슴을 울렸다 나에게도 이토록 아름다운 여름날이 찾아올까...,10,1
39,너무 감동이야 ㅠㅠ,10,1
40,"본능적 이끌림에 타오르고 타올랐지만, 이 또한 지나가리라. 만감이 교차하는 그 표정,그 마음 언젠가 또 다시 찾아올 그 때를 기다릴 뿐... ",9,1
41,우연희 봤는데 너무 아름다웠다. 엘리오와 올리버의 단둘이  여행을 가며 사랑을 속삭이는 장면.  아버지의 아들에게 한 자기고백의  이야기 충고.  마지만 장면의 여운까지.,8,1
42,재미있었다. 나도 이런 첫사랑 해보고싶다.,10,1
43,영상이랑 음악이랑 배우의 감정연기까지 너무 좋아요.,10,1
44,편견없이 보면 아주좋은 영화인거같습니다,10,1
45,"기익해 나의처음,너의전부",9,1
46,브로크 백 마운틴의 이탈리아판 정도 되려나?,8,1
47,언제 봐도 좋다.,10,1
48,난생 처음 두번연속해서 본 영화,10,1
49,좀 무식한 인간들은 평점 좀 안썼으면 좋겠다. 역겹다.,10,1
50,여름이면 항상 생각날 것 같다. 음악도 너무 좋다. 영상미와 음악이 좋은 영화 꼽으라고 한다면 꼭 추천하고 싶다,10,1
51,아름다움의 영화화,10,1
52,너무 기대를  했었나봅니다 너무너무  별로였습니다,1,0
53,별루입니다. 이해할수없는 구성과 시나리오,1,0
