,document,score,label
0,전작보다 낫다 못하다를 떠나  코로나 시국에 꾸역꾸역 극장가서 본 영화중에서는 제일 재밌고 짜릿했습니다  추천드려요 !!!!,8,1
1,1편보다 재미있는 2편도 있구나.  깜놀하면서 너무 재밌게 봤어요. 시간이 좀 짧아 후딱 끝나는 느낌ㅜㅜ 3편도 만들면 좋겠네요,9,1
2,평점 조정이 필요.. 전작이 더 낳은듯... 별다른 내용이 없는 2탄 영화임..,1,0
3,근래에 본 영화중 단연 최고 쫄깃 쫄깃한 맛이 있다~,10,1
4,1편보다  재미있어요   갑툭튀 심해서 깜짝깜짝 자주 놀램,10,1
5,볼만하다..집중해서 봤다,7,1
6,재밌음. 깜짝 놀라는 포인트와 적당히 스릴 있음. 날씨가 더 더워질때 개봉했으면 더 높은 성적을 받았을수도.,7,1
7,1편이 가물가물한데...이해하는데 어려움 없음...긴장간을 너무 오래 끌어서 오히려 지루한 부분이 있음...떡밥만 투척하고 끝..,6,1
8,발암캐릭터들로 전개되는 답답한 스토리.... 그저그런 늘 보던 괴수영화가 되었음,6,1
9,1편에 비해 별루다..그냥 전형적인 헐리웃 스토리~ 결말이 1편이랑 똑같음 어쩌라는 건가 ㅠㅠ 너무 기대를 했나~ 예상했던 대로  1도 안틀리고 고대로 전개됨..그나마 깜짝 놀랄만한 컷이 있었던게 5점임...아니었음 0점짜리 속편,5,0
10,걷고 걷고 걷고 걷고..  걷기 화보 찍나?  워킹데드  보는줄 알았다. 발암 전개    클리셰   영양가 없는 독백 엉망 개연성  b급 연출  1편이 기대 안하고 봤는데 생각보다 볼만 했던거고 2는 진짜 3류다,5,0
11,일단 1편에서 어찌해서 외계인이 온건지 보여주고 중간 중간 1편에 나왔던 장면이 나와서 연관성이 좋았어요 중간 부분 부터 완전 몰두 해서 감상 했습니다,10,1
12,1 편 보다 더 심장이 쫄깃함  엔딩은 3편을 대놓고 암시,8,1
13,방금 보고 나왔는데.....! 끝나고 나서 느낌은..... 화장실갔다 뒷처리 안한듯한 묘~~한 느낌?,6,1
14,평점 가지고 장난하지마라........별 내용도 없고 너무 지루하다!,3,0
15,전작보다 좀 더 커진 스케일은 맘에든다.  발암력도 업글된 느낌?,7,1
16,집에서  보면  안되고 꼭 극장에서  봐야  됨. 사운드  와우!!!!!!! 몰입감 최고,9,1
17,긴장감과 스릴을 도대체 어디서 느껴야 하는가. 정말 영화를 본 사람들 댓글인지 의심까지 되네요.,1,0
18,평점조절  6 점  딸은 발암에 갈수록 느슨해지고 억지스럽고......,1,0
19,밖에 살인괴물이 돌아다니는데 애들이 말도 안하고 돌아다니냐~,6,1
20,너무 미룬거 같아요 이제야 개봉하는군요 ㅠㅠ   1편 못보신분들은 꼭 먼저보세요 .,10,1
21,"그닥 재미없어요. 김태훈 프리웨이 라디오방송에서 5점만점에 3.5였는데,  딱 그정도입니다. 댓글알바 너무 많이 풀은듯...",4,0
22,아이들의 성장한 모습에 감동스러운 눈물이... 진짜 최고로 재미있습니다.,10,1
23,에밀리블런트의 팬이기도 하고 콰플1을 너무 재밌게 봐서 콰플2를 정말 기다렸는데 3편을 얼마나 잘 만들려는지 몰라도 3편을 위해 모든걸 너무 아꼈다. 스토리도 CG도 러닝타임도. 그래도 임산부 노약자는 절대 봐선 안되는 강렬한 놀람을 주고 에밀리블런트를 볼 수 있어서 좋았고 3편도 꼭 볼거다.,7,1
