,document,score,label
0,하정우는 갈수록 연기 못한다. 아이잃은 아빠의 표정이나 느낌을 한번도 볼수없었다. 하정우 연기는 이제 끝난듯 어느 영화를 보나 똑같다,7,1
1,공포영화가  이렇게 지루할 수도  있구나 부성애 1도 안 느껴지는 하정우  연기  잘 봤습니다,3,0
2,하정우 아빠연기는 진짜 감정이없더군요. 총각들은 모르겠지만 아빠가 되어보면 느끼는감정이 정말 차이가 클겁니다. 딱 삼촌느낌이였음. 김남길이 2억 청구하는게 터무니없나??? 다죽은 딸찾아줬는데??  2억넘는 보그타고다니면서?? 딸랑구 목숨살려줬는데?? 나라면 재산 절반도 줬음.마지막 어처구니없었음. 노잼영화,0,0
3,"시작하고 정확히 5분만에 어이 없어진다. 물리법칙 무시하는 감독과 각본가는 퇴출시켜야 한다.  이를테면, 폭발시간 10초 카운트 다운 중인데 실제 벌어지는 일은 5분도 넘는 상황을 넣는 류의 감독들.  애가 차에서 나와 숲으로 들어간 걸 고작 몇초 뒤에 따라 갔는데 한참 헤매다 숲을 다 지나서야 찾아내는 괴상한 물리와 시간 개념.  그리고 온갖 공포 미스테리물의 상투적인 설정과 기교들. ",2,0
4,하정우 연기 원래 저랬음 ,1,0
5,어디서 많이 봤던 클리쉐들의 모음집같은 영화. 신파는 한국영화의 고질병인 듯..,4,0
6,어이 하정우~~ 연기연습 좀 해라.. 우리동네 쌀집 배씨가 너보다 낫것다.,2,0
7,"단점- 1)경련 일으키다가 벌떡 일어난 환자를 방관하는 의사(단역의 한계??) 2)역시나 70~80년대 충무로의 감성이 개 촌스러우며, 영화 흐름의 치명타 장점- 감남길의 혼신의 연기 한줄 평- 한국 영화의 고질병인 자꾸 공포영화에 신파요소를 넣어서 영화는 다큐로 가는데,,.......",6,1
8,지금 보고있는데요. 컨저링? 에나벨. . ㅋ ㅋ 귀찢어지는듯한 소음같은 튀어나오는 음량.무섭다기보다는 짜증.ㅡ ㅡ하정우 나온다해서 잠도안오고 틀었더니. ㅜㅜ 현대사회에 현장도는 직업이 딸하고 둘이 도시도아닌곳에 저런집에 산답니까? 학원.보모구하기도 힘든곳. 귀신도 너무 귀엽고. ㅋ ㅋ 80년대 용두산공원에 있던 귀신의집 생각나서 추억돋네요. ㅋ 부산행인거 같기도하고,2,0
9,장산범이랑 똑같은 되도않는 쌍팔년도 신파 감성팔이는 빼놓지 않고 들어갔으며 대놓고 인시디어스를 베낀 정말 그지 같은 영화 2020년에  도대체 왜  아직도 한국 영화는 장르를 불문하고 납득도 안되고 공감도 안가고 공감하고 싶지도 않은 억지 신파를 강요하는가? 말미에 엄마를 부를때 마지막 남은 내 인내심도 같이 무너졌다. 이 영화의 가장 무서운점은 감독의 뻔뻔함과 유치함이다.,2,0
10,헐 ~~~하정우 연기ㅠ,1,0
11,하정우도 그렇고 딸 역할 배우도 참 연기 지지리도 못한다. 마지못해 하는 하정우의 모습 보며 원래 그랬던 배우인데 거품이 많이도 꼈던 거라 생각 든다. 명진이란 아역이 제일 낫더라. 참 허접하기 이를데 없던 공포물.,3,0
12,외국여러영화 짜집기한듯   ㅋㅋㅋ  보는내내 어이없드라,1,0
13,오씨엔에 해주는데 애키우는 집 왜이리 어둡냐 없던 귀신도 나오겠다,6,1
14,드럽게 잼없네,1,0
