,document,score,label
0,TV로 절대 보지마세요. 절반이 욕때문에 묵음처리.  그리고 스토리도 꽝. 허영만이 시나리오 안봐줬나?  원작  훼손이 심각하다,1,0
1,잔인한 장면을 제외하면 저는 전체적으로 좋았습니다.잘 봤습니다.,9,1
2,"박정민, 윤제문, 권해효는 한결같은 캐릭터 한곁같은 연기력ㅋㅋ 류승범은 왜 도대체 왜 나온겨",4,0
3,"완전 개쓰레기 영화. 집에서 6명이 봤는데. 모두 동감. 스토리 개연성 제로. 연기 몰입감 제로. 10년만의 최악의,허접한 영화.",1,0
4,박정민 존재감이 조연수준이네 마스크 문제인가,3,0
5,뭔가 엄청 심심하길래 뭐지 싶은데 카메라 감독이 드라마 감독인듯 막 딱 봐도 분위기 쫙 뽑아내는 타짜 1의 그  느낌을 못살리네..,1,0
6,시리즈 최악 류승범 거품인듯 보일만큼 감독의 능력이 탁월함,1,0
7,화면낭비ㅋ,1,0
8,류승범은 왜이영화 이후 영화를 찍지 않을까????? 일점도 아깝~,1,0
9,...,0,0
10,2편 보다도 재미없음.. 이제 그만 나오길,6,1
11,스토리 개연성... 산만..  몰입불가...,4,0
12,대학생들이 만드는게 이거보다 잘 뽑겠다. 귀한식재료로 음식물쓰레기를 만든다면 이건 7광구급이다.  어쩌면 재림이 될 수도...,1,0
13,0,8,1
14,재밌게 봄. 반전의 반전.,10,1
15,1편의 카리스마를 따라갈수가없네 조승우 김혜수.. 그래노 잘봤어요^^,8,1
16,잘보셨어요,10,1
17,진짜 잼있게 봤는뎈ㅋㅋㅋ 진심 친구 보여주느라 두번봤는데 잼있다,10,1
18,박정민은 화제성도.. 스타성도.. 흥행도.. 그렇다고 잘 생기지도..... 팬덤이 있는 것도 아니고... 영화판 즈그들끼리만 아주 좋대... 류승범은 캐릭터가 아깝고 이광수 엉덩이는 납작하다,1,0
19,"이건 만들지 말아야 하는 편이 더 나았다. 어설픈 서양식 도박영화 따라하기로 느껴졌다. 몰입도도 없고, 이야기 진행 시 해당상황에서 어처구니없는 대화들이 오고 갈 때 이미 흡입력은 없어졌다. 류승볌을 비롯한 '팀'을 이루는 출연진들의 어설픈 연기도 한 몫 했고. 최유화는 좀 괜찮았다.",1,0
20,류승범 권해효가 아까운 영화,1,0
21,연출도 연기도 시나리오도  어색해...,5,0
