,document,score,label
0,"나오지 말았어야할 영화. 근거를 제시하자면,91년  극장개봉작은 삭제판으로 15세 관람가였고 그후에 나온 오리지널 감독 무삭제판을 보면 스토리상 도저히 3편이 나올수 없다. 결말부분에서 모든 스토리가 끝났다. 당시  신문엔 제임스 카메론이 언론 시사회에서 ""더이상의 터미네이터는 없다""라고 신문에 나온걸 나는 직접 봤다. 그리고, 인류저항군의 지도자 존 코너를 첫장면부터 CG로 만든 아놀드가 총 몇발로 죽이다니. 기존 팬들을 완전 무시했다. 카메론의 개입에 1점, 해밀턴 소환 1점, 화려한 액션씬 1점. 그이상 점수 아깝다. 나한테 돌을 던질자는 던져라.기꺼이 맞아준다. 터미네이터는 30년 넘게 이제 그만 울궈먹었으면 한다. 추억은 추억으로~~2편 무삭제판을 못보신분은 구해서 보시길.  내가 왜 이렇게까지 혹",3,0
1,사람을 죽이는 터미네이터가 인간과 섞여서 살다가 착해져서  주인공을 돕는다는 설정은 도대체 누구 머리에서 나온건지..  터미네이터영화를  확인 사살 하는 영화임.,1,0
2,터미네이터 시리즈물의 마지막이라 생각하고 평점준다./ 원작을 다니는 망치는일이 없도록,7,1
3,"터미네이터 원작(1,2)에 대한 모독. 린다와 아놀드가 불쌍하다.",3,0
4,너무 우려먹으면 추해진다. 이제 그만,1,0
5,그렇치!!!!! 이것이 액션영화의 완성 터미네이터 되겠다....,10,1
6,재밌구만.  울 큰누님  역시 머시쪙,8,1
7,왜 아놀드 형님은 맨날 죽는거야...ㅠㅠ,10,1
8,그뤠이스ㅠㅠ,10,1
9,꿀잼,10,1
10,조력자가 되고만 진짜 터미네이터. 그래도 제니시스에 비한다면야.,5,0
11,터미네이터 시리즈의 졸작. 왕년의 주연들이 모였으나.. 결과는 실패,2,0
12,터미네이터가 가정꾸리고 사는것 보고부터는 어이가 없어 집중이 안됨,2,0
13,할리우드 영화가 pc에 파묻혓네 해밀턴이랑 인조인간과의 대화라던지 아놀드제네거의 변화(기계의 자아성찰)는 휴머니즘을 억지로 부여하려는 느낌이 많앗음 중간중간 대사때문에 오글거리고 부끄러워서 끝까지 다 못보고 나옴 초반 액션만 괜찮음 ,1,0
14,"역시, 터미네이터2에서 끝냈어야 했어... 개연성이라고는 전혀 없음...  말도 안되는 스토리를 그냥 믿으라는 억지...",5,0
15,터미네이터 멕시코판인가.....웬 히스패닉들이 나와서 설쳐대나.... 할리웃도 히스패닉에 점령당했는가....,6,1
16,그레이스의 액션과 진짜 사라코너를  다시 본 것만으로 충분,7,1
17,재밌기만 히네 만 방구석 평론가들 천지누 ㅉ🖕,10,1
18,이영화 강추다,9,1
19,재밌다 멋지다,10,1
20,깔끔했다. 이제 그만 만들자,7,1
21,'역전의 용사 다시 모였네'만으로는 ....예전의 영광을 다시 돌리기 어려움....린다와 아놀드 고생했음...여기까지가 끝인가 보오....,6,1
22,"그렇게 허무하게 존 코너를 죽여서 3,4,5편을 완전히 없었던 해버렸어야 했나 싶다.",6,1
23,"제임스 카메론의 귀환, 하지만 개선은 커녕 망작의 굴레에 빠지게 된 전설의 시리즈.",4,0
24,지난 영화들과 거의 같아서 신선한 맛이 떨어지네,7,1
25,"실망입니다  제임스 카메론, 린다 헤밀턴이 돌아와도 이제 이 시리즈는 끝인거 같아요",4,0
26,이렇게나 똑같이 배우만 바꿔서 영화를 만들 생각을 하나?  예전에 본 사람들은 다 죽었다고 여기나,5,0
27,구관이 명관이네요. 린다랑 아놀드 둘 빼곤 연기도 개연성도 임팩트도 다 별로~ 터미네이터2가 명작은 명작이네요. 정말 색다른 스토리 아니라면 이젠 안만들었으면 좋겠어요~,5,0
28,슬프다. 명작의 추락을 막을 수 없네.,4,0
29,아놀드와 린다의  터미네이터2 같은 엔딩... 나머지 내용은 3류영화라고 해도 될만큼 뻔하고 쓸모없는 pc묻은 바보 영화였다. 욕하면서 에휴 에휴 하다가 t1000 죽는 장면 20초 그게 전부인 영화.,6,1
30,엑션은 나쁘지 않았지만 터미네이터 시리즈는 스카이넷을 점령하고 마무리를 했어야했다. 이런식의 계속된 시리즈는 이제는 민폐인것 같다.,5,0
31,"노쇠한 아놀드와 린다 헤밀턴 만큼 더이상 우려 먹을게 없는 시리즈로 절락한 느낌, 새로운 시리즈로 리부트를 꿈꾸는거 같기는 한데 너무나 빈약하고 어색한 여주들의 연기와 배역이 이번 영화를 말아먹은 느낌 ",1,0
32,"터미네이터 1,2 이후의 작품은  모두 번외편이라고 하자",5,0
33,"전편을 아는 분들은 요번편에 아쉬움을 많이 느끼실듯 무리한 개연성들 , 전편의 기시감을 노린듯한 장면들은 유치함도 느껴짐 땔수없는 아놀드형의 상징성은 알겠는데 진부하게 느껴지는건 어쩔수 없는듯 보니깐 사골을 몇번 더 우려 먹을 심산이거 같음",5,0
34,다른 시리즈 뒤엎고 2편에 이어진 이야기라면서 rev-9 컨셉은 터미네이터3 T-X 판박인데? 스케일은 크나 rev-9이 머리쓰는게 거의 없어서 어떻게 나올지 뻔했고 죄다 CG라서 큰 스케일 만큼의 긴장감과 몰입도는 없었다. ,3,0
35,"시리즈 다 본 입장에서 존이 죽고 시작하는건 많이 당황스러웠다. 완전 리부트가 아닌 몇 작품만 취사 선택해 무시하고 가는건 그렇다 쳐도 2하고도 연결이 부자연스러운건 많이 아쉬움. 굿바이의 감동이 아직도 생생하거늘...  그래도 다 제껴두고 영화의 전개는 꽤 흥미진진하게 지켜 봤는데, 하.... 그래 스토리를 가가 가가 라고 충분히 할수있어. 근데 그걸 그렇게 강조했어야 했냐? 반전이라는 형식까지 써가며? 기차에서 사라누나를 꼰대 노친네로 만들면서 까지?  그래 그것도 그럴수 있다쳐 근데 진짜 꼭 비행기에서 느금마 어쩌구 그 대사까지 꼭 쳐야만 했냐 이 역겨운것들아?  그ㅈㄹ 안해도 터미네이터는 충분히 강인하고 주체적인 여성을 잘 표현하는 영화인데, 꼭 그렇게 노골적이고 억지스럽게 페미니즘을",4,0
36,터미네이터 전버전의 리메이크라고 했으면 첨부터 그러려니하고 봤을텐데.. 이건 뭐 그냥  똑같은 스토리로 또 다른 버전 새로 만든 것 밖에 안되는...? 너무 식상하네요. ,5,0
37,"맥주병 안에 라임을 잘라넣다니... 공병재활용 어떻게 하라는거냐? 농부가 땀흘려 소중히 키운 수박을 총알 과녁으로 터트려 버리다니... 식량에 소중함을 모르고, 농부에 노력을 무시하는 행동이다.",5,0
38,"네이버 평이 너무 좋아서 다음와보니.. 이젠 네이버 영화평도 못믿겠네.. 참 여러가지로 어색하고 생뚱맞고 뜸금없고, 여자도 좋지만.. 억색해...",3,0
39,전작 배끼기가 너무 심하다. 아놀드 등장부터 걷잡을 수 없이 무너지는 캐릭터 간의 캐미와 뭔지 모를 어색함은 차마 눈뜨고 보기 힘들 지경이다. ,6,1
40,미국의 영화는 전부 패미니즘에서 자유롭지 못하군요. 그러니 재미가 있을까요? 이 영화를 처음본 사람이라면 이게 뭐야 할것이고 이영화를 전 부터 눈여겨 봤던 사람이라면 바껴도 너무 바껴버린 구도의 대결에서 흥미를 잃어버릴겁니다. 제 점수는 2점입니다.,2,0
41,존이 사라의 아들이 아니라 새로운 여자의 아들이라는 것은 너무 억지 설정 아니냐,5,0
42,"람보,터미네이터 둘다 왠 뜬금 없이 멕시코와 멕시코인들이 배경인지?   어울리지 않는 전편들과의 연결. 선거가 다가와서 멕시코인들 표가 필요한 이유외엔 모르겠네요. 자본은 카르텔것이 아닌 텐센트것 같은데 ",1,0
43,우려 먹기와 여기 저기서 짜집기 했군 터미네이터는 2에서 끝내야 했어,5,0
44,내용이 없네  봤던거 또 본듯이 지루하다.,4,0
45,처음 시작은 괜찮았으나 중반부터 집중하기 힘들만큼 지루함.,5,0
46,"나는 이번 터미네이터 영화가 역대 최악의 작품 중 하나가 될 거라고 생각한다 1, 2편과는 비교조차 할 수 없고 4편이나 5편만도 못하다는 생각이 든다  철저하게 상업적인 계산에 의해 만든 이 영화는 새로운 이야기도 없이 기존의 플롯을 재탕했고, 재해석이라 부를만한 장면들도 없었으며, 아주 기계적으로 PC를 넣어 존 코너의 성별과 인종을 PC하게 바꾼 것에 불과한 작품이다 기술적인 진보는 아예 찾아볼 수도 없었다  차라리 외전이라고 말해줬으면 더 바랄 게 없을 것 같은 '정식 후속작'  오락영화로서 훌륭하고 재미있지만 나는 이 영화가 터미네이터 시리즈에 남긴 오점을 평가하지 않을 수 없다",4,0
47,린다가 돌아온것은 좋았지만 빌런이 너무 강해보였다.,7,1
48,"헐리우드 잠식한 페미PC 때문에 전통프랜차이즈시리즈들이 온통 여성,흑인,히스패닉으로 억지로 채우느라  시나리오가 엉망이 되고   이것도 모자라 중국자본 개입으로 미국영화답지가 않다",1,0
49,긴장감이 없어진 터미네이터...,7,1
50,내용이 도돌이표네. 액션이나 볼거린 많았으나 새로운게 부족해서 그냥 그렇네. 사라코너 아놀드 액션찍느라 고생했네ㅜㅜ 나머지 출연자들도 별매력도 없고..,5,0
51,할매. . ,6,1
52,.,9,1
53,"2편에서 간지가 넘친 사라를 강화인간한테 무시당하는 할머니로 만들고, 매력조차 2편만큼 충분히 못 살렸네요... 그리고 존 코너를 대신한 대니 라모스는 존 코너만큼의 매력도 없네요.. 대신 그레이스는 (사라 비꼬는게 짜증났지만) 이 캐릭터는 매력이 좀 있네요. 그래도 액션은 긴장감 넘치게 잘 뽑았어요. 스토리 자체는 전편 내용 재탕, 캐릭터 낭비 말고는.. 그렇게까진 신경 쓰이지 않아서 터미네이터 시리즈의 팬이시라면 혹평을 하실 거고, 터미네이터를 한편도 안 보셨거나 잘 모르시면 좋아하실 영화",6,1
54,시리즈 인기에 얹혀가려는 줄 알았는데 수작이었네요 재밌습니다,10,1
55,에드워드 펄롱은 마약에 쩌들어서 못나오네,1,0
56,불쌍한 사라 ㅠㅠ. 아들잃고 듣보잡 여자애한테 무시나 당하고. ,6,1
57,"생각지못한,,,수작,,,시리즈 연장 밥벌이려니 했는데........굿",10,1
58,시리즈와는 별개로 생각하고 보면 특수효과나 액션이 재밌음~ 제니시스 보단 훨씬 잼났음~,10,1
59,"터미네이터2는 지금도 1년에 한번쯤은 디시 보는 명작인데, 이 영화는 이후 다시 볼 일은 없을 것 같다. 진짜 2편에서 끝냈어야 했는데.",6,1
60,7.7점 역시 CG는 최고다! 어떻게 저렇게 멋지게 만들수있는지! 액체 터미네이터 변신이 멋지군... 아주 약간 유치하지만 볼만합니다!,7,1
61,일단무엇보다노익장이멋지고 존의 성장기와 메시지가 소름돋는다,10,1
62,최고입니다!!!!!! ,10,1
63,노테이큰 액션..정말 끝없는 액션이다!! 재미있었다!! 개연성 조금 떨어지는 부분이 있기는 하지만 정말 재미있었다.,10,1
64,액선 좋고 엄청 재미있는데 인류의 희망이라는 대니가 배역이 너무 안어울린다...왜 이렇게 꼬마같은 여자를 캐스팅했는지 이해불가다.,6,1
65,션은 부족하지만 감동적이군 ,6,1
66,미국인들아..인종차별지양이런거좋은데 미국적사고방식에 다른인종어설프게넣지는말자.  2편으로끝내고 이제놓아줘야할때인거같다. 레즈들은좋아하겠다.흐미..,3,0
67,"서사가 정말 좋아요. 주인공들 덕분에 계속 생각나고, 또 보고 싶습니다.",10,1
68,...,6,1
69,죽은 시체 억지로 pc 넣어서 살려냄 ㅋㅋㅋ ,1,0
70,이제 그만 놓아주자,3,0
71,맥켄지빼고는 ...솔직히 볼게..그닥..레트로무비느낌이 물씬난다. ㅋㅋㅋ의리로 볼수있음 . 대신... 맥켄지는 여전사영화좀 많이 찍어주길... 여전사액션은 이렇게 찍어줘야 그나마 시원시원하고 어울림,7,1
72,그나마 3편이나 전작보다는 훨씬 보는데 집중이된다...,8,1
73,"정말 터미네이터 1, 2에서 시리즈는 끝나버린 것 같습니다. ",2,0
74,"완.전.재.밌.다. 나는 1,2,3보다 더 재있는거같던데 (마지막에 감동적임 for John)",10,1
75,그립다...ㅠㅠ,7,1
76,액션이 시원시원해서 좋았다,10,1
77,굿,10,1
78,2탄에서  존이 활약했는데 이번에는 아놀드가 활약하네요,10,1
79,나만 재밌었나? 터미네이터는 완작임,10,1
80,조금 아쉽네요.,7,1
81,전작인 터미네이터 제네시스보단 낫네. 액션씬 괜찮음. 시간 금방 지나감.,8,1
82,전 나름 재밌게봤네요 지루한면도 있긴하지만 액션씬은 나름 볼만합니다,10,1
83,"여러 고민과  준비는 많이한거 같으나,  스토리  좀 아쉽다.",7,1
84,영화 역사상 SF액션으로 아직까지 T2를 넘어서는 영화는 없다. 갠적으로 T2의 오마쥬 같은 영화... 나쁘지는 않았는데 개연성과 연출이 많이 부족한 듯... rev-9 과 T800의 구도가 신선했음.. 바껴버린 미래.. 각기 다른 로봇컴퍼니.. 그러니깐 마치 아이폰과 삼성폰의 경쟁 같은 ㅋㅋ 기계들 간의 자기 기능에 대한 부심 대사가 많았으면 더 재밌었을 듯..ㅋㅋㅋ,7,1
85,역시 터미네이터는 2에서 끝냈어야 했다.,3,0
86,아직도 쳇바퀴를 벗어나지 못한 터미네이터... 새롭거나 흥미로운 것은 전혀 없었다.,7,1
87,"신물 넘어오게 만드는 재탕일지라도, 기존의 아류작들에 비한다면 꽤 흥미롭게 만든 영화. 35년 전 아놀드와 린다가 그립다!",7,1
88,사라 대니 그레이스 관계성 너무 좋고 남자들끼리 하는 뻔한 액션이 아니라서 좋았다 터미네이터라는 포맷을 빼고 다크페이트라고 타이틀을 달고 나왔어도 충분한 영화,10,1
89,뭘 위한 속편이었나 싶음  추억의 영화이니만큼 4점 줍니다,4,0
90,여초+경로 대잔치의 향현.. 재밋게 잘 봤읍니다,2,0
91,ㅈㄴ 재밌었다 ,10,1
92,아 대니 라모스 개답답하네,1,0
93,사라코너를 꼰대로 만들어 버리네 대니 라모스가 구세주로 보이는게 아니라 그냥 쪼그마한 여자아이로 밖에 안보인다 배역 자체가 안 어울려,3,0
94,액션도 그렇지만 스토리도 전작을 따라가지 못한다,7,1
95,"1,2 편의 클래식함에는 못미치지만  추격과 액션.. 그리고 사라 코너의 과거와의 결별 새로운 길..  을 잘 버무려서 강력한 액션 영화로 그려내었다..  신인 배우들의 비주얼도 뛰어났고  아놀드와 린다의 연기력 또한 대단했다.  마지막에 사라ㅏ 코너가 터미네이터를 애증의 눈빝으로 바라보는것이  이영화에 함축된 의미를 모두 표현해주는듯 하다.",8,1
96,정말 재밌어요!! 속편 기대돼요. ,10,1
97,허접한 액션만 남아있고.... 존코너는 어디로 갔단 말인가,2,0
98,2편을 능가하는 작품을 만들기는 이제 요원할듯....노쇄한 배우들로 예전의 명성을 이어가긴 힘들어 보인다. ,2,0
99,뭐 터미네이터는 늘 결말이 비슷하지만  그래도 본다  미래에 우리에게 닥칠일이다,10,1
100,과거의 전사들이 아직도 싸운다,6,1
101,내인생 no.1영화가 왜 ㅈ페미에 쩌들었냐,0,0
102,2에서 끝났어야 했는데...,4,0
103,기대른 안하고 봤는데 재미있음,9,1
104,시간때우기 용,6,1
105,린다해밀턴은 출연하지 말았어야 했다,4,0
106,사골 영화,1,0
107,"터미네이터 1,2의 그 긴박함과 긴장감은 더 이상 볼수없지만 ㅠㅠ",8,1
108,한국영화 좋하하는 사람은 1점 주겠지 ,10,1
109,시대에 맞게 변화한 터미네이터. 그런데 할머니에게 욕은 좀 심했쟈나ㅜㅜ,10,1
110,영화계 전반에 여성계의 입김이 세지며 린다 해밀턴의 화려한 재등장. 터미네이터의 상징 아놀드 슈와제네거는 조연으로 밀린 느낌이 있으나 그래도 한번 얼굴 드밀어주니 터미네이터 시리즈 같긴 하다.,7,1
