,document,score,label
0,스토리도 정말 감동적이고 오랜만에 감동했다. 딸아이들 어렸을때 부터 함께 해온 영화. 아름답고 순수한 영화다. ,10,1
1,최근본 영화중 장르 구분없이 최고 역시 역시..디즈니 명작 명대사 포키의 업어줘 보 넘이쁘닷 심쿵 (19.12.3  우리말더빙  집에서 본게 미안),10,1
2,그동안 함께한 우디~~ 다시 만날 수 있기를....,9,1
3,토이 스토리는  토이 스토리다,8,1
4,유치할거라는 편견을 시원하게 박살내버리는 감동적인 이야기이네요,10,1
5,다시 돌아온 것만으로도 고맙다!,10,1
6,아니....우디야 ...어디가니? 주인공이 떠나다니...;;,6,1
7,아무리 장난감의 세계라도 신체 일부를 빼앗아 이식하려 하다니 토이스토리가 스토리 때문에 비호감됐다.  미저리와 한니발을 2% 섞었네.,6,1
8,옛날 생각나네요,10,1
9,정체성을 찾아 무한한 공간 저 너머로 !!!,9,1
10,토이스토리는 언제봐도 짱,10,1
11,만들어주니 오랜팬의 입장에선 재밋게 보긴했는데 이제와서 3의 완벽한 마무리의 여운을 좀 망치는감이 있네..,7,1
12,기대를 저버리지 않는 토이스토리!! 최고,10,1
13,진짜 언제봐도 재밌어 ㅠㅠ 5탄도 나왔으면 조켓네요 ㅠ,10,1
14,캐릭터들 진짜 역대 급이다 ㅋㅋ 듀크랑 인형둘이 진짜 ㅋㅋ,9,1
15,꿀잼,10,1
16,우디가  포키를 위해 대신 떠나면서 많은 정을 쌓는 것이 좋았어요. 토이 스토리 5도 기대되요!!,10,1
17,감동,10,1
18,'무한한 공간 저너머로!' 삼촌의 피가 흐르고 있어서인지 버즈 라이트이어 목소리를 자주 따라했는뎨 이제 고인이 되신 삼촌의 모습이 그립습니다. 토이스토리 5가 나오면 꼭 버즈 목소리에 도전해 보고 싶네요.,10,1
19,완벽한 마무리,10,1
20,"정말 재밌어요!!  스토리,영상 모두 완벽 그자체!! 그와중에 보 몸매 부러움ㅜㅜ",9,1
21,믿고 보는 우디~~~ 이젠 4로 끝나는걸까?,10,1
