,document,score,label
0,각자의 인생의 깊이만큼 보고 느낄 수 있는 영화.  애들은 가라.,10,1
1,30년만에 다시 봤다. 명작은 명작이다.,9,1
2,눈물이 나네요..장국영...,10,1
3,변퇴들  옹호하지마시오.,0,0
4,장국영 공리 두 사람이 다시 생각나는 영화  어렸을 적에 보고 다시 보니 영화가 보이네,10,1
5,장국영이 너무 그립다.  ,10,1
6,장국영의 팬이라 영화관에서 첫번째로 보았을 때에서는 장국영이 눈에 띄었지만 두번째로 본 영화에선 공리의 연기가 훌륭하다고 느꼈습니다. 시대적 배경을 알고본다면 더더욱 훌륭한 영화. 이번주에 또 보러가려구요.,10,1
7,장 국영~♡ 보고싶은 그 사람~ 개봉당시 20번두 더 극장 들라거리며 봤더랬다~,10,1
8,추악한 인간은 전부 소탕하라. 두안샤오로우 추악한 인간이다. 경극배우들을 처단하겠다는 무리의 군중들 또한 추악하고역겹다.,10,1
9,"역사의 무자비한 광풍속에 견디어내기는 하였으나, 상처가 너무 깊고 처참하여, 더 살기가 어려워진 패왕과 별희. 이제 바람은 잦아들었으나 무슨 소용.  --- 옛날 감동을 기대하여 영화관을 찾았으나 화질이 나빠서 -1",9,1
10,"   전에 봤을 때는 장국영만 생각나고 공리가 기억도 잘 안났었는데 지금 다시 보니 공리가 눈에 들어오네요,  여전히 문화혁명은 도저히 이해가 안가는~~",9,1
11,"시대의 격변에 따른 풍랑, 두 남자의 직업적 브로맨스, 그 속에서 예술이기도 아니기도 했던 경극의 고통스런 살아남기! 어려서볼때는 보이지않았던 장국영의 극중 우희의 눈물어린 눈을 많이 보게되었다.  세상에 예술 혹은 문화의 기준은 없다. 그래서 모두 기준이다. 오늘은 이것일 뿐. 그대들이여 규정짓지 말라. ",9,1
12,답답한 마스크 너머 인생의 숨을 쉴 수 있는 영화. 3시간이 느리게 빨리가는 영화!,10,1
13,장국영... 귀하가~~너무도  그립소~~ 이 영화는  원데이 말대로   우희역할로 장국영 뿐입니다~   너무보고싶습니다 장국영,10,1
14,감독님 중공이 우리나라침공했던 역사를 영화로 찍는다면서요.  실망입니다. 패왕별희라는 명작을 만들었으면 고인이 되신 장국영선생님과 그분이 찍으신 패왕별희라는 명작에 흠집이 나지 않도록 처신을 좀 잘하셨으면 합니다.,8,1
15,개쩌는 영화,10,1
16,진작 볼걸 그랬나.  ㅜㅜ,10,1
17,인생영화 재개봉이라니 감사합니다 감사합니다,10,1
18,걍 최고임.,10,1
19,러닝타임이 세시간이라 지루할까봐 사실 걱정했는데 지루함도 느끼지 못하고... 그냥 주인공에게 빠져서 그렇게 봤다. 정말 잊을 수 없는 영화.. 한동안 데이와 주샨의 눈빛을 잊을 수 없을 것 같다,10,1
20,꼭 봐야 되는 영화. 그것도 중국 영화를 본다면.,10,1
21,역사와 인물의 갈등. 사랑 그리고 인생 전반에 대한 걸작. 세시간 동안 중국으로의 역사여행. 장국영이 수명을 다한  이유,10,1
22,20대에 봤을때보다 30대에 다시 보니 여운이 남는 영화 중국에 대해 몰랐다가 몇년 살고 왔더니  3시간동안 중국이 많은 이데올로기의 변화속에서 경극을 하는 두 주인공이 시대에따라 적응해 변해가거나 적응하지못해 떠나가거나 하는 모든 부분을 담은것이 새롭게 느껴졌어 좋앗음 이게 옳았는데 해가바뀌니 그것을 그릇되다고 말하는 세계에서 그들이 얼마나 많은 혼란을 느끼고  방황하며 변화하는지 새로운 관점으로 보임,9,1
23,폭력적인 영화임. 정말이지 감정의 난타와 지금은 어려울것 같은 아역배우들의 역활과 생 날것과 같은 연기와 영상이 사람의 감정을 마치 못움직이게 묶어놓고 때리는 것 같은 느낌을 줌. 현기증 나는 영화 미열과도 같이 봄이면 아련하게 만드는 그런 영화.  Leslie Cheung  RIP~~~,10,1
24,어렸을땐 장국영에게 커서는 공리에게 감정이입하게 되네요. 다른듯 같은 청데이와 주샨의 운명 ,10,1
25,작정하고 만든 영화,10,1
26,진짜 B급 고어 영화 안봤구나? ㅎㅎㅎ,10,1
