,document,score,label
0,이게 표절이 아니면 도대체 뭐가 표절인거냐?,0,0
1,넘 재있게봤네요.  조진웅의 생활사투리..진짜 넘좋아ㅎ 코믹.감동.병맛까지..적절히 배합된 숨겨진 띵작. 특히나 조진웅 칼맞고 친구랑 차타고가는씬은 압권..ㅎ,9,1
2,"비슷한 영화를 본 것 같은데, 한국에서는 조폭스토리와 결합해서 새로운게 나왔네요.",7,1
3,이것저것 스토리를 섞어놓은.. 그나마 조진웅 연기가 체면치레함..,5,0
4,"설경구는 갈수록 꼴보기 시러지네, 조진웅이 아깝다",1,0
5,뭐가 재밌다는기가? 웃을거도 참 많다....진웅이가 연기는 잘했다....그것말곤 없다.... 김사랑은 뭐하러 나왔냐.......몸매라도 자랑하는 씬이 나오던가.... 꿔다논 보리자루가  따로 없네....뭐 얼굴만 보여주려고 나왔냐? 이쁘긴 하다만은 예전만큼 할까.....원래 보여줄 건 따로 있잖아.....너무 마초적이네 영화가.....그냥 뭐 너무나도 흔한 플롯... 신선함은 눈꼽만큼도 없었다.....,3,0
6,좀 창의력 좀 길러라 맨날 따라하니까 발전이 없지... 점점 갈수록 관람객 수준도 높아진다는걸 명심하고! 아직도 수준낮은 사람들 많이 보이네  헐.. 이런걸 평점6점이상을 주는 인간들은 모냐.... ㅡㅡ,0,0
7,언터쳐블 카피 대배우들 데려다 저런 시나리오...아이고...배우들이 연기력으로 커버해서 그나마1점,1,0
8,설경구  대사전달이 너무잘안됨,3,0
9,내용이야 뻔하지만...재미있게 봤어요 조진웅님의 연기와 허준호님의 연기는 최고입니다^^,7,1
10,내용도 재밋게 잘봤어요 감동도 재미도 적절하게 ㅎㅎ  열심히 잘 살아야겠군여,9,1
11,정말 재밌었어요,10,1
12,재밌네요  두번봄,10,1
13,재밌어요,10,1
14,찐빼이~,10,1
15,"멀쩡한 영화를 국내로 모셔와 깡패영화로 만들어버리는 놀라운 감독님...  만드신 노고에 1점, 고생하신 연기자와 스텝분께 1점, 한국영화라 1점, 그래서 3점 드려요.",3,0
16,감독 수준 안됨,1,0
17,난생각보다  완전 재밌던데 ㅋㅋ 조진웅씨 연기진짜 대박 너무 잘하심ㅜㅜ,10,1
18,볼만하던데ㅋ,8,1
19,Gooood~~,10,1
20,영화 진빼이네.. 조진웅 건달연기 잘했음~ 코믹하고 잼있음~ 근데 중간중간 지루한부분도 있음~,7,1
21,나름 굿! ,9,1
22,현재까지 나쁘지 않은데.,8,1
23,난 괜찮은데??,9,1
24,외화  언터쳐블  어설프게  카피한듯  ,6,1
25,설경구 조진웅 케미 잘 좋네요. 왜 1점을 주는지 모르겠네요.,8,1
26,재밌게 봤어요,9,1
27,재밋게 잘 봤어요 ,10,1
28,넘 재미있게 봤어요~ 마지막 핸폰받고 웃는 장면은 동생이 합격했다는거 전화일듯요!,10,1
29,재밋어 연기굿,10,1
30,휴......쀼...... 쀼..... ㅃ.....ㅆ......ㄲ....... ㄱ....우....ㅅ.....,1,0
31,배우들 연기가 일품이네요^^ 중간에 많이 웃었습니다~~,10,1
32,잼던디,10,1
