,document,score,label
0,시리우스 블랙은 왤케 빨리 죽냐ㅠ,10,1
1,시리우스 블랙이 그립다!!,8,1
2,저의 최애 영화입니다 해리포터 시리즈,10,1
3,너무 재미있다,10,1
4,시리우스 블랙 ㅠㅠ,10,1
5,재밌어요...,10,1
6,몇번을 봐도 재밌다....ㅠㅠ,10,1
7,👍,10,1
8,진짜 너무 재밌어서 또 보고싶을 정도에요!!,10,1
9,판타지를 좋아하는 사람 입장으로서 너무 좋은 영화였다.,10,1
10,여윽시 표절 포터,10,1
11,꼭 봐야할  ⟨해리포터⟩ 시리즈로써  마법사의 부활이라는 컨셉이 돋보이는 작품이라고 생각합니다. 진심으로 좋습니다!!,10,1
12,이것은완벽,10,1
13,해리포터는 역시 해리포터지,10,1
14,어린시절 추억없는 어린이들과 노땅들은 못보는 영화 우리의 그 시절에 아름다운 판타지를 남겨줬지,10,1
15,시리즈 전체를 책으로 다  보고 나니 영화로 재구성되면서 바뀐 부분이 새롭고 재밌었던 기억이 나서 다시봅니다. 역시 컴퓨터그래픽도 휘황찬란하고 스토리도 일품이네요. 명불허전 해리포터입니다ㅎㅎ,10,1
16,헤르미온느역 엠마 왓슨의 원 펀치를 재생해서 볼 수 있는 것 만으로도 .. ㅎㅎ  잘 감상하였어요 ~,9,1
17,bb,10,1
18,말이  필요없는   영화 ,10,1
19,말이 필요없는 졸잼작 ,10,1
20,대박임,10,1
21,이걸 평가할 필요가 있을까...,8,1
22,익스펙토 페트로놈 유주얼서스펙트급 반전 해리포터 시리즈 중 가장 좋아하는 시리즈,10,1
23,진짜 재밌어요,10,1
24,매체에 대한 이해도가 가장 높았던 ⟨Harry Potter⟩ 시리즈 영화,9,1
25,..!!,10,1
26,.,7,1
27,잘만들었네요,8,1
28,.,10,1
29,"1,2편 보다는 낫네",6,1
30,해피포터 역시 명작이다!!,7,1
31,10,10,1
32,이렇게 재미있을수가,10,1
33,좋ㄷ,8,1
34,넘나  잼있다! 신기방기~,10,1
35,소재덕인지 감독덕인지 매끄러워진 시리즈의 시작,8,1
36,..,7,1
37,"자고 있는데 뭔가 움직이는 소리가 들려서 불을 켰는데, 벽을 기어오르는 손바닥 만한 지네를 보고 소름이 돋았다. 그 후로 부스슥 소리만 나도 지네가 아닐까 하는 두려움에 잠을 설치게 됐다. 옆에 파리채와 살충제를 두고 잘 정도였으니까. 시골에선 여름이 아니더라도 꼭 튼튼한 파리채가 잘 보이는데 있어야 한다. ",6,1
38,아동용. 야동용 아니다. 아동용.,5,0
39,"1,2 편에 비해 상당히 재미가 없다. 유일하게 호그와트를 위협하는 어둠의 세력이나 볼드모트가 직, 간접적으로 등장하지 않고 해리에게 닥치는 절체절명의 순간의 위기상황도없고 그냥 타임머신가지고 자신의아버지에 소울메이트인 시리우스블렉의 억울한누명을 벗기는게 전부다. 분위기도 그냥뭐랄까 뭔가어수선하다  ",6,1
40,"감독이 바뀌면서 재미가 1,2편에 비해 약간 반감되기 시작. ",6,1
41,인류 역사상 다신 나오지 않을 불멸의 최고에 레전드 전설 판타지 해리포터 영원하라 포에버!!!!!!!!!!!! ,10,1
42,"Harry Potter and the Prisoner of Azkaban 點,占,",9,1
43,    ★,10,1
44,.,10,1
45,알폰소 쿠아론은 천재다. 이제 알고보니 내가 가장 인상깊게 봤던 영화들이 다 이사람 작품이넹 굳,10,1
46,크리스마스 분위기를 느끼고 싶다면 해리포터를 보세요.,7,1
47,"다음 개편으로 다 날림. 복구 안함? 이때부터 진정한 영화 다워짐.  주인공들의 내적 갈등, 성장시기의 불안함과 도전, 그것들에 대한 극복.  그들과 타인들 간의 연대감 등등이 보이기 시작하고, 그것들에 대해서 조금씩 얘기하기 시작함.",7,1
48,  ,7,1
49,이거 평점 왜 이렇게 낮은지 설명 좀..,10,1
50, 해리포터의 사춘기 시작,10,1
51,시리즈의 정점.,8,1
52,내용전개도 흥미롭고 영상미도 좋다 루핀교수와 시리우스의 등장은 덤 ,8,1
53,.,10,1
