,document,score,label
0,이 영화 대구지하철사건을 다룬 영화라고 홍보했으면 좀 더 봤었을텐데... 아역배우 엄채영양의 연기에 박수를 보냅니다^^,8,1
1,이승엽 선수가 싸인해줘서 진짜 다행이다ㅠㅠ 난 아픈애한테  저리가라 라고 할까봐 가슴 조마조마했슴ㅠㅠ,8,1
2,"포스터랑 예고편만 보고 너무 유치할 것 같아서 계속 안 보다가, 그냥 시간때우기용으로 잠깐 보려고 했는데 중반 이후부터 울면서 봤네요. ",10,1
3,눈물 펑펑 쏟게 만드는 영화입니다.  어느 순간 재난을 숫자로 인식하게 되는데 이 영화를 통해 한 사람의 삶으로 인식하게 됩니다.,10,1
4,고향 대구의 아픈 사건.. 동성로..,10,1
5,개봉전 코믹으로만  알려진게    이 영화 흥행에 안좋은 영향을 준거같네요  감동적인   영화이고 오랜만에 눈물 펑펑 아주 볼만했어요,8,1
6,슬프고 안타까우면서도 따뜻한 내용이예요,10,1
7,많이 울었어요.  감동이예요♡♡♡,10,1
8,"슬프고 아픈 내용을 너무 슬프게만 다루지 않아서 좋았다.. 그리고, Happy Ending이 너무 좋았다..",10,1
9,흥행을 못한게 안타깝네요. 너무 재미있게 봤습니다!!!!,10,1
10,처음한시간웃고 다음한시간울었어요,10,1
11,감동적이다 코믹인줄 알았는데 이런 아픈 코미디라니,9,1
12,웃다울다 시간가는 줄 모르고 봤네요. 추천합니다~,10,1
13,코믹인줄  알고 웃으면서 보다가 당했네. 안그래도 감수성  풍부한데 흥행 못한게 희안하네요. 정말 잘 봤습니다.  훌쩍훌쩍  와이프가 운다고 놀리네요 ^^;;;/,10,1
14,"유치한 코미디인줄 예상했는데, 보면 너무 괜찮은 휴먼드라마.거기다 곳곳에 유명배우들이 단역으로 계속 등장하는 재미.",8,1
15,감동적이네요~^^,10,1
16,오랜만에 좋은 영화 봤네요,10,1
17,실화라고 하니 더 감동이네요.,10,1
18,코믹하고 감동도 있고 잼나네요~,9,1
19,아 눈물  결론이 뭔가요,10,1
20,그저 코메디 영화인줄 알았는데..가슴 아픈 우리의 옛이야기였네요..ㅠ  ,8,1
21,승원형님 최고 웃김. 최고 감동.,10,1
22,재밌는거 보려고 한건데ㅜㅜ 아주 눈물바람이네ㅜㅜ,10,1
23,대구지하철사건때 일본에서 공부하던때에 뉴스보고 너무 슬펐던 기억에… 오늘 이 영화보면서 신랑이랑 울다웃다… 잘봤어요. 난 다들 연기도 좋고 재밌었는데… 👍,10,1
24,"너무 많이 울었어요. 딸을 업고 지하도로 내려가는 그 순간 부터요. 대구 지하철 사건을 다뤘다는 얘기를 미리 듣고 보았는데도 펑펑 울었네요. 그냥 킬링 타임용은 아니에요, 웃기도 하고 마지막은 너무 아픈 영화.",9,1
25,그 인터넷 글... 매일 집 청소하는 선배가 .. 오늘 못 올지도 모르니까 하던 말 반듯하게 자면 출동벨 울리자마자 벌떡 일어나면 허리 나가서 늘 웅크리고 잔다던 그 분,7,1
26,"슬픔을   유쾌하게   선을  넘지않은  아름다운  이야기  입니다,",10,1
27,차승원 코믹연기에 웃고 울었음,8,1
