	document	label
0	장점그래픽배경잔작보다 어느정도의 발전  단점처음엔 괜찮지만 갈수록 지겨운 전쟁과 배놀이필수적인 서브퀘멍청한  결론국밥만 매일 다른거로 먹는기분	0
1	가장 좋아하는 오픈월드	1
2	재밌는데 플탐 늘리게 하려고 억지 퀘스트 진짜 너무 많이 넣어놨음 시간이나 했는데도 는 아직도 손도 못댔음	1
3	유비소프트가 좆같음 병신같은ㅇ 플랫폼 시발 카카오톡 게임에서 런칭해라	0
4	개인적으론 블랙플래그와 오디세이 두개가 가장 재미있는 듯 처음으로 맵에있는 조각들이나 상호작용 하나하나 다 모아봤음	1
5		1
6	실행 자체가 안되고 가 쯤 가면 작업관리자에서 갑자기 중단됨 시간동안 끙끙대다 그냥 환불하고 토렌트로 한다 더러워서 진짜	0
7	그냥 개꿀잼	1
8		1
9	세뇌당한 상태에서 저지른 악행은 과연 용서 받을 수 있을까요  당신은 가족이라면 살인도 덮어줘야 한다고 생각하시나요	1
10	걍 미쳤음 개꿀잼	1
11	스벌 말이 필요없다	1
12	이건암살겜이아니다 전사풀스텍	1
13	개꿀이나 데가같음	1
14		1
15	짱 재밌어요 응애	1
16	위쳐하다가 도저히 안맞아서 갈아탔는데 난 이쪽이 취향인거같다 하면서 진짜 그래 이런게 게임이지 라는 소리가 저절로 나왔다 위쳐는 아무래도 소설드라마에 가까운거 같다 암튼 유비가 다른건몰라도 게임의 본래 목적은 항상 잃지않는다 그래도 게임의 깊이만 보자면 위쳐가 뛰어나긴하다스토리부터해서 세세하게 게임에 공들인 느낌은 남	1
17	나에게 어크라고는 신디케이트가 마지막이였는데 이건 지금까지의 어크랑 다르면서 재밌고 좋게 변화한 둣	1
18	추천	1
19	목격자가 없는가  암살이다	1
