	document	label
0	어느팀 핵이 더 좋은가의 싸움	0
1	ㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎ 이거 원주고살때 가랑이가 떨리더라 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ역시 세일하고있네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅅㅂ	1
2	슄ㅋㅋㅋㅋㅋㅋㅋㅋ잌ㅋㅋㅋㅋㅋ벌ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 나는 정가주고샀는데 원 이지랔ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ	1
3	배틀필드이 재밌다	1
4	일단 역사적 관점은 나중이고 재미있어요	1
5	핵가격에 의해 게임의 판도가 달라지는 게임 굳	1
6	한판만 했는데 핵이 얼마나 많은지 알수있었다	0
7	짱깨랑 서버 따로 분리하면 소생가능성있음	0
8	방들어갈때마다 핵 명씩 혹은 명씩 꼭있음 공통적인건 죄다 중국인핵쟁이들	0
9	존나 재미없음 라이징스톰나 하자	0
10	무료라서 좀 해보고 살라 했더니 뭔 시발 헥이 매판마다 있으면 어떡해요	0
11	잼씀	1
12	재밌음	1
13	할만함	1
14	연합국이랑 추축국이 싸우는데 짱깨가 이기는겜	1
15	원짜리 게임치고는 재밌네요	1
16	뭐이런 저장도 안되는 게임이 다있냐 게임 껏다 켰는데 저장한거 다날라 갔네 이 게임은 그냥 무료 플레이하고 쓰레기통에 처박아 버리길 바란다 천원도 아까운 게임이다	0
17		0
18	싱글 기준 를 싫어함  퀄리티는 좋다  잦은 버그와 만들다 만 그래픽 이건 쓰레기다	0
19	이게 신들의 전쟁이지ㅋㅋㅋㅋㅋㅋㅋㅋ	0
