	document	label
0	정지를 먹어서 계정 다시 판지 어느덧 반년 전 계정 정지를 절대 풀어 주지 않는다	1
1	서든 가던길 그대로 따라가네 이제 돈슨한테 팔일만 남았지	0
2	ㅈㄴ ㅈ같은겜임 이거쳐산다면 그럴빠에 포아너를사든 딴걸사든하겠음	0
3	핵 좀 잡아라 펍지야	0
4	재미없음	0
5	배틀그라운드에서 일반전에서도 강제로 나가면 패널티좀 줬으면 좋겠습니다  랜덤 스쿼드에서 명 나가면 혼자서 스쿼드닦아야하는데 이게 말인가 싶어서요  전 실력도 부족하고 다른 스트리머들 처럼 샷발도 좋지 않아서 팀원이 필요한데 이건 뭔 경쟁전만 중요하고  다른건 신경 쓰지않고 패키지만 출시에서 이익만 볼려고합니까 참 게임	1
6	존나 재밌음	1
7		1
8		1
9		0
10	현존게임중에 가장 실사화 잘한게임이라 생각함 자기장의 형평성이 조금 어쩔수 없지만 최고의  게임이라고 생각함	1
11	이제는 치킨이 목적이 아닌 대기실 춤배틀이 진짜 목적인 게임입니다	1
12	망겜	0
13	걍 망겜	0
14	총이란게 어쩌면 반동이 가장중요하잖아요 그죠 인정해 안해 인정해안해 인정해 그 반동을 잘살렸다	1
15	짱깨들 팀길좀 막아주세요	1
16	굳	1
17	나만어려움	1
18	한번씩 튕김	0
19	와ㅋㅋ 진짜 재밌따 ㅋㅋ	1
