	document	label
0	남 하는 거 볼 때 가장 재미있다	0
1	재밌슴 근데 너무 어려워	1
2	뭔놈의 오브젝트가 이케 많아	1
3	다른 사람하고 게임하면 엄청 떡상할텐데 방송은 재미있어 보있는데 막상 혼자하면 재미가 없다    제발  멀티좀 추가좀 이전버전으로 하기 싫다	1
4	갓겜임	1
5	카타클리즘 랑 거의 동일함  로그라이크 좋아해서 했던사람이면  금방 적응할듯	1
6	존잼존잼존잼	1
7	하다가 죽음 개씹노잼인데 한번 잡으면 시간 사라짐ㄹㅇ	1
8	추천합니다  평생 얼엑에 그래픽도 시스템도 오래된 게임이다보니 매우 구리지만 그래도 이런 게임류에선 대체제가 딱히 생각나지 않을 정도로 재밌긴 합니다 총체적 난국 수준으로 구리지만 샌드박스 설정도 자유롭고 게임 자체 재미가 없진 않다보니 생각날 때마다 켜게 되는 매력은 있습니다	1
9	게임플레이 누적시간에 비례해서 보이는 내 모습  게임사기전  와 저걸 쳐물리네 개못하네 내가 직접해도 저거보다 잘하겠다 ㅉㅉ  게임사고 막 시작  ㅋㅋㅋ 좀비들 다 죽었다  시간 미만  어  시간 달성  파밍도 잘했으니 안죽겠지  어쌔신 좀비한테 뒷목물리고 사망  시간 달성  사망  리겜    시간 달성  사망  리겜   시간 달성  어느정도 익숙해지기 시작하는 단계 맵을 어느정도 숙지되어있는상태 파밍 우선순위를 선정하고 체계적인 파밍 방심하는 순간 또 물리고 사망  리겜  시간 구간  매우매우매우 안전하게 플레이하기위한 플랜을 세우기 시작 시 시 시 티비 시청 필수 시 이후로는 밖으로 안다님 금욕 플레이 과한 파밍은 죽음으로 이어진다 잘 안죽기 시작함  초보 탈출  시간 구간  힐링타임 어느정도 농사낚시등 비전투계열 레벨을 올리면서 베이스 꾸미며 재미를 느끼는 구간 아 이렇게 평화로울수가 라고 느낄쯔음에 이벤트발생하면서 몰려오는 좀비레이드를 보게됨 대략 번 당하면서 멘붕왔었음  현재  인싸게임이 되어 다시 맛보려고 옴 응애난이도는 흥미가없기에 극한의 난이도로 즐기는중 하드하게 즐기면서 밸런스있게 오래오래 할 샌드박스설정을 찾음 평균 생존시간 시간	1
10	모든게 제대로 돌아갔다 죽기 초 전까지는	1
11	풍형 플레이를 보고 이걸 참는다고	1
12	저희 마루쉐가 좋아해요	1
13	유튜브보고 삘 받아서 킴  분간 무지성 파밍  차찾고 부릉부릉  총먹고 탕탕  아질린다 꺼야지	1
14	손 많이 가는 게임 좋아해서 게임 자체는 마음에 들었는데 캐릭터 조작이 생각보다 불편해서 환불했습니다 모드도 많아서 이것저것 깔면 더 재미있게 할 수 있을 것 같아요	1
15	넘모 재미있다 시간 가는 줄 모르고 했다	1
16	끝내줍니다 이거 빠지면 회사와 가족 끝입니다 ㅜㅜ	1
17	리뷰   목표가 정해진 게임    퀘스트 처럼  특정길로 이동한다거나 보스를 잡는다거나 이런것들  유저가 스스로 목표를 만드는 게임    말 그대로 유저들이 스스로 목표를 만들며 컨셉에 맞게 직업도 있고 다양한 플레이가 가능함    모드창작마당 지원 수준은  높음  업데이트는  스팀에서 업데이트 기록을 따로 올리지 않았기에  홈피를 찾아서 확인한 결과 지금까지 비공식적으로 업데이트 하는걸 확인함  손 놓은게 아닌 다른 사유가 있어서 공개를 안한듯    파밍하면서 좀비를 피해야하며 생존을 위한 쫄깃함  무쌍은 절대 불가능 설령 무쌍처럼 어느정도 학살하더라도 리스크가 매우 큼  그리고 거의   쯤의 현실성을 가지고 있음    생각을 많이 하면서 오랫동안 생존  모드가 꽤나 만족스러운게 많아서 좋음  솔직히 이 게임 구매 고민 엄청했었는데 이정도면 나쁘지 않은듯 개발자도 포기가 아닌 비공식적으로 노력하는거 같음  홈페이지 링크  이미 이 스팀페이지에 개발사가 직접 링크를 남겨놨기 때문에 아무 문제 없을거라 생각함  다만 호불호가 많이 갈리긴 할듯 아직까지는 게임 구매하시기 전에 생각 두번정두 생각을 해보고 구매하는걸 권장  그래서 정식 출시는 언제 나두 모름  일단 최소 빠를경우 년되었을때 정식출시 되기를 기원함	1
18	어렵지만 재밌다	1
19	트위치 보고 샀는데 노잼 그냥 프로젝트임  스트리머 처럼 할 게임 없을때 게임 훈수로 돈 벌수 있을때 년 부터 앞서해보는 게임이 왜 아직도 출시를 안했는지 이해해보고 싶을때   이때 하면 좋음  자동차로 빵빵 하면 갑자기 온 사방에서 좀비가 왜 갑자기 쳐 나오는건지 권총 소총 쏘면 소리 때문에 갑자기 또 어지서 수 많은 좀비가 쳐 나오는지 생존이 목적인지 좀비랑 싸우는 것이 목적인지   같은 게임 갓겜이라고 생각하는 사람은 갓겜일수도	0
